qiskit_dense,merging_states,qiskit,average_degree
30,595,641,4.0
30,595,1005,4.0
27,592,933,4.0
26,591,485,5.0
30,595,256,4.0
26,591,709,5.0
29,594,503,4.0
29,594,681,4.0
29,594,889,4.0
29,594,983,4.0
26,591,363,5.0
28,593,675,4.0
30,595,455,4.0
29,594,584,4.0
28,593,243,4.0
27,592,819,4.0
29,594,1005,4.0
27,592,887,4.0
28,593,961,4.0
29,594,887,4.0
31,596,997,4.0
27,592,761,4.0
27,592,936,4.0
28,593,734,4.0
26,591,823,5.0
29,594,547,4.0
26,591,603,5.0
28,593,983,4.0
30,595,889,4.0
29,594,1005,4.0
26,591,1001,5.0
28,593,809,4.0
26,591,953,5.0
29,594,1001,4.0
28,593,996,4.0
29,594,936,4.0
28,593,975,4.0
27,592,1005,4.0
27,592,744,4.0
28,593,1007,4.0
27,592,709,4.0
28,593,931,4.0
27,592,935,4.0
28,593,460,4.0
27,592,887,4.0
27,592,829,4.0
28,593,753,4.0
29,594,348,4.0
29,594,457,4.0
28,593,743,4.0
30,595,997,4.0
27,592,499,4.0
29,594,1001,4.0
26,591,875,5.0
27,592,496,4.0
30,595,999,4.0
30,595,625,4.0
26,590,251,5.0
29,594,873,4.0
28,593,825,4.0
28,593,831,4.0
27,592,951,4.0
27,592,677,4.0
28,593,992,4.0
28,593,845,4.0
30,595,511,4.0
30,595,965,4.0
29,594,893,4.0
29,594,863,4.0
26,591,939,5.0
28,593,730,4.0
26,591,235,5.0
28,593,1011,4.0
27,592,885,4.0
28,593,351,4.0
27,592,1013,4.0
28,593,849,4.0
29,594,1001,4.0
28,593,1006,4.0
26,591,809,5.0
28,593,951,4.0
27,592,955,4.0
30,595,1007,4.0
29,594,541,4.0
26,591,887,5.0
26,591,811,5.0
28,593,855,4.0
28,593,949,4.0
29,594,499,4.0
27,592,445,4.0
28,593,695,4.0
27,592,944,4.0
27,592,489,4.0
30,595,454,4.0
28,593,887,4.0
29,594,455,4.0
27,592,283,4.0
27,592,837,4.0
29,594,848,4.0
30,595,985,4.0
