qiskit_dense,qiskit,shp,merging_states,average_degree
631,502,652,349,0.6875
659,502,737,346,0.375
686,502,719,303,0.6875
711,502,638,303,0.75
607,502,737,330,0.875
683,502,582,304,0.75
517,502,646,283,0.75
673,502,617,353,0.75
628,502,701,292,0.5
605,502,644,321,0.5625
752,502,582,334,0.8125
633,502,609,293,0.8125
581,502,580,312,0.8125
570,502,697,342,0.5
762,502,659,342,0.25
674,502,750,317,0.5
599,502,715,322,0.625
560,502,619,342,0.4375
493,502,706,326,0.75
624,502,650,311,0.5625
706,502,645,314,0.3125
637,502,677,319,0.3125
739,502,764,341,0.5
632,502,739,316,0.5
644,502,689,321,0.6875
719,502,729,325,0.3125
604,502,649,288,0.4375
583,502,675,313,0.5
675,502,706,323,0.6875
716,502,565,309,0.5
587,502,780,311,0.6875
665,502,761,322,0.5625
663,502,724,319,0.6875
522,502,655,239,0.875
722,502,655,283,0.5
710,502,627,334,0.6875
766,502,691,325,0.4375
599,502,696,269,0.75
693,502,688,340,0.4375
614,502,736,356,0.3125
768,502,660,340,0.25
796,502,613,302,0.6875
752,502,659,345,0.5625
664,502,667,325,0.5
618,502,584,261,0.875
728,502,683,327,0.375
575,502,652,339,0.625
709,502,744,261,0.5625
610,502,613,341,0.5
649,502,706,319,0.625
681,502,691,310,0.3125
666,502,610,320,0.5
704,502,757,342,0.5625
780,502,703,357,0.6875
723,502,644,317,0.375
845,502,684,346,0.375
767,502,733,358,0.375
772,502,680,311,0.375
585,502,692,263,0.8125
686,502,707,307,0.5625
635,502,650,337,0.3125
606,502,745,353,0.5625
801,502,671,356,0.5625
603,502,738,303,0.5
735,502,664,335,0.6875
656,502,729,305,0.5625
686,502,735,305,0.4375
746,502,719,297,0.5625
695,502,642,377,0.375
648,502,568,317,0.375
725,502,503,257,0.875
675,502,621,309,0.5
560,502,734,360,0.5625
687,502,685,338,0.75
682,502,675,321,0.3125
550,502,688,322,0.375
455,502,564,329,0.5625
566,502,814,304,0.6875
706,502,676,311,0.6875
729,502,678,320,0.4375
617,502,609,305,0.75
717,502,630,321,0.6875
671,502,613,331,0.6875
758,502,622,327,0.625
688,502,681,287,0.6875
592,502,592,328,0.5625
622,502,686,315,0.4375
617,502,708,309,0.625
595,502,736,287,0.75
676,502,698,323,0.75
615,502,680,287,0.375
702,502,761,328,0.375
696,502,625,338,0.625
683,502,739,365,0.25
723,502,712,339,0.5
654,502,565,293,0.5
656,502,629,284,0.6875
698,502,666,332,0.5
663,502,758,348,0.6875
702,502,742,279,0.6875
