average_degree,qiskit_dense,merging_states,qiskit,pairwise_swap
4.25,992,3783,2793,8076
4.25,176,4155,4083,8066
4.0,188,4135,2777,10642
4.0,198,4159,2933,8217
4.0,174,4139,4067,9353
4.5,167,4147,3975,9612
4.0,193,3412,4083,8458
4.0,181,4133,2121,8972
4.25,169,4130,2297,7685
4.25,200,3785,1737,7688
4.25,167,3791,4067,8071
4.0,181,3743,4083,9352
4.25,177,4195,3971,8972
4.0,188,4167,1591,9362
4.5,170,3777,2551,8071
4.5,1560,3701,3295,8974
4.0,172,4162,4083,9364
4.0,186,3821,2369,9235
4.0,187,4175,1689,9357
4.5,166,3397,3871,7702
4.25,181,4051,3827,9357
4.0,183,4152,2713,9734
4.5,419,3782,4083,7684
4.25,190,3752,1593,8588
4.0,172,3810,2235,8975
4.5,172,3773,4083,7694
4.25,189,3782,4067,8208
4.0,192,4141,1115,10257
4.25,177,3736,2777,9356
4.25,163,3779,4047,8081
4.0,185,4136,3973,9357
4.5,180,3509,2619,7318
4.5,183,3792,3447,7314
4.0,192,4157,2297,8974
4.5,165,3775,4083,8072
4.0,357,4146,2745,8986
4.25,176,3745,4083,8594
4.25,196,4124,3863,9358
4.0,181,4637,4083,9363
4.0,196,3773,4083,8594
4.25,177,3662,4083,8075
4.0,173,3854,1355,9352
4.25,179,3395,4067,8073
4.0,193,3712,2185,8598
4.5,186,4142,3501,8080
4.25,174,3788,4053,7305
4.25,185,4161,4083,9362
4.5,163,3774,4077,7683
4.0,173,4136,4083,9613
4.25,175,4132,3497,8970
4.0,178,3752,3615,8985
4.0,199,3791,4083,8074
4.5,173,4163,3939,9350
4.75,173,3777,4083,8073
4.5,165,4172,4003,8974
4.5,194,3793,2807,8972
4.0,186,4201,715,9742
4.0,192,4158,4083,9362
4.25,170,4201,4083,7310
4.0,192,4048,4083,9362
4.25,174,3742,3385,9362
4.0,195,4132,4083,9360
4.25,167,4122,4083,8596
4.25,163,3741,4083,8592
4.25,186,4045,4051,8604
4.0,189,4129,2519,8978
4.25,160,3755,2619,9350
4.25,816,3853,4083,10120
4.25,168,4126,4083,9739
4.5,194,4135,4075,8975
4.0,168,3742,4083,9356
4.0,181,4119,4051,8604
4.25,176,3742,4083,9351
4.25,169,3746,2715,8593
4.25,192,3747,2681,7313
4.0,1222,3745,1733,8591
4.5,191,4128,2569,9364
4.0,188,3746,4067,8461
4.0,198,3749,4083,9352
4.0,190,3744,4083,8980
4.5,183,3733,2681,6938
4.0,195,3793,4083,8207
4.0,189,4179,4083,9362
4.0,1126,3690,3559,7691
4.0,288,4134,4083,8974
4.25,170,3788,3787,9227
4.75,174,3812,4083,6928
4.25,201,3784,4045,9988
4.0,184,3753,4083,9736
4.0,167,3801,2354,9356
4.0,209,4128,4051,9360
4.25,160,3432,2549,7692
4.25,817,4167,3635,9732
4.0,173,3786,3987,9350
4.5,165,3394,3967,7695
4.75,166,3399,4083,7946
4.0,180,4128,4083,10644
4.25,196,3414,4083,7310
4.0,175,4126,4083,9614
4.25,187,3809,3859,9230
