average_degree,qiskit_dense,merging_states,qiskit,pairwise_swap
2.375,239,1163,2036,3243
2.5,235,1141,2036,2981
2.375,236,1167,2036,2895
2.375,451,1108,2036,3071
2.375,592,1222,2036,3786
2.25,253,1188,2036,3197
2.0,268,1135,2036,3626
2.125,304,1117,2036,3506
2.125,966,1132,1146,3184
2.125,239,1173,2036,3229
2.0,260,1209,2036,3384
2.5,255,1130,2036,3230
2.25,440,1111,2036,3213
2.375,204,1205,1656,3417
2.5,234,1142,2036,2906
2.25,261,1207,1656,3322
2.25,279,1108,2036,3291
2.375,381,1175,2036,3424
2.125,361,1073,2036,3409
2.125,465,1232,2036,3510
2.375,296,1108,2036,2981
2.0,277,1223,2036,3367
2.5,245,1155,2036,3506
2.75,259,1025,2036,3681
2.25,248,1128,1782,3257
2.125,321,1183,2036,3502
2.0,285,1186,2036,3502
2.25,1227,1111,2036,3269
2.375,243,1180,2036,3355
2.5,377,1171,2020,3108
2.25,264,1206,2036,3192
2.25,296,1147,1464,3238
2.625,341,1089,1626,3517
2.5,234,1194,2036,3189
2.375,699,1271,2036,3189
2.125,271,1166,2036,3433
2.25,225,1293,2036,3423
2.125,243,1295,2036,3415
2.375,655,1138,2036,3490
2.25,268,1142,2036,3055
2.375,243,1118,2036,3097
2.25,321,1132,1526,3280
2.25,276,1198,1782,3009
2.0,272,1173,2036,3595
2.625,233,1112,2036,3421
2.25,215,1121,2036,3109
2.0,251,1193,1272,3800
2.25,325,1146,2036,3208
2.25,254,1188,2036,3162
2.0,322,1183,2036,3134
2.375,209,1124,2036,3011
2.0,223,1342,2036,3722
2.125,242,1099,2036,3151
2.5,260,1172,2036,3005
2.0,234,1267,2036,3209
2.25,285,1250,2036,3206
2.125,215,1245,2036,3417
2.125,272,1180,1940,3421
2.25,215,1133,2036,3109
2.125,272,1161,2036,3416
2.125,272,1201,2036,3788
2.0,276,1170,2036,3444
2.0,788,1170,2036,3442
2.25,247,1236,2036,3704
2.25,651,1148,2036,3264
2.375,272,1106,2036,3502
2.5,294,1078,2036,3189
2.0,259,1333,2036,3510
2.125,632,1126,2036,3502
2.5,243,1104,2036,3187
2.375,245,1335,2036,3735
2.875,477,1050,1782,2816
2.125,561,1184,2036,3626
2.375,262,1175,2036,3188
2.25,489,1201,2036,3232
2.375,421,1102,2036,3506
2.25,230,1211,1988,2964
2.25,245,1145,2036,3022
2.25,270,1224,1210,3413
2.125,265,1141,2036,3690
2.375,240,1129,2036,3730
2.625,314,1112,2036,3337
2.625,277,1107,2036,2924
2.125,317,1138,2036,3335
2.25,464,1131,2036,3208
2.25,248,1197,1594,3330
2.0,291,1209,2036,3176
2.375,580,1118,2036,3096
2.125,333,1189,2036,3310
2.25,282,1194,1782,3749
2.375,356,1201,1146,3520
2.125,344,1186,2036,3630
2.125,281,1190,2036,3596
2.5,234,1145,1270,3004
2.0,288,1178,2036,3376
2.25,262,1199,1400,3270
2.25,217,1238,2036,3670
2.125,416,1196,2036,3339
2.5,395,1130,2036,3178
2.0,297,1264,2036,3415
