qiskit_dense,merging_states,qiskit,average_degree,pairwise_swap
44,505,469,3.0,1385
37,476,310,3.5,929
54,478,991,3.0,938
50,502,965,3.0,1378
46,476,501,3.0,928
43,486,301,3.0,1215
47,473,1013,3.0,1374
39,472,173,3.5,765
44,479,975,3.0,924
48,473,759,3.0,1217
45,473,475,3.0,1382
36,474,541,4.0,478
42,471,589,3.0,922
40,486,541,3.5,932
51,488,363,3.0,1220
50,496,309,3.0,1377
40,503,1013,3.5,924
43,595,889,3.0,926
47,488,1001,3.0,1375
43,473,951,3.0,930
53,472,1013,3.0,1374
43,486,633,3.0,923
40,470,1013,3.5,770
44,478,1003,3.0,932
37,468,905,3.5,925
45,472,879,3.0,932
49,482,1013,3.0,1375
48,478,1013,3.0,1379
46,477,1005,3.0,1217
38,473,997,3.5,929
43,477,1013,3.0,1384
39,470,759,3.5,770
43,480,1013,3.0,1381
47,474,1009,3.0,934
44,475,999,3.0,1378
44,505,1008,3.0,1377
45,484,861,3.0,1375
38,473,947,3.5,924
181,480,965,3.0,935
44,473,951,3.0,926
51,477,913,3.0,1220
46,476,725,3.0,1214
39,471,887,3.5,766
47,487,665,3.0,1378
51,484,987,3.0,1384
38,506,326,3.5,930
44,487,563,3.0,1381
40,473,835,3.0,1374
35,474,251,4.0,926
44,477,1013,3.0,1378
50,478,661,3.0,933
47,487,677,3.0,1374
41,486,1013,3.0,1374
137,476,965,3.5,931
46,472,1013,3.0,1216
48,482,481,3.0,933
39,475,1013,3.5,770
45,475,959,3.0,1377
45,473,1013,3.5,927
47,485,1013,3.0,1380
42,470,849,3.5,767
34,469,935,4.0,476
49,503,565,3.0,1376
37,471,1005,3.5,928
47,480,773,3.0,1214
35,469,951,4.0,928
38,468,323,4.0,480
41,472,969,3.0,1373
47,481,1013,3.0,1374
38,472,681,3.5,929
41,473,941,3.5,769
50,470,775,3.0,930
41,594,987,3.0,1218
50,480,665,3.0,935
45,480,749,3.5,932
53,481,1003,3.0,1384
44,481,1013,3.0,925
48,502,177,3.0,1381
44,477,621,3.0,930
45,489,461,3.0,1057
48,472,1013,3.0,930
49,487,995,3.0,1215
42,472,965,3.0,932
47,471,941,3.0,1216
50,480,665,3.0,1380
40,472,935,3.5,768
47,474,921,3.0,1215
45,473,1013,3.0,774
49,472,965,3.0,1063
45,476,951,3.0,1376
49,477,1013,3.0,1218
54,472,1013,3.0,1058
50,479,976,3.0,931
50,477,993,3.0,1217
46,470,377,3.0,928
40,474,437,3.5,768
45,484,1013,3.0,1055
35,486,531,3.5,924
43,468,983,3.0,926
46,479,789,3.0,1213
