qiskit,shp_reduced,multiedge,qiskit_dense,mhs_nonlinear,merging_states,mhs_nonlinear_alt,mhs_multi,test
26,479,316,26,256,299,212,99.0,
26,471,334,26,240,299,237,65.0,
26,468,308,26,255,297,231,74.0,
26,520,296,26,229,300,229,80.0,
26,488,342,26,260,302,242,79.0,
26,447,327,26,248,300,235,103.0,
26,503,290,26,229,300,243,88.0,
26,481,307,26,227,299,244,60.0,
26,451,327,26,244,302,205,72.0,
26,458,340,26,261,303,254,73.0,
26,559,287,26,245,301,244,77.0,
26,506,316,26,228,297,215,105.0,
26,442,326,26,261,299,216,108.0,
26,476,289,26,230,302,260,94.0,
26,487,341,26,229,301,239,74.0,
26,570,306,26,260,300,246,64.0,
26,545,280,26,226,298,243,64.0,
26,491,284,26,245,300,251,76.0,
26,454,332,26,243,298,236,73.0,
26,450,371,26,225,299,234,86.0,
26,480,313,26,243,328,254,54.0,
26,503,287,26,230,302,250,104.0,
26,497,244,26,243,322,220,82.0,
26,501,334,26,242,304,212,77.0,
26,581,348,26,246,301,221,62.0,
26,554,291,26,261,303,237,81.0,
26,476,259,26,246,329,216,120.0,
26,465,376,26,246,298,248,116.0,
26,487,315,26,244,299,236,84.0,
26,456,298,26,242,296,249,87.0,
26,508,328,26,229,298,220,78.0,
26,572,355,26,243,298,235,68.0,
26,455,287,26,230,301,232,66.0,
26,532,288,26,243,324,253,82.0,
26,446,395,26,212,297,248,71.0,
26,537,286,26,241,300,235,65.0,
26,499,314,26,230,298,250,59.0,
26,509,325,26,244,301,229,97.0,
26,511,319,26,246,299,233,110.0,
26,425,315,26,245,303,215,72.0,
26,503,383,26,242,304,248,58.0,
26,444,369,26,232,294,248,79.0,
26,445,337,26,243,301,249,118.0,
26,462,326,26,241,301,212,58.0,
26,464,298,26,228,302,216,81.0,
26,545,285,26,245,301,238,84.0,
26,500,285,26,248,299,232,90.0,
26,401,298,26,244,301,219,120.0,
26,578,252,26,244,301,217,65.0,
26,469,332,26,228,300,216,119.0,
26,479,305,26,226,299,236,57.0,
26,440,281,26,243,299,217,101.0,
26,445,313,26,227,300,238,104.0,
26,516,285,26,227,298,224,99.0,
26,513,369,26,274,302,253,83.0,
26,583,288,26,230,299,254,117.0,
26,529,358,26,246,304,237,67.0,
26,477,299,26,244,301,251,114.0,
26,475,304,26,226,298,235,63.0,
26,492,305,26,228,301,235,103.0,
26,463,326,26,231,298,247,102.0,
26,493,318,26,258,301,231,113.0,
26,459,293,26,244,296,218,90.0,
26,412,300,26,259,299,247,77.0,
26,426,263,26,243,323,214,88.0,
26,450,330,26,258,298,236,116.0,
26,508,348,26,279,299,237,74.0,
26,570,355,26,246,299,251,56.0,
26,590,364,26,228,297,237,58.0,
26,458,352,26,227,296,266,64.0,
26,476,338,26,261,299,251,100.0,
26,464,287,26,242,299,234,63.0,
26,514,354,26,239,299,227,81.0,
26,461,322,26,213,300,236,83.0,
26,518,328,26,230,298,210,108.0,
26,461,307,26,261,299,233,63.0,
26,581,327,26,211,305,234,70.0,
26,522,286,26,231,299,230,77.0,
26,448,295,26,230,299,233,96.0,
26,469,351,26,213,300,213,99.0,
26,430,333,26,213,297,231,70.0,
26,542,278,26,228,302,206,70.0,
26,483,306,26,261,302,201,80.0,
26,495,292,26,245,298,234,94.0,
26,548,344,26,227,297,250,62.0,
