qiskit,shp_reduced,gleinig
247,6895,3599
247,6469,3624
247,6851,3600
247,6505,3602
247,7069,3540
247,6259,3573
247,6647,3707
247,7152,3770
247,6930,3595
247,6978,3535
247,6535,3590
247,6538,3734
247,6739,3548
247,6823,3557
247,7023,3535
247,6003,3601
247,7092,3573
247,6630,3511
247,6481,3567
247,6818,3569
247,6855,3735
247,6424,3607
247,6950,3680
247,6294,3470
247,6511,3516
247,6275,3597
247,6510,3532
247,6746,3653
247,7099,3647
247,6539,3612
247,6371,3595
247,6518,3555
247,6647,3670
247,6766,3662
247,6573,3626
247,6548,3628
247,6626,3568
247,7295,3707
247,6319,3718
247,6826,3515
247,6873,3608
247,6324,3393
247,6596,3538
247,6119,3592
247,6414,3554
247,6562,3605
247,6743,3613
247,6497,3676
247,6764,3664
247,6353,3727
247,6835,3704
247,6648,3577
247,6990,3723
247,6718,3616
247,6462,3567
247,6820,3604
247,6658,3524
247,6383,3598
247,6234,3688
247,6483,3685
247,6417,3752
247,6512,3581
247,6952,3678
247,6818,3614
247,6395,3727
247,6875,3590
247,6809,3657
247,6845,3564
247,6230,3656
247,6907,3656
247,7017,3655
247,5955,3592
247,6633,3586
247,6294,3575
247,7165,3726
247,6921,3574
247,6679,3621
247,5913,3734
247,6959,3592
247,6580,3572
247,6837,3573
247,6396,3748
247,6887,3534
247,6497,3586
247,6490,3583
247,6326,3614
247,6207,3498
247,6731,3602
247,6223,3583
247,6697,3703
247,6520,3565
247,6347,3561
247,6181,3595
247,6968,3606
247,6934,3678
247,6544,3536
247,6024,3714
247,6525,3735
247,6599,3629
247,6488,3628
247,6848,3540
247,6538,3728
247,7008,3612
247,6483,3730
247,6448,3617
247,6939,3501
247,6796,3595
247,6437,3642
247,6717,3598
247,6722,3588
247,6465,3536
247,6322,3416
247,6625,3712
247,6635,3646
247,7094,3677
247,6432,3560
247,6332,3693
247,6462,3586
247,6217,3553
247,7057,3676
247,6445,3645
247,6711,3486
247,6610,3521
247,6709,3655
247,6535,3512
247,6526,3601
247,6664,3529
247,7034,3590
247,7114,3673
247,6589,3656
247,6875,3583
247,6440,3620
247,6734,3626
247,6128,3677
247,6393,3663
247,6782,3636
247,5835,3528
247,6988,3563
247,6510,3538
247,6580,3658
247,6499,3696
247,7131,3602
247,5849,3607
247,6572,3537
247,6876,3620
247,5759,3534
247,6575,3644
247,6544,3467
247,6373,3649
247,6769,3623
247,6444,3899
247,6468,3643
247,6872,3477
247,6608,3819
247,6514,3599
247,6806,3604
247,6952,3585
247,6338,3588
247,6336,3672
247,6178,3881
247,6950,3628
247,5954,3660
247,7115,3650
247,6934,3622
247,7084,3793
247,7062,3609
247,6614,3548
247,6886,3515
247,6973,3597
247,7014,3552
247,6351,3604
247,6603,3514
247,6760,3545
247,6674,3670
247,7135,3623
247,6741,3455
247,6456,3572
247,6770,3464
247,6951,3566
247,6304,3606
247,6539,3644
247,6539,3612
247,6892,3602
247,6940,3632
247,6949,3618
247,6024,3733
247,6608,3688
247,6639,3656
247,6727,3669
247,6660,3571
247,6238,3725
247,6283,3610
247,6591,3457
247,7088,3588
247,6662,3628
247,6489,3484
247,6811,3706
247,6582,3725
247,6819,3545
247,6965,3513
247,6665,3604
247,6793,3473
247,6614,3628
247,6454,3716
247,6434,3710
247,6912,3434
247,6769,3591
247,6355,3570
247,6611,3538
247,6899,3715
247,6385,3583
247,6955,3572
247,6388,3736
247,6877,3659
247,6672,3661
247,6687,3578
247,6363,3578
247,6302,3443
247,6517,3624
247,6716,3792
247,6807,3620
247,6534,3548
247,6121,3640
247,6828,3566
247,6352,3534
247,6608,3617
247,6629,3720
247,5851,3570
247,6575,3698
247,6388,3632
247,6791,3531
247,6675,3604
247,6551,3643
247,6830,3574
247,6648,3590
247,6443,3747
247,6710,3627
247,6701,3618
247,6213,3570
247,6744,3659
247,6703,3672
247,6564,3507
247,6721,3471
247,6239,3678
247,6279,3657
247,6226,3476
247,7125,3628
247,6174,3572
247,6667,3613
247,6561,3701
247,6278,3671
247,6738,3575
247,6605,3600
247,6763,3683
247,7292,3512
247,6386,3621
247,6492,3717
247,6927,3526
247,6777,3674
247,6355,3556
247,6236,3665
247,6360,3726
247,7070,3455
247,6527,3515
247,6673,3442
247,6793,3585
247,6285,3468
247,6766,3663
247,6719,3604
247,6619,3602
247,6383,3655
247,6622,3442
247,6887,3416
247,6329,3655
247,6814,3545
247,6293,3494
247,6165,3704
247,6440,3627
247,6291,3576
247,6654,3588
247,6922,3568
247,6523,3539
247,6033,3569
247,6817,3570
247,6704,3589
247,6895,3558
247,7099,3628
247,6617,3592
247,6345,3516
247,6908,3608
247,6585,3619
247,6371,3733
247,6865,3449
247,6185,3522
247,6635,3809
247,6631,3661
247,5723,3620
247,6277,3651
247,6146,3695
247,6936,3591
247,7207,3591
247,6753,3657
247,6843,3648
247,6820,3580
247,6456,3572
247,6208,3586
247,6669,3575
247,6931,3624
247,7057,3629
247,6977,3527
247,6680,3661
247,6112,3622
247,6278,3629
247,6389,3688
247,6662,3594
247,6853,3701
247,6436,3670
247,6635,3604
247,6728,3635
247,6471,3632
247,6199,3751
247,6521,3636
247,6978,3665
247,6687,3582
247,6573,3613
247,6909,3706
247,6547,3575
247,6310,3583
247,6050,3667
247,6705,3668
247,6808,3513
247,6408,3577
247,6618,3641
247,6929,3642
247,6622,3431
247,6764,3700
247,6920,3572
247,6376,3630
247,6518,3565
247,6161,3641
247,6865,3431
247,6995,3671
247,6060,3510
247,6663,3544
247,6432,3542
247,6665,3579
247,6650,3582
247,6838,3531
247,6273,3464
247,6461,3609
247,6700,3603
247,6538,3602
247,6295,3646
247,6603,3599
247,6494,3550
247,6611,3649
247,6127,3614
247,6745,3546
247,6267,3631
247,6790,3669
247,6743,3721
247,6864,3493
247,6786,3591
247,6434,3475
247,6838,3617
247,6737,3727
247,7057,3552
247,6540,3421
247,6712,3507
247,6623,3665
247,6947,3710
247,6666,3550
247,6393,3654
247,7054,3463
247,5927,3529
247,6612,3656
247,6745,3688
247,6716,3706
247,6119,3555
247,6456,3454
247,6432,3615
247,6273,3519
247,6389,3625
247,6480,3580
247,6665,3590
247,6451,3646
247,6755,3723
247,6212,3530
247,6463,3508
247,6951,3598
247,6844,3481
247,6927,3667
247,6710,3712
247,6556,3730
247,6620,3654
247,6068,3612
247,7184,3589
247,6775,3662
247,6383,3588
247,7018,3659
247,7059,3577
247,6941,3554
247,6788,3671
247,6851,3529
247,7082,3558
247,6250,3512
247,6558,3552
247,6196,3674
247,6574,3582
247,6637,3493
247,7165,3560
247,6709,3572
247,5938,3529
247,6754,3522
247,6809,3654
247,6797,3634
247,6903,3593
247,6874,3490
247,7123,3535
247,6916,3616
247,7019,3561
247,7135,3558
247,6869,3705
247,6596,3502
247,6012,3506
247,6905,3602
247,6269,3647
247,6288,3650
247,6094,3513
247,6471,3626
247,6534,3677
247,6906,3615
247,6768,3651
247,6954,3613
247,7111,3595
247,6231,3610
247,6536,3595
247,6448,3488
247,6772,3599
247,6919,3473
247,6252,3671
247,6145,3479
247,6458,3653
247,6589,3486
247,6785,3732
247,6548,3761
247,6515,3585
247,6211,3476
247,6808,3686
247,6392,3538
247,6535,3606
247,6656,3603
247,6020,3588
247,6505,3712
247,6637,3597
247,6831,3456
247,6119,3561
247,6726,3660
247,7235,3530
247,7312,3499
247,7068,3727
247,7032,3681
247,6483,3748
247,7320,3471
247,6612,3622
247,6327,3814
247,6556,3617
247,6698,3483
247,6253,3506
247,6389,3682
247,6929,3534
247,6313,3663
247,6428,3467
247,6782,3603
247,5960,3505
247,6394,3666
247,6310,3657
247,6326,3532
247,7152,3653
247,6499,3746
247,6529,3498
247,6323,3712
247,6828,3644
247,6775,3526
247,5740,3478
247,7284,3569
247,6997,3614
247,6214,3557
247,6207,3737
247,6618,3536
247,6266,3528
247,6312,3591
247,6441,3667
247,6817,3544
247,7058,3666
247,6223,3656
247,6485,3567
247,6664,3531
247,6262,3723
247,6960,3666
247,5991,3639
247,6582,3675
247,6664,3508
247,6743,3567
247,6245,3642
247,6830,3659
247,6178,3618
247,6448,3648
247,6189,3575
247,6974,3471
247,6708,3756
247,6714,3617
247,7073,3621
247,6414,3671
247,6671,3532
247,6731,3726
247,7014,3550
247,6243,3572
247,7030,3603
247,6640,3554
247,7317,3466
247,6705,3536
247,6448,3635
247,7145,3676
247,6314,3695
247,6331,3699
247,6386,3571
247,6267,3658
247,6128,3463
247,6366,3565
247,6239,3582
247,6620,3643
247,6548,3611
247,6468,3435
247,6370,3660
247,6579,3631
247,6647,3696
247,6203,3520
247,6080,3555
247,6481,3648
247,6471,3500
247,6453,3499
247,6097,3659
247,6400,3725
247,6712,3599
247,6469,3706
247,7297,3590
247,6701,3702
247,6648,3647
247,6342,3617
247,6362,3677
247,6127,3563
247,6931,3584
247,6791,3645
247,6482,3666
247,6778,3597
247,6328,3584
247,6818,3545
247,6296,3688
247,6577,3698
247,6449,3559
247,6243,3752
247,6395,3656
247,6385,3703
247,6865,3529
247,6255,3559
247,6695,3715
247,7091,3573
247,6856,3589
247,6371,3521
247,6708,3577
247,6596,3564
247,6630,3566
247,6992,3654
247,6697,3612
247,6694,3555
247,6950,3586
247,6499,3574
247,6662,3545
247,6813,3612
247,6932,3638
247,6331,3769
247,6446,3597
247,7260,3686
247,6628,3690
247,6618,3554
247,6751,3591
247,7010,3699
247,6250,3663
247,6730,3612
247,7044,3567
247,6149,3471
247,6475,3599
247,6346,3492
247,6501,3657
247,6228,3546
247,6469,3602
247,6690,3467
247,6559,3629
247,6944,3763
247,7396,3549
247,6499,3654
247,6786,3536
247,7107,3542
247,6570,3554
247,6718,3711
247,6396,3618
247,6982,3711
247,6567,3677
247,6607,3587
247,6451,3599
247,6394,3649
247,7104,3696
247,6450,3647
247,6467,3591
247,6043,3601
247,6317,3509
247,5980,3566
247,6885,3656
247,7156,3514
247,6608,3585
247,6606,3659
247,6445,3700
247,6710,3457
247,6722,3633
247,6938,3654
247,6910,3560
247,6678,3508
247,6634,3542
247,6589,3596
247,6473,3709
247,6696,3622
247,6459,3581
247,6612,3653
247,6455,3543
247,6403,3537
247,6760,3537
247,6730,3574
247,6440,3659
247,6640,3593
247,6315,3618
247,6737,3621
247,6603,3777
247,6596,3685
247,6156,3440
247,6606,3550
247,7035,3625
247,6363,3646
247,6619,3768
247,6877,3648
247,6279,3683
247,6348,3538
247,6505,3703
247,6267,3669
247,6383,3655
247,6418,3627
247,6759,3681
247,6312,3600
247,6908,3666
247,6244,3636
247,6731,3616
247,6288,3587
247,7130,3746
247,6827,3572
247,6428,3575
247,6318,3599
247,6448,3792
247,6883,3650
247,7121,3475
247,6385,3591
247,5976,3578
