qiskit_dense,shp,qiskit,merging_states,average_degree
453,519,247,274,1.9375
545,567,247,298,1.5625
294,556,247,322,1.9375
514,567,247,330,1.4375
513,572,247,280,1.875
508,640,247,307,1.6875
645,638,247,290,1.9375
719,514,247,291,1.5
619,602,247,301,1.6875
630,632,247,330,1.6875
474,588,247,328,1.75
481,584,247,318,2.0
407,687,247,327,1.75
389,681,247,329,1.875
356,638,247,346,1.75
647,651,247,310,1.6875
505,695,247,281,1.875
494,720,247,323,1.875
753,514,247,304,2.0
845,769,247,299,1.5
472,644,247,316,1.75
559,658,247,339,1.6875
519,572,247,305,1.75
590,555,247,293,1.75
630,574,247,330,1.625
427,609,247,368,1.6875
375,593,247,310,2.125
572,609,247,303,1.8125
278,641,247,353,1.9375
370,736,247,343,2.125
374,551,247,306,1.8125
693,594,247,345,1.75
487,606,247,388,2.0625
529,703,247,317,1.625
382,586,247,306,1.9375
526,576,247,308,1.8125
339,647,247,406,1.625
497,492,247,317,2.125
665,633,247,317,1.5625
477,612,247,337,1.875
349,606,247,283,1.875
509,559,247,334,1.5
432,593,247,320,1.625
343,630,247,356,1.5625
711,511,247,249,2.0625
593,537,247,283,1.75
602,614,247,276,1.9375
768,659,247,290,1.5
651,504,247,281,1.75
543,635,247,320,1.5625
593,554,247,317,1.875
515,563,247,313,1.9375
501,511,247,301,1.6875
376,627,247,343,1.75
577,647,247,308,1.375
478,487,247,323,2.25
562,696,247,312,1.625
491,505,247,282,2.0
550,653,247,263,1.75
597,525,247,306,1.8125
409,513,247,323,1.75
416,679,247,323,1.75
486,685,247,303,2.125
530,504,247,308,2.1875
483,653,247,301,1.8125
435,701,247,315,1.625
578,597,247,293,1.9375
491,498,247,325,1.875
574,558,247,302,2.0
454,669,247,321,1.625
571,613,247,324,1.4375
469,628,247,403,1.625
510,641,247,304,1.4375
421,663,247,331,1.9375
622,759,247,330,1.75
726,622,247,295,1.9375
540,666,247,316,1.4375
770,545,247,336,1.6875
316,589,247,277,1.75
360,658,247,302,2.0625
594,633,247,296,1.625
524,520,247,318,1.6875
528,618,247,327,1.625
503,690,247,294,1.625
472,573,247,326,1.8125
505,663,247,323,1.6875
314,706,247,325,1.75
552,645,247,336,1.75
590,636,247,290,1.875
648,491,247,308,1.875
466,710,247,343,1.625
516,741,247,306,1.375
504,571,247,352,1.75
597,647,247,288,1.75
615,643,247,281,1.9375
554,668,247,326,1.8125
335,592,247,334,1.875
676,589,247,244,1.9375
698,595,247,340,1.6875
433,590,247,291,2.0
