average_degree,qiskit_dense,merging_states,qiskit,pairwise_swap
3.0,133,1221,2002,3730
3.25,129,1392,1338,2701
4.0,119,1089,2036,2445
3.5,108,1407,1588,3913
3.25,477,1260,2036,3334
3.5,89,1096,2004,3074
3.25,129,1379,2036,2891
3.0,117,1397,1258,3149
3.25,123,1288,896,3080
3.0,126,1241,2024,3083
3.0,128,1251,2032,3535
3.0,130,1197,2036,3528
3.0,109,1396,1386,3347
3.5,114,1218,2036,2696
3.5,114,1104,2036,2894
3.0,129,1419,1824,3540
3.25,92,1222,2036,3156
3.5,1383,1093,1146,3081
3.5,114,1385,2026,3338
3.0,130,1228,1924,3792
3.5,112,1224,2036,2896
3.0,107,1384,2036,3089
3.25,127,1220,2020,2703
3.25,290,1383,1400,3532
3.25,113,1433,1368,3344
3.5,118,1388,1866,2699
3.0,114,1395,2036,3982
3.25,108,1376,1796,2887
3.5,143,1423,1940,3732
3.5,127,1227,1464,3351
3.0,120,1351,2036,3727
3.0,120,1220,1806,3345
3.0,110,1259,1844,3534
3.5,128,1247,1924,3085
3.0,112,1348,2034,2970
3.25,124,1223,1210,3080
3.25,122,1390,2036,3528
3.5,109,1196,2036,3539
3.25,103,1249,2036,2901
3.25,111,1390,1434,3158
3.0,123,1393,1924,3095
3.0,122,1392,2036,3162
3.0,122,1218,2036,3536
3.0,191,1272,1210,3337
3.25,241,1405,1833,3537
3.5,123,1091,2036,3083
3.0,113,1404,698,3537
3.0,114,1392,1498,2901
3.5,99,1219,2036,2700
3.5,150,1251,2036,2899
3.5,108,1274,2036,3332
3.25,114,1418,1272,3152
3.0,117,1258,2036,3337
3.0,130,1273,1180,3723
3.25,127,1259,2036,3148
3.0,111,1224,1492,3537
3.0,115,1224,2036,3347
3.0,133,1254,2036,3337
3.25,115,1441,2036,3352
3.5,112,1392,2036,3333
3.0,120,1219,2034,3536
3.0,138,1402,1418,3731
3.25,129,1228,652,2705
3.0,133,1392,2036,3283
3.0,99,1416,2036,3343
3.25,116,1108,1272,3082
3.75,132,1219,1978,2069
3.0,107,1259,2036,3149
3.25,133,1222,2036,3339
3.25,114,1223,2036,3338
3.0,125,1376,2036,4371
3.0,201,1227,1578,2906
3.25,115,1399,1612,3727
3.0,139,1391,2036,3725
3.0,114,1266,1588,3724
3.25,122,1264,2036,2897
3.0,122,1545,2036,3345
3.0,128,1383,1940,3530
3.5,93,1341,1924,3151
3.0,142,1415,794,3984
3.25,113,1228,1496,2901
3.0,104,1397,2036,3536
3.25,122,1113,1752,3097
3.25,120,1398,2036,3533
3.0,110,1224,2028,3540
3.0,167,1268,2036,3530
3.0,123,1392,2036,3541
3.0,112,1392,1988,3532
3.25,109,1259,2036,3147
3.0,113,1381,2036,3275
3.5,120,1263,1442,2901
3.25,141,1249,2036,3344
3.0,121,1262,1306,3530
3.25,120,1228,2006,2905
3.25,124,1390,1648,3081
3.25,123,1222,2036,3082
3.0,671,1382,1972,3984
3.25,162,1228,1972,2896
3.0,130,1442,474,3160
3.0,131,1385,2036,3536
