qiskit_dense,shp,qiskit,merging_states,average_degree
27,765,233,592,4.0
26,738,203,591,5.0
27,765,247,592,4.0
27,765,171,592,4.0
28,767,245,593,4.0
28,766,101,593,4.0
28,767,171,593,4.0
28,768,85,593,4.0
28,766,57,593,4.0
28,765,247,593,4.0
27,766,185,592,4.0
27,766,85,592,4.0
26,734,247,591,5.0
28,768,155,593,4.0
27,765,245,592,4.0
27,766,166,592,4.0
27,766,155,592,4.0
27,765,247,592,4.0
26,736,115,591,5.0
27,766,215,592,4.0
28,765,247,593,4.0
26,734,247,591,5.0
28,765,243,593,4.0
26,736,129,591,5.0
27,766,185,592,4.0
26,736,121,591,5.0
27,765,217,592,4.0
28,765,126,593,4.0
26,736,243,591,5.0
26,736,233,591,5.0
28,766,117,593,4.0
26,738,231,591,5.0
27,765,110,592,4.0
26,738,107,591,5.0
26,738,161,591,5.0
28,767,233,593,4.0
26,735,239,591,5.0
28,765,217,593,4.0
27,765,233,592,4.0
27,765,185,592,4.0
28,766,233,593,4.0
28,768,161,593,4.0
27,765,228,592,4.0
27,765,145,592,4.0
27,765,73,592,4.0
26,738,97,591,5.0
27,766,169,592,4.0
27,766,185,592,4.0
27,766,234,592,4.0
28,767,185,593,4.0
26,735,146,591,5.0
27,766,247,592,4.0
26,734,247,591,5.0
26,734,59,591,5.0
28,768,165,593,4.0
26,736,238,591,5.0
26,734,247,592,5.0
28,765,243,593,4.0
28,767,247,593,4.0
26,734,185,591,5.0
27,766,107,592,4.0
26,734,173,591,5.0
27,766,240,592,4.0
28,766,203,593,4.0
27,765,234,592,4.0
29,770,209,594,4.0
27,766,121,592,4.0
27,765,77,592,4.0
28,767,247,593,4.0
27,765,81,592,4.0
28,765,241,593,4.0
26,738,230,591,5.0
28,767,217,593,4.0
27,765,107,592,4.0
28,767,247,593,4.0
26,735,169,591,5.0
28,768,203,593,4.0
27,764,185,592,4.0
28,768,235,593,4.0
28,768,149,593,4.0
29,767,247,594,4.0
26,738,247,591,5.0
27,765,211,592,4.0
28,767,213,593,4.0
27,766,215,592,4.0
27,765,147,592,4.0
27,764,185,592,4.0
27,765,157,592,4.0
29,768,149,594,4.0
26,736,113,591,5.0
26,735,185,591,5.0
27,766,85,592,4.0
27,765,240,592,4.0
26,734,209,591,5.0
27,766,171,592,4.0
27,766,247,592,4.0
28,768,247,593,4.0
29,771,247,594,4.0
26,734,247,591,5.0
26,734,211,591,5.0
