qiskit_dense,shp,qiskit,merging_states,average_degree
371,590,247,346,2.75
151,688,247,339,2.5
166,631,247,350,2.25
230,658,233,331,2.75
145,656,247,371,2.875
223,645,247,418,2.375
356,636,247,321,3.0
106,657,247,379,2.375
163,593,247,298,2.8125
68,729,185,418,3.5
334,695,247,343,2.875
211,594,241,333,2.3125
168,575,247,373,2.25
301,567,247,343,2.75
73,667,247,348,2.5
124,642,247,352,2.5
139,621,247,418,2.375
360,620,247,307,2.375
84,521,247,361,2.625
306,548,247,363,2.625
566,453,247,306,2.5
163,640,247,318,2.9375
179,596,247,415,2.375
374,761,247,341,3.375
224,599,247,375,2.25
288,578,247,313,2.5
385,507,247,301,3.0
280,535,247,320,2.8125
176,561,247,358,2.375
467,622,247,302,2.5
173,631,247,361,2.125
193,563,185,353,2.5
201,598,247,382,2.625
192,620,247,383,2.375
140,718,247,343,2.875
102,681,247,399,2.625
154,690,247,358,2.875
195,482,247,338,3.0
660,618,185,322,2.625
419,636,247,288,2.375
134,572,247,342,3.125
148,697,185,413,2.875
433,514,247,407,2.5
262,555,247,380,2.5625
478,554,247,307,2.625
186,560,247,383,2.75
66,659,247,401,3.0
373,715,247,320,2.5
207,660,247,331,3.25
167,489,247,318,2.875
97,735,247,338,2.625
296,595,247,336,2.5
116,565,247,310,2.3125
396,593,247,444,2.3125
157,717,247,350,2.625
181,599,247,350,2.5
171,607,231,423,2.375
176,693,247,379,2.25
267,594,247,300,2.75
176,557,247,363,2.625
126,744,247,336,2.5
103,668,247,400,2.75
151,642,247,416,3.125
139,565,247,405,2.5
165,530,247,337,3.375
337,623,247,330,2.375
204,443,247,336,2.625
283,659,247,312,2.5
182,522,247,322,3.0
357,620,247,339,2.625
441,661,247,363,2.375
282,582,247,363,2.125
190,722,247,367,2.125
170,607,247,361,2.125
389,613,247,300,2.5
120,662,245,376,2.625
227,587,247,342,2.6875
213,626,185,361,2.25
357,500,247,374,2.625
637,491,247,343,2.6875
127,625,247,397,2.375
160,597,247,372,2.125
117,686,247,348,2.625
109,637,185,427,2.625
436,515,247,304,2.375
129,744,247,359,3.625
399,647,247,327,2.4375
456,489,247,302,2.375
110,599,247,396,2.875
320,573,247,397,2.625
329,580,247,308,2.3125
131,657,247,390,2.5
579,569,247,296,2.8125
122,586,247,370,3.0
120,457,247,304,2.6875
82,711,247,340,2.6875
291,543,247,325,2.75
159,624,247,363,2.125
231,543,247,310,2.6875
127,610,247,385,2.375
