qiskit_dense,merging_states,qiskit,average_degree,pairwise_swap
237,354,1013,1.375,1215
231,345,1013,1.0,1098
265,330,1013,1.25,1212
183,339,1013,1.5,1103
264,332,1013,1.25,1068
164,354,1005,1.625,1060
234,303,1013,1.375,1108
189,383,1013,1.125,1306
242,377,1013,1.25,1104
219,377,1013,1.0,1103
252,333,1013,1.375,1054
216,353,1013,1.375,1196
310,362,1013,1.375,1177
194,353,1013,1.25,1178
281,382,1005,1.125,1178
237,347,1013,1.0,1296
215,346,1013,1.125,1102
186,334,1013,1.5,1147
223,331,1013,1.125,1096
215,371,1013,1.5,1209
204,374,1013,1.125,1141
213,399,1013,1.375,1288
253,361,1013,1.25,1145
253,329,571,1.25,1058
224,343,1013,1.125,1065
253,359,1013,1.25,1142
249,354,1013,1.125,1024
201,310,1013,1.25,1138
331,342,1013,1.5,1150
211,345,1013,1.125,1130
189,349,1013,1.375,1079
230,329,1013,1.375,1097
250,373,1013,1.25,1064
238,352,1013,1.125,1137
226,361,697,1.375,1137
194,353,1013,1.25,1122
231,358,1013,1.25,1249
219,356,1013,1.0,1126
192,370,1013,1.25,1105
271,383,1013,1.0,1174
231,364,1013,1.5,1161
241,370,1013,1.25,1218
191,336,1013,1.25,1128
343,375,857,1.25,1187
215,337,1013,1.25,1105
326,339,1013,1.125,1014
271,356,759,1.25,1057
211,361,1013,1.125,1212
266,366,1013,1.0,1082
224,385,1013,1.125,1202
256,353,1013,1.25,1063
483,334,1013,1.25,1127
224,399,1013,1.125,1211
202,347,1013,1.375,1040
209,333,1013,1.375,1132
223,363,1013,1.25,1091
247,323,1013,1.0,1172
209,401,571,1.0,1142
216,361,1013,1.25,1185
298,360,1013,1.25,968
180,347,1005,1.625,1048
279,335,571,1.375,1166
209,315,1013,1.0,1275
186,364,1013,1.5,1097
243,343,1013,1.125,1139
318,341,1013,1.25,1210
222,349,1013,1.5,1211
252,360,1013,1.125,1174
246,338,1013,1.375,1213
214,351,1013,1.375,1254
539,322,1013,1.375,1104
242,386,1013,1.0,1212
182,371,1013,1.5,1025
289,408,571,1.0,1213
193,377,633,1.25,1140
211,356,1013,1.25,1069
231,351,1013,1.25,1092
307,334,1013,1.125,1135
254,335,1013,1.375,1106
273,348,1013,1.25,1177
263,382,1013,1.125,1140
238,341,1013,1.125,1068
225,361,1013,1.25,1095
243,340,1005,1.25,1021
214,294,1013,1.75,1109
175,336,1013,1.375,887
244,385,1013,1.25,1066
172,361,1013,1.125,1128
210,362,1013,1.25,1022
214,357,1013,1.25,1226
274,369,1013,1.125,1031
257,342,1013,1.5,1095
264,332,1013,1.125,1168
238,357,1013,1.25,1020
259,367,981,1.25,1104
225,374,571,1.0,1132
150,308,1013,1.5,1079
264,358,1013,1.0,1174
431,356,1013,1.25,1338
354,375,1013,1.0,1143
