shp,qiskit,qiskit_dense,merging_states,average_degree
590,571,186,372,2.125
564,1013,307,363,2.0
497,1013,287,327,2.125
546,1013,264,310,2.0
569,1013,416,368,2.25
526,1013,390,372,2.0625
474,1013,307,298,2.25
511,1013,273,314,2.25
544,1013,217,294,2.25
614,1013,390,329,2.0
562,1005,134,306,2.25
475,821,392,320,2.25
571,1013,158,360,2.25
542,1013,151,322,2.0
544,887,444,330,2.125
539,921,209,378,2.25
560,1013,543,326,2.125
560,1013,474,317,2.0625
545,1013,170,356,2.25
661,797,72,361,2.0
543,951,247,333,2.125
523,1013,370,407,2.125
522,1013,610,281,2.125
597,729,282,432,2.0
655,1013,175,363,2.0
597,965,318,341,2.125
592,949,172,315,2.625
539,1013,510,386,2.0625
572,1013,484,310,2.0
538,1013,379,296,2.375
546,1013,323,297,2.25
528,1013,474,326,2.0625
556,999,406,310,2.0625
601,1013,148,369,2.25
618,1013,100,417,2.25
698,975,69,418,2.25
613,1013,286,321,2.25
539,1013,287,374,2.0625
529,1013,221,338,2.125
581,981,80,438,2.0
543,941,176,352,2.5
502,1013,217,350,2.25
466,1013,399,326,2.0
587,1013,299,363,2.125
639,1013,241,289,2.375
509,1013,225,339,2.375
644,1011,125,345,2.5
537,1013,150,344,2.25
635,963,208,338,2.0
537,1013,125,379,2.125
539,1013,208,303,2.4375
462,1013,507,291,2.0625
463,1013,297,303,2.25
554,1013,225,351,2.125
546,759,376,362,2.125
628,1013,225,324,2.25
634,953,496,328,2.0
518,949,316,432,2.0
576,1001,352,363,2.1875
452,1013,340,304,2.1875
478,1013,159,325,2.0
605,1013,201,321,2.125
542,1013,203,350,2.125
394,1013,405,334,2.25
599,887,471,340,2.0
581,1013,217,357,2.125
538,1013,280,382,2.0625
620,1013,143,322,2.125
622,1013,259,367,2.125
517,1013,155,330,2.125
568,1013,639,329,2.25
625,1013,342,309,2.1875
607,1013,412,308,2.0625
575,1013,277,304,2.125
595,633,207,429,2.25
592,1013,195,337,2.125
523,949,219,347,2.25
588,1013,301,351,2.0
539,981,239,356,2.0
509,1013,431,334,2.0
595,1013,266,365,2.125
508,887,114,374,2.0
521,1013,168,319,2.375
650,1013,456,317,2.0625
636,1013,384,317,2.125
502,619,120,348,2.0
598,1013,532,335,2.0
690,1013,309,330,2.5
494,1013,212,341,2.0
456,1013,463,309,2.125
512,1013,231,349,2.125
580,1013,346,297,2.25
626,1013,191,360,2.125
625,965,166,342,2.25
606,1013,478,323,2.0
638,697,154,430,2.0
537,1013,390,318,2.1875
628,1013,193,315,2.5
540,1005,92,323,2.75
620,1013,253,294,2.125
