average_degree,qiskit,merging_states,qiskit_dense
1.0,1013,252,742
1.1875,1013,271,687
1.1875,1013,293,766
1.25,1013,257,793
1.1875,1013,307,599
1.3125,1013,274,435
1.125,1013,270,572
1.1875,1013,298,574
1.3125,1013,268,669
1.125,1013,335,679
1.125,1013,283,777
1.375,1013,305,680
1.25,1013,251,618
1.0,1013,265,675
1.0625,1013,313,643
1.125,1013,291,762
1.125,1013,290,638
1.375,1013,277,561
1.5625,1013,272,478
1.125,1013,304,517
1.25,1013,276,712
1.25,1013,292,677
1.375,1013,267,684
1.5625,1013,257,664
1.1875,1013,307,601
1.1875,1013,254,663
1.0625,1013,275,751
1.1875,1013,300,581
1.125,1013,262,515
1.3125,1013,283,664
1.125,1013,272,450
1.1875,1013,313,601
1.1875,1013,319,699
1.125,1013,260,540
1.3125,1013,296,655
1.375,1013,268,587
1.5,1013,275,713
1.125,1013,257,573
1.3125,1013,290,559
1.3125,1013,253,718
1.25,1013,250,573
1.1875,1013,344,783
1.0625,1013,267,618
1.125,1013,296,570
1.1875,1013,273,593
1.3125,1013,259,608
1.0625,1013,278,573
1.25,1013,273,612
1.3125,1013,307,652
1.0625,1013,263,735
1.375,1013,246,569
1.1875,1013,299,769
1.375,1013,296,529
1.1875,1013,289,653
1.125,1013,315,697
1.0625,1013,368,666
1.3125,1013,251,592
1.25,1013,269,727
1.3125,1013,315,568
1.0625,1013,296,634
1.375,1013,288,738
1.3125,1013,285,711
1.3125,1013,306,660
1.25,1013,303,629
1.1875,1013,301,590
1.1875,1013,290,613
1.25,1013,258,776
1.1875,1013,330,693
1.3125,1013,250,607
1.3125,1013,258,703
1.25,1013,324,670
1.125,1013,325,564
1.0625,1013,304,684
1.625,1013,278,593
1.0,1013,306,725
1.25,1013,274,585
1.25,1013,267,742
1.25,1013,307,703
1.4375,1013,272,625
1.125,1013,243,587
1.3125,1013,282,528
1.375,1013,246,682
1.125,1013,280,643
1.1875,1013,279,752
1.5625,1013,265,490
1.1875,1013,294,615
1.375,1013,250,509
1.25,1013,295,644
1.0625,1013,278,647
1.375,1013,293,645
1.3125,1013,293,673
1.1875,1013,270,712
1.125,1013,285,652
1.125,1013,298,681
1.3125,1013,320,521
1.3125,1013,290,431
1.3125,1013,316,630
1.25,1013,331,594
1.3125,1013,241,523
1.0,1013,350,545
