qiskit,shp_reduced,multiedge,qiskit_dense
502,2888,3471,2856
502,3048,3856,2622
502,2944,3874,2617
502,2805,3678,2512
502,3039,3577,2947
502,2741,3605,2452
502,3251,3960,2330
502,2638,3845,2237
502,3052,4012,3260
502,3119,3547,2430
502,3102,3869,2652
502,2991,4019,2246
502,2791,3492,2778
502,3086,3879,2006
502,2918,3399,2863
502,3070,3420,2400
502,3103,3406,2645
502,2907,3640,1976
502,2970,3420,2564
502,3104,3859,2225
502,3009,3650,2575
502,3026,3647,2829
502,2813,3615,2209
502,2890,3663,2487
502,2968,3571,2347
502,3096,3383,2420
502,3179,3700,2376
502,2988,4020,2461
502,2825,3635,2581
502,3148,3626,2374
502,3014,3593,2472
502,2906,3604,2717
502,2911,3503,2419
502,3000,3750,2496
502,2846,3594,2278
502,3130,3643,2152
502,3057,3885,2211
502,2828,3899,2541
502,2824,3532,2063
502,3020,3645,2517
502,2957,3786,2325
502,3042,3608,2890
502,2868,3846,2165
502,2826,3610,3067
502,3186,3927,2395
502,2996,3587,2637
502,2803,3706,2261
502,2986,4123,2457
502,2858,3562,2437
502,2640,3640,1994
502,2633,3449,2839
502,3111,3481,2579
502,3248,3664,2780
502,2906,3824,2495
502,2955,3294,2425
502,3200,3785,2369
502,3072,3586,2755
502,3057,3394,2346
502,3067,3749,2120
502,2924,3503,1909
502,3034,3573,2270
502,2930,3707,2627
502,2918,3548,3128
502,3058,3941,3074
502,2954,3860,2408
502,2896,3434,2883
502,3136,3724,2647
502,2773,3946,2655
502,2974,3621,2645
502,2837,3568,2647
502,2962,3761,2919
502,3121,3495,2287
502,3028,3630,2142
502,2963,3773,2580
502,3045,3442,2730
502,2990,3387,2848
502,2933,3611,2999
502,2622,3796,2613
502,2994,3459,3181
502,3042,3722,2766
502,3046,3395,2430
502,3008,3783,2048
502,3175,3506,2613
502,2787,3593,2272
502,2622,3255,2361
502,2816,3273,2717
502,3125,3576,2057
502,3156,3848,2820
502,3188,3386,2082
502,2866,3775,2968
502,3073,3339,2829
502,3277,3710,2021
502,3131,3712,2549
502,3106,3657,2667
502,2926,4047,2709
502,2999,3736,2271
502,2895,3571,3015
502,2939,3688,2104
502,2875,3683,2703
502,2832,3714,2227
502,3105,3430,2629
502,3231,3898,2069
502,3063,3566,2738
502,3023,3593,2621
502,3162,3382,2709
502,3142,4281,2475
502,3146,3814,2668
502,2906,3225,2682
502,3030,3642,2702
502,2634,3324,2178
502,2996,3601,2489
502,2899,4196,3066
502,3092,3254,2386
502,3093,3981,2773
502,2968,3445,2551
502,2925,3494,2315
502,2986,3827,2790
502,2676,3655,2353
502,3090,3675,2732
502,2828,3885,2591
502,3036,3749,2293
502,3208,3482,2408
502,2728,3523,2780
502,3299,3766,1803
502,2827,3652,2344
502,2872,3688,2675
502,3181,3824,2259
502,2831,3827,2513
502,2952,3690,2876
502,3133,3574,2353
502,3124,3428,2602
502,2823,3589,3006
502,3246,3763,2141
502,2912,3341,2410
502,2915,3485,2658
502,2946,3561,2456
502,2724,3703,2156
502,3049,3718,2809
502,2969,3489,1909
502,2962,3775,2817
502,2836,3405,1759
502,3110,3559,2274
502,3006,3619,2722
502,3210,3300,2774
502,2783,3488,2366
502,2910,3609,2574
502,3031,3503,1958
502,3278,3733,2733
502,2910,3728,2133
502,2939,3620,2194
502,2976,3825,2833
502,2981,3500,2429
502,2673,3285,2925
502,2956,3919,2714
502,2954,3415,2900
502,3080,3695,2557
502,2948,3677,2482
502,2559,3669,2350
502,2749,3497,2600
502,2801,3497,2754
502,2874,3688,2795
502,2917,3830,2492
502,2695,3449,2507
502,2672,3334,2139
502,3006,3701,2354
502,2846,3682,2834
502,2931,3741,2322
502,3079,3360,2033
502,3026,3511,2720
502,2965,3664,2861
502,3077,3366,2226
502,2890,3588,2285
502,3088,3308,2417
502,2825,3453,2347
502,2929,3885,2616
502,2789,3709,2739
502,3337,3628,2405
502,2616,3793,2365
502,2885,3618,2418
502,2924,3840,1936
502,2797,3645,2520
502,2907,3727,2725
502,3086,3636,2752
502,3235,3793,1896
502,2995,3626,2520
502,2836,3913,2440
502,3093,3929,2850
502,2900,3760,2978
502,2986,3304,2404
502,3021,3641,2294
502,3118,3796,2135
502,2936,3553,2975
502,2900,3776,2489
502,2902,3254,1991
502,3113,3760,3005
502,2794,3380,2075
502,3027,3529,2605
502,3026,3859,2775
502,3290,3886,2726
502,2996,3614,3313
502,2972,3351,2800
502,2911,3655,2833
502,2810,3596,2233
502,2915,3606,2061
502,2990,3582,2801
502,3219,3820,2560
502,2824,3494,2024
502,3254,3752,1947
502,2993,3442,2120
502,3166,3405,1827
502,2923,3538,2138
502,3080,3300,2492
502,2880,3715,2194
502,2902,3672,2687
502,3175,3687,2715
502,3227,3774,2979
502,3105,3936,2557
502,3357,3741,2723
502,2845,3622,2331
502,2745,3837,2760
502,2972,3751,3289
502,2911,3530,2860
502,2755,3479,2204
502,3036,4059,2317
502,2803,3584,2469
502,3066,3714,2318
502,3048,3693,2163
502,2744,3283,2245
502,2915,3464,2487
502,3006,3365,2805
502,3120,3455,2417
502,3101,3268,2428
502,2842,3834,2542
502,3018,3605,2589
502,3074,3466,2256
502,3106,3381,2180
502,3029,3424,2231
502,2893,3553,2468
