qiskit,gleinig
2036,69327
2036,69170
2036,69529
2036,69479
2036,68154
2036,68820
2036,68502
2036,68794
2036,69788
2036,69703
2036,69922
2036,69612
2036,69514
2036,68941
2036,68840
2036,69334
2036,69913
2036,68750
2036,69077
2036,68944
2036,69436
2036,70007
2036,68761
2036,68879
2036,70382
2036,69390
2036,69348
2036,69499
2036,69192
2036,69142
2036,70667
2036,69936
2036,70054
2036,69446
2036,69089
2036,70078
2036,69965
2036,69273
2036,69802
2036,69404
2036,68785
2036,69597
2036,69829
2036,69825
2036,69286
2036,68980
2036,69235
2036,69364
2036,68887
2036,68866
2036,68984
2036,69868
2036,69567
2036,70037
2036,69125
2036,69491
2036,69013
2036,70327
2036,68280
2036,69830
2036,69031
2036,69263
2036,69816
2036,69777
2036,69768
2036,69031
2036,69084
2036,69801
2036,69061
2036,68932
2036,69519
2036,69046
2036,69027
2036,69340
2036,69690
2036,68676
2036,69737
2036,69539
2036,69414
2036,68853
2036,68429
2036,69211
2036,69655
2036,69382
2036,68640
2036,69895
2036,69056
2036,69640
2036,68970
2036,68863
2036,69906
2036,69395
2036,69479
2036,69569
2036,69851
2036,68754
2036,69210
2036,69095
2036,70030
2036,68483
2036,69122
2036,70044
2036,69226
2036,68871
2036,69016
2036,69349
2036,69147
2036,69581
2036,69106
2036,69000
2036,69366
2036,68523
2036,68525
2036,68893
2036,69634
2036,69832
2036,69745
2036,69642
2036,70018
2036,70692
2036,70013
2036,69335
2036,70328
2036,69448
2036,69438
2036,68803
2036,69034
2036,68290
2036,69731
2036,69680
2036,69479
2036,68883
2036,69360
2036,68944
2036,68440
2036,69616
2036,68839
2036,69000
2036,68848
2036,69561
2036,70427
2036,68722
2036,69422
2036,69575
2036,68468
2036,68897
2036,69789
2036,69838
2036,68414
2036,69134
2036,69494
2036,69053
2036,69424
2036,68323
2036,69670
2036,69801
2036,69785
2036,69374
2036,69494
2036,68944
2036,69632
2036,69521
2036,68371
2036,69664
2036,68967
2036,70509
2036,69349
2036,68299
2036,70338
2036,69149
2036,69642
2036,68851
2036,68515
2036,69283
2036,69772
2036,68992
2036,69805
2036,69709
2036,68717
2036,69897
2036,69683
2036,69674
2036,69985
2036,69863
2036,70354
2036,70007
2036,69217
2036,69045
2036,69691
2036,69319
2036,70325
