qiskit_dense,qiskit,shp,merging_states,average_degree
71,502,675,410,3.25
223,395,556,420,3.25
61,384,594,473,3.0
42,478,610,477,3.0
55,502,576,500,3.0
51,360,583,408,3.25
51,502,546,482,3.0
62,500,805,413,3.75
46,500,679,475,3.0
105,414,635,470,3.25
56,486,681,419,3.25
84,502,742,417,3.25
57,502,722,411,3.25
56,248,609,475,3.0
38,494,635,468,4.0
50,308,616,474,3.0
289,466,684,472,3.25
71,268,602,486,3.0
56,494,663,410,3.25
119,502,703,409,3.25
41,488,675,474,3.0
64,435,728,411,3.25
66,464,716,470,3.0
67,502,629,429,3.0
52,497,803,409,3.5
55,502,665,472,3.0
174,502,630,417,3.0
35,408,776,476,3.5
51,248,629,491,3.0
43,500,672,406,3.5
50,492,606,438,3.0
120,502,693,415,3.5
70,502,609,509,3.0
60,488,610,478,3.0
47,172,620,471,3.0
35,502,699,468,4.5
66,500,621,481,3.0
38,502,659,468,4.0
37,502,692,469,4.0
87,502,599,418,3.25
53,466,707,412,3.75
40,300,766,472,3.5
56,314,633,413,3.25
55,236,601,417,3.0
66,492,773,413,3.0
110,487,639,469,3.75
129,260,665,425,3.0
46,502,609,489,3.0
45,332,634,478,3.0
50,472,588,414,3.0
57,496,627,481,3.0
55,440,669,416,3.0
65,434,729,415,3.25
39,500,700,471,3.5
70,496,672,414,3.0
70,488,562,413,3.75
146,448,706,416,3.25
66,346,653,415,3.25
143,488,709,470,3.5
44,502,602,475,3.5
61,496,684,414,3.5
40,502,634,405,3.75
55,362,609,425,3.25
71,502,538,413,3.0
40,440,551,413,3.75
193,494,665,469,3.75
127,502,696,421,3.0
65,502,706,420,3.0
43,486,693,471,3.25
68,346,560,413,3.0
52,502,560,411,3.0
61,486,624,420,3.0
42,502,607,477,3.0
33,502,688,469,3.5
82,482,539,479,3.0
60,440,686,472,3.0
61,314,558,418,3.0
66,502,578,422,3.0
142,502,648,417,3.5
54,502,558,413,3.0
91,502,566,406,3.0
55,502,722,429,3.25
32,122,723,468,4.0
68,502,583,478,3.0
49,502,605,407,3.75
47,492,609,485,3.0
59,492,551,472,3.0
62,502,614,410,3.25
57,426,582,411,3.75
56,502,623,415,3.5
60,502,607,416,3.0
49,440,637,415,3.25
52,502,627,411,3.25
75,426,602,416,3.0
36,502,732,472,4.0
36,216,690,488,3.5
41,248,622,415,3.75
53,344,615,473,3.0
52,500,632,470,3.0
98,502,605,479,3.0
