average_degree,qiskit_dense,merging_states,qiskit,pairwise_swap
5.0,59,1865,1913,2618
5.0,58,1864,1850,2617
5.0,58,1864,1858,2617
6.0,57,1863,1779,57
5.0,58,1864,1269,2617
5.0,59,1865,1498,2618
5.0,59,1865,2017,2618
5.0,62,1868,1980,2621
5.0,61,1867,2034,2623
5.0,60,1866,2036,2619
5.0,58,1864,499,2617
5.0,62,1868,2036,2625
5.0,60,1866,1794,2621
5.0,59,1865,1954,2619
5.0,60,1866,1520,2619
5.0,59,1865,1014,2618
5.0,61,1867,1634,2620
5.0,59,1865,1977,2618
5.0,58,1864,1460,2617
5.0,59,1865,1342,2619
5.0,58,1864,426,2617
5.0,59,1865,1888,2618
5.0,60,1866,1670,2619
5.0,59,1865,1984,2618
5.0,59,1865,1950,2618
5.0,59,1864,1150,2618
5.0,61,1867,1416,2623
5.0,59,1865,2016,2619
5.0,58,1864,997,2617
6.0,57,1863,1456,57
5.0,60,1866,762,2619
6.0,57,1863,1708,57
5.0,60,1866,1964,2619
5.0,58,1864,646,2617
5.0,59,1865,2028,2619
6.0,57,1863,1977,57
5.0,58,1864,1726,2617
5.0,60,1866,2034,2619
5.0,59,1863,1960,2618
5.0,58,1864,1896,2617
5.0,59,1865,2036,2618
5.0,61,1867,1790,2623
5.0,61,1867,2028,2620
5.0,58,1864,274,2617
5.0,60,1866,2000,2621
5.0,61,1867,1776,2620
5.0,60,1866,1936,2621
5.0,60,1866,1944,2621
5.0,60,1866,958,2619
5.0,60,1866,1387,2621
5.0,60,1866,512,2621
5.0,59,1865,482,2618
5.0,59,1865,1996,2618
5.0,60,1866,2017,2621
5.0,59,1865,2036,2618
5.0,58,1864,2030,2617
5.0,61,1867,1920,2620
5.0,59,1865,1858,2619
5.0,59,1865,1978,2619
5.0,60,1866,2014,2621
5.0,61,1867,1798,2623
5.0,59,1865,2017,2618
5.0,59,1865,1002,2618
5.0,58,1864,1782,2617
5.0,58,1864,1592,2617
5.0,60,1866,2036,2619
5.0,59,1865,2012,2619
5.0,58,1864,1520,2617
5.0,62,1868,2032,2625
5.0,60,1866,1757,2619
5.0,60,1866,1542,2621
5.0,59,1865,760,2618
6.0,57,1863,1718,57
5.0,58,1864,944,2617
5.0,59,1865,1130,2618
5.0,59,1865,1250,2618
5.0,59,1865,2014,2618
5.0,60,1866,872,2619
5.0,59,1865,1274,2618
5.0,61,1867,1482,2623
5.0,58,1864,1642,2617
5.0,60,1866,1084,2619
5.0,60,1866,1998,2619
5.0,59,1865,2036,2618
5.0,58,1864,2004,2617
5.0,59,1865,1910,2618
5.0,59,1865,1916,2619
5.0,61,1867,1371,2620
5.0,59,1865,1607,2618
5.0,58,1864,1182,2617
5.0,59,1865,1846,2618
5.0,60,1866,1526,2621
5.0,59,1865,1490,2619
5.0,60,1866,1770,2621
5.0,58,1864,1748,2617
5.0,58,1864,1708,2617
5.0,58,1864,286,2617
5.0,58,1864,1984,2617
5.0,59,1865,1636,2619
5.0,58,1864,1771,2617
