shp,qiskit,qiskit_dense,merging_states,average_degree
695,1013,646,341,0.0625
718,1013,735,348,0.4375
716,1013,666,329,0.4375
691,1013,733,293,0.375
665,1013,636,303,0.375
641,1013,687,343,0.1875
657,1013,708,315,0.3125
714,1013,683,299,0.4375
720,1013,683,308,0.3125
722,1013,869,334,0.125
806,1013,577,317,0.25
766,1013,607,321,0.3125
690,1013,766,334,0.3125
650,1013,596,269,0.5
700,1013,624,299,0.4375
737,1013,698,309,0.25
713,1013,756,307,0.3125
711,1013,575,321,0.125
792,1013,712,325,0.1875
603,1013,683,296,0.25
738,1013,692,327,0.25
600,1013,599,300,0.1875
739,1013,663,354,0.25
562,1013,698,310,0.375
607,1013,704,329,0.25
651,1013,729,334,0.3125
625,1013,748,311,0.25
644,1013,830,354,0.3125
768,1013,649,288,0.25
688,1013,775,336,0.3125
673,1013,755,309,0.375
780,1013,594,381,0.25
630,1013,692,277,0.5625
679,1013,674,312,0.3125
598,1013,619,316,0.5
624,1013,601,344,0.3125
538,1013,711,300,0.3125
689,1013,817,311,0.3125
708,1013,616,296,0.3125
649,1013,718,298,0.25
770,1013,650,297,0.3125
673,1013,640,347,0.25
602,1013,686,317,0.375
615,1013,597,312,0.5
621,1013,671,301,0.3125
735,1013,808,344,0.0625
655,1013,755,323,0.1875
729,1013,643,325,0.3125
659,1013,611,277,0.625
606,1013,761,319,0.3125
665,1013,718,341,0.25
644,1013,649,340,0.4375
575,1013,790,304,0.5
712,1013,713,321,0.125
699,1013,754,339,0.1875
762,1013,724,300,0.3125
680,1013,719,302,0.375
658,1013,824,313,0.1875
713,1013,593,358,0.125
738,1013,687,343,0.0625
706,1013,693,315,0.25
657,1013,596,341,0.3125
616,1013,756,303,0.3125
658,1013,873,310,0.375
714,1013,717,360,0.1875
726,1013,701,297,0.4375
628,1013,694,319,0.25
692,1013,761,331,0.375
631,1013,642,286,0.75
611,1013,684,313,0.3125
670,1013,775,308,0.5
723,1013,764,334,0.25
661,1013,669,323,0.25
660,1013,722,324,0.125
575,1013,655,311,0.3125
668,1013,759,371,0.25
707,1013,798,313,0.1875
732,1013,764,323,0.1875
759,1013,687,286,0.375
687,1013,783,331,0.1875
622,1013,689,319,0.4375
628,1013,738,299,0.375
661,1013,719,327,0.3125
665,1013,607,304,0.3125
618,1013,727,355,0.3125
693,1013,766,304,0.4375
727,1013,630,350,0.3125
713,1013,777,370,0.3125
656,1013,652,301,0.25
699,1013,660,339,0.4375
641,1013,617,302,0.25
638,1013,770,304,0.1875
708,1013,660,296,0.25
635,1013,737,299,0.1875
582,1013,661,296,0.3125
663,1013,723,332,0.1875
671,1013,683,332,0.25
709,1013,566,278,0.375
604,1013,731,331,0.3125
676,1013,621,313,0.1875
