qiskit_dense,shp,qiskit,merging_states,average_degree
53,702,179,416,3.75
40,628,203,468,3.5
166,588,185,409,3.5
33,638,215,469,4.0
39,697,241,471,4.0
39,629,121,473,3.75
49,681,237,410,3.5
39,620,121,468,3.75
33,596,115,469,3.5
39,605,167,470,3.5
53,689,247,418,3.25
164,542,247,472,3.5
60,625,185,410,3.25
60,759,247,420,3.5
56,579,247,416,3.25
53,572,123,477,3.5
39,691,247,473,3.5
60,644,247,411,3.5
41,665,247,416,3.75
165,619,155,473,3.5
86,613,247,413,3.5
46,601,247,408,3.0
35,770,247,467,3.5
41,753,234,470,3.75
44,752,204,476,3.0
47,560,233,408,4.0
36,691,240,467,4.5
32,723,231,467,4.0
66,696,247,411,3.5
57,616,247,473,3.25
44,672,247,475,3.0
554,595,217,416,3.25
71,761,215,471,3.5
35,738,247,470,3.5
39,757,247,469,3.5
53,687,217,412,3.5
32,634,61,467,4.0
61,581,247,474,3.25
81,572,247,426,3.0
41,743,225,476,3.0
54,666,143,475,3.25
69,661,247,472,3.0
35,668,245,467,4.0
43,750,194,477,3.0
37,708,107,487,3.5
35,728,247,469,4.0
54,741,247,411,3.25
40,748,62,594,3.0
61,611,155,481,3.25
152,765,247,416,3.25
37,773,247,468,3.5
53,751,247,406,3.25
55,751,247,471,4.0
53,588,247,405,3.25
58,606,185,422,3.25
54,536,233,406,3.0
54,635,241,472,3.25
171,717,219,412,3.25
39,670,217,467,3.75
148,702,247,412,3.25
47,780,133,416,3.25
34,662,171,466,4.0
54,684,223,419,3.5
40,583,185,413,3.5
57,653,247,416,3.25
67,769,239,470,3.5
48,607,245,474,3.0
70,698,247,413,3.5
111,810,121,467,4.0
86,550,241,410,3.5
190,723,247,476,3.75
33,622,233,469,4.0
63,575,247,408,3.25
44,743,243,485,3.0
206,668,239,413,3.25
248,684,237,413,3.25
56,538,247,418,3.0
133,758,247,414,3.5
57,552,245,411,3.5
39,733,245,468,3.75
34,747,239,470,3.5
114,662,247,473,3.25
80,678,247,472,3.0
50,744,247,413,3.75
47,636,247,413,3.5
42,604,247,473,3.0
39,705,247,470,3.5
52,706,247,482,3.25
65,605,193,412,3.0
50,559,185,413,3.75
33,681,171,468,4.5
73,727,233,420,3.5
265,735,185,415,3.75
181,719,245,471,3.5
152,616,185,416,3.25
36,709,237,471,3.5
70,691,247,468,3.5
54,711,185,416,3.25
70,877,247,422,3.5
46,703,247,473,3.0
