qiskit,shp_reduced,qiskit_dense,multiedge
2026,3744,5844,4913
2026,3707,5462,5137
2026,4300,5256,4864
2026,4012,5726,5374
2026,3964,5908,5265
2026,4172,5215,5206
2026,4291,5283,5279
2026,3898,5612,5050
2026,4403,5512,5072
2026,3901,5068,5535
2026,4065,5348,5269
2026,4201,5107,4519
2026,3917,5774,5984
2026,3968,5028,5198
2026,3948,5599,4775
2026,3965,5209,5367
2026,4199,5102,4937
2026,4234,5390,5231
2026,3541,5082,5354
2026,4117,5425,4776
2026,4064,5538,5137
2026,4300,5914,5211
2026,3941,5333,5416
2026,4006,5188,4994
2026,3915,5159,5111
2026,4141,5238,5388
2026,4271,4944,5006
2026,4007,5187,5071
2026,4183,4749,4748
2026,4093,5217,4846
2026,4070,5331,5400
2026,4123,5335,4969
2026,4259,5496,5797
2026,3874,5431,4938
2026,4174,5257,5342
2026,4069,5463,5437
2026,3983,5427,5227
2026,3812,5396,4968
2026,4260,5288,5079
2026,4240,4989,4760
2026,3910,4917,5167
2026,4144,4847,4969
2026,4039,5883,5472
2026,4249,5480,5321
2026,4071,5400,5274
2026,4405,5140,5203
2026,4084,6144,5664
2026,4025,5439,5506
2026,3943,5419,5438
2026,4232,5153,5903
2026,3821,5568,5591
2026,4056,5337,5011
2026,4224,5033,5179
2026,4065,6141,5039
2026,4015,5223,5167
2026,3840,5550,4799
2026,3987,5270,5385
2026,4455,5510,5003
2026,4423,4909,5380
2026,4147,5084,4904
2026,4462,5415,5446
2026,3986,4889,5205
2026,4055,5288,5035
2026,4159,5290,5440
2026,4138,5547,5176
2026,3825,5238,5432
2026,4149,5182,5084
2026,4083,5465,5445
2026,4268,5604,4789
2026,3998,4757,4844
2026,3792,4952,5156
2026,3517,5325,5190
2026,4034,5354,5333
2026,3813,6084,5158
2026,3918,5751,5334
2026,3930,5452,5250
2026,4016,5146,5096
2026,4253,5367,5806
2026,3982,5213,5374
2026,4127,5734,5434
2026,4134,4926,4996
2026,3974,5314,4930
2026,4018,5390,5310
2026,3980,5393,5223
2026,3814,5368,4895
2026,4079,6060,5042
2026,4060,5312,5067
2026,4446,5380,5092
2026,4044,5342,5201
2026,4072,5467,5265
2026,3904,5320,5566
2026,3891,4882,5682
2026,4097,5535,5560
2026,4224,5026,5188
2026,3887,5833,5321
2026,3877,5462,5330
2026,4120,5421,5148
2026,4072,5348,5076
2026,3819,5062,4845
2026,3925,5497,5061
2026,4053,5615,5201
2026,4404,5748,4972
2026,3950,5682,4994
2026,4179,5111,5521
2026,4067,4920,4990
2026,3837,5149,5264
2026,4036,5691,5055
2026,3890,5947,5245
2026,4018,5380,5072
2026,3969,5399,5252
2026,3964,5134,4830
2026,4244,4954,4907
2026,3789,4723,5070
2026,3900,5036,5031
2026,3951,5671,4960
2026,4041,5456,5252
2026,4050,5344,5148
2026,4044,5654,5094
2026,3979,4942,5085
2026,3984,5228,5127
2026,4136,4952,5431
2026,3884,5416,5158
2026,4222,5034,5417
2026,3997,5903,4920
2026,4340,5365,5757
2026,4267,5553,5383
2026,4003,5653,4937
2026,3968,5146,5203
2026,3914,5633,4849
2026,4289,5021,4648
2026,3951,5676,5276
2026,3911,5031,4865
2026,4496,5359,5439
2026,3977,5045,5291
2026,3971,5220,4970
2026,3980,5048,5247
2026,3958,5166,5013
2026,4057,5069,5120
2026,4017,5383,5186
2026,3823,5202,5375
2026,3983,5349,5249
2026,3872,4904,5216
2026,3852,5302,4561
2026,4009,5145,5078
2026,4153,5200,4962
2026,4154,4848,4699
2026,4218,4794,5014
2026,4260,4958,4906
2026,4471,5626,4682
2026,4075,5640,4824
2026,4048,5447,4998
2026,4332,5010,5145
2026,3977,4831,5294
2026,4029,5722,4980
2026,4014,5547,5388
2026,4115,5314,5515
2026,3832,5287,5411
2026,3765,5053,4959
2026,3859,4881,5355
2026,4490,5229,5333
2026,4413,5422,5052
2026,3903,5249,4882
2026,3971,5455,5144
2026,4010,5359,5177
2026,4246,5532,4931
2026,4279,5035,5207
2026,4102,5329,5189
2026,4063,5150,4889
2026,4108,5533,5259
2026,3827,5400,5225
2026,3795,5313,5317
2026,3933,5115,4979
2026,4278,5754,5245
2026,4136,5207,5373
2026,4171,5604,5032
2026,3976,5341,5005
2026,3647,5821,5242
2026,3762,4967,4869
2026,4003,5785,5216
2026,4271,5579,5441
2026,4025,5209,5141
2026,3860,5567,5410
2026,3880,5812,5391
2026,4258,5111,5125
2026,4096,5331,5240
2026,3998,5337,4938
2026,3882,5531,5763
2026,4500,5095,5334
2026,4128,5068,5483
2026,3670,5091,5027
2026,3983,5311,5180
2026,3802,5266,5211
2026,3993,5548,5345
2026,4076,4584,5195
2026,4110,5238,5000
2026,3986,5008,4808
2026,3991,5141,5274
2026,4269,5397,4960
2026,4248,5209,4833
2026,4087,5061,5087
2026,3769,5090,4987
2026,4266,5324,4756
2026,4101,6184,4997
2026,3865,5139,5019
2026,3567,5516,5065
2026,4080,5122,5152
2026,4355,5276,4973
2026,4138,5190,5411
2026,3799,5336,4537
2026,3987,5361,4982
2026,4290,5169,5408
2026,4078,5042,5409
2026,4185,5480,5824
2026,3964,5513,5404
2026,3722,5292,5210
2026,3795,5765,4972
2026,4030,4915,5174
2026,4218,4840,5265
2026,3818,5219,5376
2026,4116,5238,5305
2026,4051,5087,5000
2026,3851,5592,5042
2026,3926,5532,5284
2026,3765,4922,5022
