qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst,random,random_reduced,graycode_reduced,gleinig,gleinig_qwalk,btree_qwalk,greedy_linear,hamming_weight_qwalk,greedy_insertion,brute_force_linear,greedy_tree
120,746,57,37,43,741,738,749,66,54,23,38,66,39,45,32,28,37
58,746,48,46,47,742,738,756,58,30,17,23,44,39,36,21,23,24
120,760,73,49,50,747,745,758,57,49,26,35,58,42,45,31,25,38
120,744,30,33,37,741,739,753,104,49,27,46,64,38,90,22,22,40
120,749,57,26,41,739,739,759,64,52,17,51,60,51,58,29,25,43
114,748,52,51,42,747,740,758,72,60,22,57,58,32,80,32,24,37
120,749,61,22,55,739,738,751,68,48,17,31,41,21,45,25,21,31
120,747,62,51,44,747,739,766,79,45,24,68,54,41,44,23,25,33
118,757,53,40,47,744,742,765,63,49,27,53,52,29,57,26,25,29
120,749,43,37,52,741,740,746,66,43,23,49,62,25,35,26,22,36
120,749,54,37,54,744,738,753,72,46,27,25,48,40,37,29,23,35
120,745,67,20,33,736,733,742,60,30,15,20,27,29,64,16,16,19
120,747,42,35,43,739,737,742,90,31,34,39,25,46,35,18,19,38
120,755,60,54,59,751,746,756,67,58,31,45,44,54,50,26,27,41
120,751,51,26,36,745,741,749,43,44,23,33,28,35,65,33,22,33
120,748,50,31,43,738,738,756,72,51,25,42,56,35,41,27,27,27
114,744,39,22,29,735,735,755,36,23,16,24,34,31,41,29,19,25
120,758,49,39,41,747,746,756,67,56,27,45,51,42,51,31,31,35
120,752,56,24,32,737,736,754,42,50,26,41,73,25,34,20,20,22
114,750,50,56,42,741,739,748,69,54,19,38,46,34,56,27,21,38
120,750,56,50,30,744,741,757,61,56,34,33,37,38,47,24,22,33
120,745,45,30,44,739,739,747,50,39,33,40,61,41,54,31,23,38
120,745,39,42,39,740,736,756,58,41,29,33,59,35,42,30,23,39
120,753,58,33,37,739,739,752,64,43,20,41,39,33,65,32,24,38
120,755,69,39,47,743,742,751,68,39,27,36,63,32,43,27,25,39
120,742,48,31,36,739,739,762,68,39,23,36,50,30,62,20,20,38
120,748,51,23,41,738,736,748,77,47,21,35,83,35,57,21,22,37
120,750,43,32,42,749,741,752,42,41,22,39,47,25,31,30,20,28
120,754,64,39,50,746,742,762,67,65,23,29,61,42,63,31,35,29
120,750,52,37,49,741,740,756,62,39,24,33,49,36,47,21,22,37
120,755,81,46,47,743,738,756,55,52,28,34,62,31,71,32,29,42
120,747,40,36,42,743,740,751,70,43,18,42,45,46,56,21,23,42
120,744,59,29,40,735,734,749,72,43,22,28,58,28,48,28,23,28
120,746,48,41,53,746,742,762,77,48,29,56,54,37,40,33,29,27
120,752,53,35,35,738,737,758,69,50,20,21,46,31,43,27,20,22
120,750,41,41,44,747,739,754,77,54,28,50,78,30,47,24,20,34
120,750,53,35,45,742,742,752,65,62,21,47,42,48,39,31,27,29
120,743,39,34,36,739,738,748,65,39,20,33,41,36,43,24,23,32
120,758,60,42,45,748,746,759,71,58,21,49,56,40,56,33,36,38
120,753,46,30,42,742,738,755,62,45,26,36,51,24,64,18,19,34
120,748,41,51,44,745,740,764,53,36,20,29,53,40,33,30,26,29
120,750,59,26,44,742,740,752,48,50,17,24,53,50,39,18,21,24
116,744,52,37,48,743,738,762,70,58,18,38,49,43,43,28,26,34
120,742,34,36,32,735,733,747,93,26,18,34,46,35,49,17,17,30
120,750,52,46,37,743,742,754,45,57,23,26,50,42,49,41,23,26
120,746,40,43,47,740,740,745,71,66,17,24,41,34,42,29,23,30
120,751,57,33,44,742,739,750,63,65,24,46,51,35,54,21,24,43
116,743,67,33,40,740,738,753,81,48,22,34,56,21,98,28,21,35
114,747,51,49,47,745,739,749,70,48,20,41,57,30,56,24,23,25
112,744,46,28,37,738,736,748,87,39,22,44,53,73,34,25,20,39
120,752,56,41,51,749,741,749,69,45,24,45,64,38,33,32,28,36
120,756,60,42,34,748,740,750,71,54,24,31,47,46,39,32,25,35
120,749,51,52,46,748,748,755,65,62,36,42,57,40,34,36,33,42
120,756,48,38,40,743,741,755,76,58,30,58,41,39,57,33,30,45
120,756,49,48,40,744,739,752,64,38,26,33,67,45,42,34,25,39
120,754,73,46,41,742,740,759,74,59,32,32,58,26,39,25,24,27
120,745,39,22,24,739,737,758,107,43,19,40,42,29,40,22,20,26
120,745,41,32,30,737,734,756,38,49,23,30,22,54,70,28,21,30
114,748,32,35,34,744,744,762,68,44,21,32,44,36,39,32,25,42
120,746,57,44,57,740,738,755,75,57,21,44,72,31,29,36,21,28
120,743,44,60,58,740,736,746,45,40,24,35,92,34,62,18,19,31
120,762,57,47,56,751,747,755,64,48,32,34,54,44,46,32,30,35
108,744,26,32,26,739,739,753,42,47,18,37,43,42,55,20,19,36
120,750,59,55,46,746,741,753,49,60,20,24,56,27,22,49,21,22
120,747,51,39,47,744,743,762,62,63,28,51,39,45,51,26,25,51
120,757,52,41,49,749,747,751,69,47,28,47,54,40,35,34,33,34
120,754,49,22,35,737,735,744,90,32,17,37,34,45,36,21,21,37
