qiskit_dense,qiskit,shp,merging_states,average_degree
28,488,765,593,4.0
26,436,735,591,5.0
26,364,736,591,5.0
27,242,765,592,4.0
27,248,765,592,4.0
27,434,765,592,4.0
29,248,770,594,4.0
28,438,767,593,4.0
28,474,765,593,4.0
26,426,734,591,5.0
29,502,768,594,4.0
28,486,767,593,4.0
28,502,767,593,4.0
28,360,767,593,4.0
27,464,764,592,4.0
28,342,767,593,4.0
26,420,734,591,5.0
27,464,765,592,4.0
26,502,734,591,5.0
27,502,764,592,4.0
28,355,765,593,4.0
28,408,768,593,4.0
28,356,765,593,4.0
28,396,768,593,4.0
30,382,773,595,4.0
28,290,768,593,4.0
28,446,768,593,4.0
29,142,771,594,4.0
27,372,765,592,4.0
28,352,767,593,4.0
28,494,765,593,4.0
28,434,767,593,4.0
27,420,765,592,4.0
28,440,767,593,4.0
30,416,769,595,4.0
26,432,736,591,5.0
28,291,768,593,4.0
28,418,767,593,4.0
29,478,770,594,4.0
28,356,765,593,4.0
26,468,735,591,5.0
27,362,766,592,4.0
27,488,766,592,4.0
26,248,736,591,5.0
27,496,764,592,4.0
28,500,765,593,4.0
27,502,766,592,4.0
28,480,767,593,4.0
28,343,768,593,4.0
29,472,767,594,4.0
27,438,764,592,4.0
27,175,765,592,4.0
27,440,765,592,4.0
28,162,768,593,4.0
29,300,770,594,4.0
29,396,767,594,4.0
27,487,765,592,4.0
28,488,765,593,4.0
28,490,765,593,4.0
28,398,765,593,4.0
27,466,764,592,4.0
27,138,765,592,4.0
28,478,765,593,4.0
28,376,767,593,4.0
27,416,764,592,4.0
26,142,734,591,5.0
26,248,738,591,5.0
27,502,765,592,4.0
26,118,735,591,5.0
28,494,765,593,4.0
27,434,764,592,4.0
27,420,765,592,4.0
27,500,766,592,4.0
28,446,767,593,4.0
27,496,765,592,4.0
28,376,765,593,4.0
29,238,768,594,4.0
26,432,736,591,5.0
29,474,768,594,4.0
27,502,765,592,4.0
28,234,766,593,4.0
28,372,766,593,4.0
27,488,765,592,4.0
27,376,765,592,4.0
26,184,734,591,5.0
28,502,765,593,4.0
27,496,764,592,4.0
26,458,735,591,5.0
27,286,765,592,4.0
29,496,768,594,4.0
27,372,766,592,4.0
26,240,735,591,5.0
28,426,767,593,4.0
28,334,768,593,4.0
28,382,765,593,4.0
26,498,734,591,5.0
29,492,768,594,4.0
28,151,766,593,4.0
27,482,765,592,4.0
26,370,734,591,5.0
