qiskit,shp_reduced
4,6
4,8
4,6
4,6
4,10
4,10
4,6
4,8
4,8
4,4
4,6
4,6
4,4
4,10
4,8
4,6
4,8
4,6
4,4
4,8
4,6
4,10
4,6
4,10
4,6
4,6
4,6
4,10
4,4
4,6
4,8
4,6
2,6
4,6
4,10
4,6
4,6
4,6
4,10
4,10
4,8
4,4
4,4
4,8
4,6
4,6
4,4
4,4
4,10
4,10
4,6
4,6
4,10
4,6
4,6
4,6
4,6
4,4
4,4
4,10
4,6
4,6
4,10
4,12
4,10
4,4
4,10
4,12
4,8
4,10
4,6
4,10
4,4
4,10
4,10
4,10
4,4
4,12
4,4
4,10
4,6
4,4
4,10
4,4
4,6
4,4
4,6
4,10
4,6
4,6
4,6
4,6
4,6
4,6
4,6
4,4
4,6
4,4
4,6
4,6
4,10
4,4
4,4
4,20
4,4
4,10
4,8
4,6
4,6
4,12
4,4
4,4
4,10
4,10
4,10
4,4
4,12
4,6
4,10
4,10
4,4
4,6
4,8
4,6
4,6
4,8
4,4
4,6
4,6
4,8
4,6
4,6
4,6
4,10
4,6
4,10
4,10
2,6
4,10
4,6
4,10
4,6
4,4
4,4
4,6
4,6
4,6
4,6
4,10
4,12
4,4
4,8
4,12
4,6
4,4
4,6
4,10
4,20
4,6
4,4
4,10
4,6
4,8
4,20
4,8
4,4
4,10
4,8
4,10
4,8
4,6
4,10
4,4
4,6
4,10
4,12
4,8
4,10
4,6
4,10
4,4
4,4
4,10
4,6
4,10
4,6
4,6
4,8
4,10
4,4
4,12
4,10
4,4
4,6
4,10
4,6
4,6
4,6
4,6
2,6
4,10
4,10
4,8
4,6
4,10
4,6
4,10
4,8
4,8
4,10
4,6
4,4
4,6
4,6
4,10
4,8
4,6
4,10
4,10
4,8
4,6
4,4
4,12
4,6
4,10
4,12
4,6
4,8
4,6
4,4
4,8
4,4
4,4
4,10
4,10
4,12
4,4
4,4
4,4
4,4
4,6
4,10
4,20
4,10
4,10
4,8
4,10
2,6
4,4
4,6
4,8
4,10
4,4
4,6
4,6
4,10
4,10
2,6
4,4
4,6
4,6
4,10
4,4
4,20
4,8
4,10
4,10
4,6
4,20
4,10
4,10
4,6
4,10
4,6
4,6
4,10
4,10
4,12
4,6
4,6
4,8
4,6
4,10
4,10
4,20
4,6
4,4
4,6
4,6
4,4
4,6
4,10
4,6
4,6
4,20
4,6
4,6
4,12
4,10
2,6
4,6
4,10
4,10
4,6
4,4
4,10
4,6
4,10
4,8
4,10
4,6
4,6
4,6
4,10
4,10
4,10
4,6
4,6
4,20
4,10
4,6
4,10
4,10
4,6
4,6
4,12
4,4
4,10
4,8
4,6
4,10
4,10
4,8
4,6
4,6
4,4
4,8
4,6
4,10
2,6
4,10
4,10
4,6
4,6
4,8
4,8
4,4
4,6
4,10
4,8
4,10
4,6
4,10
4,10
4,8
4,4
4,10
4,10
4,6
4,6
4,10
4,6
2,6
4,8
4,10
4,8
4,6
4,10
4,6
4,6
4,6
4,6
4,8
4,6
4,10
4,4
4,10
2,6
4,4
4,6
4,8
4,10
4,10
4,6
4,6
4,4
4,10
4,4
4,10
4,6
4,8
4,6
4,8
4,6
4,10
4,10
4,6
4,6
4,6
4,6
4,10
4,8
4,6
4,10
4,8
4,8
4,10
4,10
4,4
2,6
4,6
4,10
4,6
4,6
4,6
4,6
4,10
4,8
4,4
4,10
4,10
4,10
4,8
4,10
4,4
4,6
4,10
4,6
4,6
4,6
4,8
4,8
4,20
4,8
4,10
4,10
4,10
4,20
2,6
4,6
4,10
4,6
4,10
4,10
4,10
4,8
4,10
4,6
4,4
4,12
4,8
4,4
4,10
4,4
4,10
4,6
4,12
4,6
4,4
4,4
4,6
4,6
4,4
4,20
4,10
4,10
4,6
4,6
4,6
4,6
4,12
4,10
4,6
4,6
4,8
4,10
4,8
4,4
4,6
4,10
4,10
4,4
4,4
4,10
4,4
4,6
4,6
4,20
4,6
4,8
4,10
4,6
4,6
4,12
4,10
4,6
4,10
4,12
2,6
4,8
4,10
2,6
4,10
4,10
2,6
4,10
4,10
4,4
4,20
4,20
4,10
4,10
4,10
4,10
4,6
4,6
4,20
4,6
4,6
4,6
4,10
4,6
4,4
4,6
4,10
4,6
4,6
4,4
4,10
4,12
4,6
4,8
4,10
4,10
4,10
4,10
4,6
4,8
4,10
4,6
4,8
4,6
4,6
4,8
4,10
4,6
4,4
4,10
4,6
4,4
4,10
4,4
4,6
4,10
4,10
4,8
4,4
4,4
4,6
4,4
4,6
4,6
4,12
4,4
4,10
4,20
4,8
4,6
4,6
4,10
4,6
4,10
4,8
4,10
4,10
4,6
4,6
4,6
4,6
4,10
4,6
4,6
4,6
4,10
4,6
4,8
4,10
4,4
4,6
4,6
4,8
4,8
4,6
4,8
4,4
4,8
4,8
4,10
4,10
4,10
4,4
4,10
4,8
4,6
4,10
4,6
2,6
4,4
4,6
4,6
4,6
4,6
4,4
4,10
4,6
4,6
4,6
4,8
4,4
4,6
4,6
4,20
4,6
4,6
4,6
4,6
4,6
4,6
4,10
4,10
4,6
4,4
4,4
4,6
4,6
4,4
4,6
4,10
4,4
4,4
4,6
4,10
4,4
4,10
4,10
4,6
4,6
4,10
4,6
4,10
4,8
4,6
4,4
4,8
4,10
4,4
4,6
4,6
4,6
2,6
4,10
4,10
4,12
4,6
4,10
4,6
4,6
4,4
4,10
4,4
4,6
4,6
4,4
4,20
4,10
4,4
4,4
4,6
4,8
4,6
4,6
4,8
4,10
4,10
4,6
4,10
4,8
4,6
4,8
4,10
4,10
4,4
4,10
4,6
4,6
4,6
4,8
4,6
4,4
4,10
4,10
4,6
4,4
2,6
2,6
4,8
4,8
4,10
4,10
4,10
2,6
4,6
4,10
4,10
4,8
4,4
4,4
4,6
4,6
4,10
4,6
4,4
4,10
4,6
4,6
4,6
4,6
4,6
4,6
4,10
4,10
4,20
4,20
4,4
4,10
4,6
4,4
4,10
4,10
4,8
4,6
4,10
4,6
4,10
4,10
4,6
4,8
4,10
4,6
4,10
4,6
4,6
4,12
4,6
4,6
4,12
4,6
4,6
4,10
4,10
2,6
4,4
4,10
4,6
4,10
4,6
4,10
4,6
4,10
4,6
4,10
4,6
4,6
4,6
4,4
4,6
4,10
4,6
4,6
4,6
4,10
4,6
4,6
4,6
4,8
4,4
4,4
4,20
4,6
4,8
4,6
4,10
4,6
4,6
4,4
2,6
4,8
4,10
4,6
4,6
4,8
4,4
4,6
4,4
4,10
4,10
2,6
2,6
4,8
4,6
4,8
4,4
4,4
4,10
4,6
4,10
4,10
4,10
4,4
4,6
4,20
4,6
4,10
4,6
4,4
4,6
4,6
4,4
4,6
4,10
4,10
4,4
4,4
4,10
4,6
4,8
4,10
4,6
4,6
4,4
4,8
4,10
4,4
4,8
4,6
2,6
4,4
4,6
4,10
4,6
4,4
4,6
4,6
4,6
4,4
4,10
4,8
4,6
4,20
4,10
4,4
4,6
4,4
4,6
4,6
4,4
4,6
4,10
4,6
4,6
4,12
4,10
4,6
4,4
4,12
2,6
4,4
4,6
4,6
4,10
4,4
4,6
4,10
4,10
4,6
4,10
4,8
4,6
4,4
4,8
4,8
4,10
4,6
4,6
4,8
4,6
4,4
4,4
4,10
4,10
4,8
4,10
4,10
4,4
4,4
4,10
4,10
4,10
4,10
4,6
4,10
4,4
4,10
4,10
4,10
4,6
4,6
4,6
4,12
4,4
4,12
4,6
4,6
4,20
4,6
4,10
4,6
4,10
4,8
4,6
4,10
2,6
4,6
4,10
4,4
4,6
4,10
4,10
4,10
4,4
4,10
4,6
4,4
4,6
4,8
4,6
4,10
4,10
4,6
4,10
4,4
4,6
4,4
4,8
4,10
4,6
4,4
4,8
4,4
4,8
4,4
4,10
4,6
4,6
4,4
4,10
2,6
4,4
4,6
4,10
4,6
4,4
4,10
4,10
4,6
4,10
4,10
4,4
4,8
4,12
4,10
4,10
4,6
4,6
4,6
4,8
4,8
4,6
4,8
4,12
4,6
4,4
4,8
4,6
4,20
4,10
4,6
4,4
4,4
4,10
