qiskit,mhs_linear,mhs_nonlinear,merging_states
2036,3093,2314,2688
2036,3650,2515,2854
2036,3065,2855,2611
2036,3608,2609,2658
2036,3253,2714,2759
2036,3226,2745,2705
2036,3384,2504,2733
2036,2936,2557,2714
2036,3020,2645,2762
2036,3120,2559,2899
2036,3144,2802,2823
2036,3168,2508,2606
2036,3259,2652,2727
2036,3164,2542,2593
2036,3385,2506,2678
2036,3007,2670,2634
2036,2756,2863,2729
2036,3469,2470,2676
2036,2950,2565,2862
2036,3452,2576,2843
2036,3303,2476,2874
2036,3023,3075,2635
2036,3081,2597,2778
2036,3659,2647,2707
2036,3158,2458,2757
2036,3166,2609,2657
2036,3184,2556,2661
2036,3377,2516,2618
2036,3361,2619,2720
2036,2790,2522,2842
2036,3035,2467,2729
2036,3267,2832,2669
2036,3551,2738,2870
2036,3199,2493,2759
2036,3082,2783,2696
2036,3471,2916,2571
2036,3655,2707,2668
2036,3037,2518,2864
2036,3173,2783,2750
2036,2951,2567,2572
2036,3010,2583,2798
2036,3363,2671,2624
2036,3743,2443,2857
2036,3254,2544,2644
2036,3666,2811,2705
2036,2860,2682,2560
2036,3316,2851,2625
2036,2823,2468,2717
2036,3252,2571,2563
2036,2818,2572,2591
2036,3155,2647,2916
2036,3099,2450,2765
2036,3109,2623,2728
2036,3717,3097,2717
2036,3158,2878,2760
2036,3117,2804,2792
2036,2893,2558,2555
2036,3754,2750,2693
2036,3036,2457,2751
2036,3005,2590,2744
2036,3147,2466,2534
2036,2635,2808,2726
2036,3425,2703,2610
2036,3268,2637,2672
2036,3621,2604,2683
2036,3204,2406,2736
2036,3151,2471,2664
2036,3467,2817,2917
2036,3398,2809,2669
2036,3040,2472,2631
2036,2974,2442,2711
2036,2875,2623,2646
2036,3690,2622,2668
2036,3312,2446,2863
2036,3435,2394,2755
2036,3129,2402,2631
2036,3440,2580,2716
2036,3006,2790,2679
2036,3482,2648,2645
2036,3542,2387,2609
2036,3348,2968,2612
2036,2819,2608,2675
2036,3021,2544,2654
2036,3336,2470,2448
2036,3132,2540,2720
2036,3405,2421,2683
2036,3068,2561,2696
2036,3236,2734,2719
2036,3155,2531,2828
2036,3143,2905,2588
2036,3642,2525,2583
2036,3257,2698,2714
2036,2905,2464,2649
2036,3322,2903,2872
2036,3523,2789,2693
2036,3315,2931,2553
2036,3288,2672,2726
2036,3372,2764,2695
2036,2916,2578,2585
2036,3105,2525,2792
2036,3235,2521,2640
2036,3588,2644,2692
2036,3266,2748,2711
2036,2844,2470,2693
2036,3100,2363,2790
2036,3211,2808,2788
2036,2978,2655,2685
2036,3467,2533,2836
2036,3176,2547,2794
2036,3463,2543,2782
2036,2987,2644,2782
2036,3398,2846,2749
2036,3662,2569,2767
2036,3041,2619,2528
2036,2838,2396,2818
2036,3099,2772,2742
2036,3328,2691,2701
2036,3295,2633,2519
2036,3154,3024,2956
2036,2965,2407,2593
2036,3037,2693,2708
2036,3402,2691,2682
2036,3148,2941,2788
2036,3325,2519,2592
2036,3340,2650,2723
2036,3091,2381,2690
2036,3019,2895,2750
2036,3008,2724,2806
2036,3586,2743,2886
2036,3314,2578,2630
2036,3557,2772,2760
2036,2835,2495,2762
2036,3189,2779,2822
2036,2816,2501,2867
2036,2939,2673,2622
2036,2727,2614,2697
2036,3136,2334,2659
2036,2956,2775,2685
2036,2868,2625,2821
2036,3099,2812,2598
2036,3269,2379,2723
2036,3481,2685,2741
2036,2913,2569,2816
2036,3117,2620,2771
2036,4003,2814,2611
2036,3092,2776,2683
2036,3263,2633,2801
2036,3269,2644,2758
2036,3312,2547,2695
2036,2767,2626,2604
2036,2987,2661,2736
2036,3022,2512,2655
2036,3332,2768,2899
2036,3269,2499,2773
2036,3378,2592,2656
2036,3251,2830,2790
2036,3163,2573,2757
2036,3077,2756,2764
2036,2962,2662,2664
2036,3172,2450,2594
2036,3235,2402,2751
2036,3081,2426,2757
2036,3409,2586,2682
2036,3274,2469,2736
2036,3357,2440,2696
2036,3053,2891,2762
2036,3193,2716,2749
2036,2918,2536,2795
2036,2780,2770,2651
2036,3444,2702,2863
2036,2885,2555,2581
2036,3138,2864,2736
2036,3703,2867,2670
2036,2722,2608,2770
2036,3526,2651,2751
2036,3033,2539,2797
2036,2996,2484,2630
2036,3036,2829,2744
2036,2995,2623,2630
2036,3117,2808,2679
2036,3060,2474,2669
2036,3095,2702,2724
2036,2998,2642,2545
2036,3079,2421,2591
2036,3156,2646,2644
2036,2996,2480,2514
2036,2924,2491,2756
2036,2982,2635,2707
2036,2737,2613,2625
2036,3322,2615,2914
2036,2925,2600,2625
2036,3005,2572,2669
2036,3187,2648,2776
2036,3223,2724,2782
2036,3302,2813,2814
2036,3185,2637,2658
2036,3576,2809,2816
2036,3180,2544,2802
2036,3264,2637,2757
2036,3345,2494,2803
2036,3028,2901,2715
2036,3169,2677,2696
2036,2795,2725,2715
2036,3014,2498,2633
2036,4067,2524,2698
2036,2902,2512,2783
2036,3310,2639,2721
2036,3359,2653,2786
2036,2939,2736,2865
2036,2961,2408,2655
2036,3022,2568,2602
2036,3630,2737,2662
2036,3554,2732,2685
2036,3214,2649,2606
2036,3011,3007,2716
2036,3111,2751,2775
2036,2964,2360,2691
2036,2950,2775,2783
2036,2939,2560,2726
2036,4299,2954,2724
2036,3213,2706,2729
2036,3236,2599,2730
2036,3064,2704,2809
2036,3034,2562,2663
2036,3239,2773,2682
2036,3132,2911,2870
2036,2720,2601,2595
2036,3325,2509,2553
2036,2710,2135,2532
2036,3198,2728,2907
2036,2847,2617,2541
2036,3152,2551,2745
2036,3075,2563,2781
2036,3813,2684,2538
2036,3375,2522,2618
2036,3077,2469,2775
2036,3248,2367,2657
2036,2687,2733,2563
2036,3249,2647,2710
2036,3908,2412,2772
2036,2799,2817,2558
2036,3099,2684,2627
2036,3291,2674,2882
2036,3488,2554,2772
2036,3735,2618,2789
2036,3405,2520,2679
2036,2664,2736,2558
2036,3259,2376,2724
2036,3133,2451,2620
2036,3211,2448,2825
2036,3261,2557,2732
2036,3459,2418,2707
2036,3738,2606,2668
2036,3186,2669,2834
2036,3332,2493,2746
2036,3147,2568,2844
2036,2947,2664,2719
2036,3578,2701,2626
2036,3128,2568,2697
2036,3211,2716,2727
2036,3293,2501,2676
2036,3245,2773,2616
2036,3164,2499,2693
2036,2737,3009,2724
2036,3151,2585,2583
2036,2851,2636,2695
2036,3283,2601,2555
2036,3276,2633,2774
2036,3116,2786,2640
2036,3404,2337,2577
2036,3000,2551,2641
2036,3277,2698,2769
2036,3075,2571,2680
2036,2912,2563,2533
2036,3257,2582,2776
2036,3579,2531,2783
2036,3038,2690,2839
2036,3112,3190,2782
2036,3500,3001,2729
2036,2874,2555,2835
2036,3037,2745,2684
2036,3586,2580,2637
2036,3437,2702,2716
2036,3215,2880,2820
2036,3495,2548,2754
2036,2867,2642,2795
2036,3172,2774,2846
2036,3541,2652,2740
2036,3314,2756,2677
2036,3464,2674,2805
2036,3362,2754,2885
2036,3753,2714,2739
2036,2808,2387,2701
2036,2974,2607,2631
2036,3235,2497,2668
2036,3174,2560,2707
2036,2876,2869,2746
2036,3061,2599,2818
2036,3078,2554,2823
2036,3501,2674,2658
2036,3137,2402,2710
2036,3593,2440,2571
2036,2769,2541,2917
2036,3121,2657,2825
2036,3422,2660,2683
2036,3708,3000,2827
2036,2732,2487,2678
2036,3484,2686,2673
2036,3077,2343,2677
2036,3035,2484,2829
2036,3511,2590,2785
2036,3006,2741,2787
2036,3259,2481,2724
2036,2777,2613,2900
2036,3089,2764,2625
2036,3164,2586,2804
2036,3079,2508,2723
2036,3244,2823,2779
2036,2867,2641,2677
2036,2955,2667,2713
2036,3341,2564,2625
2036,3322,2407,2661
2036,3342,2630,2679
2036,2897,2529,2765
2036,4016,2438,2745
2036,3243,2625,2680
2036,3165,2372,2777
2036,3644,2450,2647
2036,3611,2462,2788
2036,3266,2573,2752
2036,3063,2679,2849
2036,3416,2879,2671
2036,3312,2770,2773
2036,3009,3035,2649
2036,3117,2593,2737
2036,3383,2866,2812
2036,2923,2558,2751
2036,3610,2527,2954
2036,3297,2450,2826
2036,2917,2637,2562
2036,3103,2582,2830
2036,3072,2762,2723
2036,3358,2835,2749
2036,3353,2726,2660
2036,3137,2514,2611
2036,3199,2784,2721
2036,2935,2546,2800
2036,3219,2608,2778
2036,2969,2580,2739
2036,3080,2675,2776
2036,3703,2822,2748
2036,3009,2623,2595
2036,3520,2543,2715
2036,3029,2422,2633
2036,3002,2525,2716
2036,3666,2890,2778
2036,2695,2380,2557
2036,3319,2664,2877
2036,3037,2422,2720
2036,3089,2445,2634
2036,3054,2602,2597
2036,3377,2783,2808
2036,3335,2632,2655
2036,3233,2329,2525
2036,3434,2694,2728
2036,3833,3011,2646
2036,2990,2620,2810
2036,3908,2590,2827
2036,3012,2460,2847
2036,2850,2583,2729
2036,2926,2707,2774
2036,2835,2565,2738
2036,2973,2637,2750
2036,3050,2395,2695
2036,3802,2558,2926
2036,2785,2562,2741
2036,3663,2689,2867
2036,2939,2692,2777
2036,3138,2622,2679
2036,3049,2520,2680
2036,2848,2571,2740
2036,2936,2954,2743
2036,3203,2729,2735
2036,3035,2561,2641
2036,3102,2728,2651
2036,3345,2882,2654
2036,3130,2504,2866
2036,3299,2684,2752
2036,3509,2546,2779
2036,3131,2563,2747
2036,3815,2641,2736
2036,2803,2578,2878
2036,3219,2491,2722
2036,2841,2910,2722
2036,2951,2851,2833
2036,3018,2595,2726
2036,3140,2332,2793
2036,3395,2594,2648
2036,3314,2751,2820
2036,3673,2622,2615
2036,2871,2645,2865
2036,3094,2492,2696
2036,3608,2621,2759
2036,3529,2460,2804
2036,3629,2679,2874
2036,2993,2460,2606
2036,3164,2468,2669
2036,3183,2471,2584
2036,3144,2678,2751
2036,3772,2589,2687
2036,2961,2458,2645
2036,3493,2661,2627
2036,2934,2545,2687
2036,3667,2707,2750
2036,3624,2884,2815
2036,3414,2516,2662
2036,3202,2515,2649
2036,3657,2678,2715
2036,3412,2598,2601
2036,3026,2440,2637
2036,3266,2747,2660
2036,3240,2647,2732
2036,3522,2463,2862
2036,3055,2687,2631
2036,3116,2410,2620
2036,3074,2517,2798
2036,3624,2615,2791
2036,3375,2417,2697
2036,2917,2664,2716
2036,3597,2628,2697
2036,3537,2580,2685
2036,3380,2664,2603
2036,3292,2494,2718
2036,3008,2470,2546
2036,2958,2727,2674
2036,3047,2609,2601
2036,3584,2745,2750
2036,2881,2461,2787
2036,3260,2797,2667
2036,3162,2691,2739
2036,3167,2700,2750
2036,3677,2737,2712
2036,3089,2510,2639
2036,3598,2653,2664
2036,3052,2699,2746
2036,3198,2495,2669
2036,2930,2642,2788
2036,2832,2749,2705
2036,3051,2584,2545
2036,3288,2504,2606
2036,3518,2631,2729
2036,3033,2284,2729
2036,3007,2681,2739
2036,3876,2771,2787
2036,3207,2748,2751
2036,3469,2736,2735
2036,2840,2466,2727
2036,3380,2723,2647
2036,3263,2622,2977
2036,3215,2604,2578
2036,3187,2788,2676
2036,3338,2600,2713
2036,3431,2559,2755
2036,3084,3024,2660
2036,3540,2792,2761
2036,3195,2412,2712
2036,2978,2338,2827
2036,2966,2586,2718
2036,2860,2752,2731
2036,2957,2455,2865
2036,3064,2675,2734
2036,3454,2910,2639
2036,3477,2801,2742
2036,2831,2419,2664
2036,2987,2568,2796
2036,2953,2844,2695
2036,3399,2799,2635
2036,3201,2289,2681
2036,3358,2456,2662
2036,3472,2699,2724
2036,3191,2564,2611
2036,3032,2631,2713
2036,3499,2365,2753
2036,3473,2727,2858
2036,2796,2510,2690
2036,3384,3020,2777
2036,2999,2611,2697
2036,3569,2508,2693
2036,3213,2824,2643
2036,3110,2482,2732
2036,2922,2579,2759
2036,3203,2459,2765
2036,3186,2628,2721
2036,3206,2828,2665
2036,3153,2632,2842
2036,3630,2618,2655
2036,3154,2831,2836
2036,3338,2641,2872
2036,2978,2660,2775
2036,3303,2519,2696
2036,3712,2828,2762
2036,3466,2640,2641
2036,3813,2577,2849
2036,2929,2609,2545
2036,3273,2605,2702
2036,3239,2721,2743
2036,3547,2719,2854
2036,2971,2485,2810
2036,2956,2615,2757
2036,3299,2878,2667
2036,3431,2681,2592
2036,3348,2493,2546
2036,2963,2586,2747
2036,3274,3014,2793
2036,3241,2846,2822
2036,2772,2749,2785
2036,3201,2822,2690
2036,3321,2814,2607
2036,3205,2663,2631
2036,2843,2684,2622
2036,3535,2464,2646
2036,3118,2492,2664
2036,3303,2907,2829
2036,3322,3013,2827
2036,3490,2776,2859
2036,3228,2585,2564
2036,3590,2518,2817
2036,3031,2574,2764
2036,3411,2369,2642
2036,3110,2551,2601
2036,3527,2588,2854
2036,2945,2544,2786
2036,3179,2610,2621
2036,3225,2874,2862
2036,3170,2972,2704
2036,3326,2875,2692
2036,3359,2772,2758
2036,3480,2617,2816
2036,3085,2562,2881
2036,3034,2581,2778
2036,3134,2622,2724
2036,2921,2630,2730
2036,3104,2919,2719
2036,2604,2716,2616
2036,3192,2513,2596
2036,3047,2475,2672
2036,3487,2852,2927
2036,3250,2664,2664
2036,2938,2527,2749
2036,3138,2943,2764
2036,3033,2609,2672
2036,3481,2473,2860
2036,3069,2322,2708
2036,2850,2596,2438
2036,3255,2533,2768
2036,3558,2593,2871
2036,3004,2600,2647
2036,2996,2762,2752
2036,2609,2576,2751
2036,3448,2698,2532
2036,3483,2624,2835
2036,3591,2735,2749
2036,3915,2680,2854
2036,2869,2609,2628
2036,3441,2555,2777
2036,3211,2913,2657
2036,3132,2832,2895
2036,3570,2550,2718
2036,3016,2463,2562
2036,3131,2600,2683
2036,2938,2537,2660
2036,3371,2540,2631
2036,3449,2481,2838
2036,2930,2603,2767
2036,3222,2716,2820
2036,2989,2504,2755
2036,3457,2689,2696
2036,3250,2725,2666
2036,3292,2648,2682
2036,3508,2621,2840
2036,3119,2595,2797
2036,2925,2839,2632
2036,3049,2658,2739
2036,3254,2781,2692
2036,3639,2534,2730
2036,3490,2374,2607
2036,3194,2701,2682
2036,3170,2836,2660
2036,3498,2773,2678
2036,3424,2620,2862
2036,3417,2799,2785
2036,3097,2775,2639
2036,3165,2686,2685
2036,3556,2601,2776
2036,3558,2711,2599
2036,3107,2663,2754
2036,3320,2818,2743
2036,3380,2766,2939
2036,3190,2499,2811
2036,3045,2507,2820
2036,3814,2704,2712
2036,3153,2451,2517
2036,3560,2441,2773
2036,3039,2573,2646
2036,2775,2913,2796
2036,3120,2583,2708
2036,3127,2560,2575
2036,3318,2585,2726
2036,3056,2672,2812
2036,3269,2948,2628
2036,3413,2807,2874
2036,3026,3273,2739
2036,3363,2490,2860
2036,3137,2511,2670
2036,2736,2563,2762
2036,3399,2819,2759
2036,3026,2793,2881
2036,2847,2417,2750
2036,3125,2953,2741
2036,2893,2991,2792
2036,3477,2546,2745
2036,3103,2734,2780
2036,3203,2557,2677
2036,3088,2853,2667
2036,3019,2702,2706
2036,2967,2440,2702
2036,3036,2648,2886
2036,3347,2627,2711
2036,2671,2346,2703
2036,3362,2664,2720
2036,3278,2697,2781
2036,3138,2590,2867
2036,3300,2737,2587
2036,3291,2390,2692
2036,3213,2580,2502
2036,3211,2487,2803
2036,3472,2618,2701
2036,3303,2739,2752
2036,3190,2401,2746
2036,3063,2678,2662
2036,3201,2559,2687
2036,3269,2513,2808
2036,2928,2797,2621
2036,3387,2586,2650
2036,3227,2530,2478
2036,3825,2699,2664
2036,2844,2588,2650
2036,3244,2430,2675
2036,3565,3033,2833
2036,3184,2733,2807
2036,3163,2388,2691
2036,3289,2572,2896
2036,3449,2548,2884
2036,3340,2633,2597
2036,3292,2755,2612
2036,3388,2780,2830
2036,3021,2563,2748
2036,3774,2736,2668
2036,3278,2674,2772
2036,3195,2705,2647
2036,2884,2486,2777
2036,2869,2529,2506
2036,3265,2740,2741
2036,3465,2667,2622
2036,2945,2505,2698
2036,3101,2597,2668
2036,3069,2694,2824
2036,3317,2486,2629
2036,3246,2559,2708
2036,2929,2309,2564
2036,2970,2740,2821
2036,3784,2532,2592
2036,3506,2430,2608
2036,2849,2801,2700
2036,3243,2877,2821
