qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst,gleinig
11,118,14,12,14,116,118,6
11,126,22,14,19,120,120,7
11,120,18,12,14,117,118,6
11,117,10,6,10,116,118,7
11,125,22,14,20,116,117,6
11,121,16,8,14,115,119,5
11,124,11,12,8,118,120,6
11,121,26,8,23,115,119,6
11,119,12,6,17,113,117,5
11,120,14,12,22,117,122,7
11,117,4,13,10,113,120,5
11,119,23,7,20,114,118,6
9,122,16,8,18,116,122,7
11,116,12,6,12,114,116,7
11,124,27,10,10,116,117,5
11,122,10,14,10,117,116,6
11,124,18,12,20,120,126,7
11,118,10,8,22,116,121,6
11,117,14,6,14,114,117,5
11,117,22,20,26,117,115,6
11,121,23,10,11,116,117,6
11,119,12,12,14,117,121,6
11,126,20,18,20,121,121,7
11,119,9,10,12,115,121,5
11,120,10,12,18,117,122,7
11,122,16,10,14,114,118,5
11,121,15,10,12,115,119,6
11,118,8,4,10,115,118,6
9,118,11,6,10,113,116,3
11,120,27,14,25,117,117,6
11,122,13,12,10,118,116,5
11,121,18,12,14,115,117,6
11,124,12,8,8,115,120,5
11,122,18,8,18,115,122,8
11,115,23,21,21,115,116,7
11,126,20,14,12,120,117,8
11,119,7,10,4,115,115,5
11,118,12,12,12,116,118,7
11,118,12,6,24,113,120,5
5,119,12,10,10,114,114,5
9,115,14,10,15,115,113,5
11,118,12,8,12,115,118,7
11,122,27,23,26,119,120,8
11,117,12,10,10,114,115,5
11,123,25,14,12,119,117,7
11,121,14,10,14,117,121,6
11,120,23,8,12,115,116,6
11,120,18,14,16,117,119,6
11,125,18,14,18,118,123,6
11,121,16,16,23,121,120,8
11,122,18,12,16,117,123,6
11,121,18,12,14,116,118,7
11,117,14,12,14,116,117,7
11,117,8,4,4,113,119,6
11,117,12,6,12,114,117,5
11,117,14,12,12,116,119,6
11,122,14,8,12,117,124,6
11,123,10,14,17,120,121,8
11,122,18,10,14,113,120,5
11,121,12,6,12,117,122,6
11,118,17,4,11,115,120,4
9,121,14,10,14,116,121,5
11,118,12,12,24,117,116,6
11,119,11,6,10,114,114,5
11,119,14,10,10,115,116,5
11,117,14,14,20,115,117,7
