shp,qiskit,qiskit_dense,merging_states,average_degree
681,989,62,421,3.0
615,863,44,472,3.0
680,1005,38,502,3.5
581,937,65,473,3.0
716,997,45,489,3.0
668,957,60,410,3.25
594,1013,56,417,3.0
589,917,84,423,3.0
654,905,66,426,3.25
625,997,93,483,3.0
560,603,71,434,3.0
706,965,87,421,3.0
622,771,61,420,3.0
560,503,53,409,3.25
611,1013,47,478,3.0
654,919,52,414,3.5
654,509,226,473,3.0
620,1013,111,501,3.0
570,983,57,478,3.5
594,879,55,419,3.0
658,945,44,487,3.0
609,843,53,418,3.25
725,371,32,466,4.0
751,963,43,482,3.0
624,643,63,415,3.0
608,996,51,484,3.0
618,533,50,502,3.0
592,931,62,424,3.25
610,1013,91,425,3.0
714,763,38,468,3.5
609,1001,48,480,3.0
642,503,75,431,3.25
620,989,189,474,3.5
721,723,70,408,3.25
556,1013,66,419,3.0
653,823,85,417,3.0
575,729,59,418,3.0
590,1013,83,414,3.0
612,517,51,519,3.0
616,1005,50,489,3.0
714,1013,51,423,3.25
695,977,60,418,3.75
646,905,60,430,3.0
726,1013,125,415,3.5
562,1011,122,416,3.0
588,571,53,419,3.0
735,785,38,469,4.0
607,653,63,428,3.0
648,713,121,426,3.0
549,997,291,420,3.0
748,653,45,479,3.0
710,1013,62,481,3.0
582,851,272,430,3.25
535,965,99,420,3.25
576,643,58,499,3.25
747,455,36,472,3.5
635,1013,83,412,3.25
648,999,265,421,3.25
629,603,61,417,3.25
559,819,172,415,3.0
623,661,50,484,3.0
714,981,69,417,3.25
564,1005,94,410,3.0
660,633,56,419,3.25
549,1013,52,492,3.0
637,209,48,519,3.0
665,999,81,408,3.0
609,1013,70,412,3.25
653,939,125,416,3.0
635,761,76,471,3.25
641,789,53,433,3.0
554,503,60,416,3.0
663,917,58,487,3.5
679,901,45,478,3.0
594,707,65,496,3.0
585,917,47,476,3.0
629,1013,74,416,3.5
628,463,70,415,3.25
629,1013,142,414,3.0
578,887,52,408,3.0
730,683,81,415,3.0
672,635,62,424,3.0
586,503,97,423,3.0
672,569,46,484,3.0
559,1013,56,415,3.0
627,1009,104,420,3.25
766,981,36,484,3.5
535,1013,58,414,3.0
565,981,68,479,3.0
650,683,55,469,4.0
714,645,41,472,3.5
744,849,42,473,3.5
684,1013,83,412,3.0
637,1013,67,420,3.0
677,1011,69,471,3.0
624,999,49,473,3.0
740,991,47,475,3.0
593,677,43,472,3.5
592,1005,507,484,3.25
680,759,56,471,4.0
