qiskit,shp_reduced,gleinig
502,18027,10375
502,18668,9874
502,19534,9827
502,19611,10157
502,18624,10087
502,18440,9925
502,18000,9947
502,18335,10067
502,17292,10049
502,18094,9844
502,19100,9923
502,18362,10051
502,18298,10082
502,18666,10086
502,18326,10070
502,19280,10152
502,19234,9866
502,18650,10181
502,17434,10253
502,17931,10057
502,18676,10007
502,19223,10150
502,17403,10143
502,17199,10015
502,19779,10077
502,18922,10273
502,19098,10258
502,17921,10042
502,19189,9992
502,17202,10223
502,18367,10140
502,19629,10045
502,17632,9989
502,18033,10223
502,19371,10333
502,18879,9798
502,18047,10001
502,19126,10434
502,18302,10192
502,18008,10243
502,18572,10178
502,18962,9913
502,19991,10016
502,17871,9974
502,19755,10318
502,18315,10044
502,18147,10174
502,19244,9994
502,17658,10261
502,18568,10033
502,17778,10267
502,18111,10254
502,17674,10200
502,17873,9900
502,18289,10355
502,18448,10016
502,18878,10008
502,18239,9905
502,18646,9989
502,17304,10203
502,18679,9895
502,18664,10121
502,19191,10175
502,18339,9843
502,18733,10169
502,19187,9922
502,18241,10131
502,18429,10026
502,17872,10203
502,19522,10333
502,19084,9877
502,18608,9993
502,18764,10149
502,18345,10260
502,18037,10001
502,18839,10059
502,19842,10088
502,18584,10253
502,17915,10030
502,18498,10251
502,18420,10032
502,17201,10028
502,18912,10040
502,18392,10025
502,17646,9967
502,18642,10151
502,19631,10155
502,19241,10100
502,18534,10012
502,19554,10043
502,18695,10067
502,18745,10244
502,18260,10030
502,18656,10097
502,19368,10127
502,18794,10355
502,19554,10153
502,18158,10191
502,18123,10097
502,18103,9791
502,19052,9890
502,18555,10053
502,18880,10134
502,19240,10015
502,18965,10111
502,18363,9784
502,18953,9901
502,17803,10025
502,18797,9822
502,17973,10083
502,18826,10018
502,18412,9931
502,19810,10041
502,18081,10117
502,18253,10105
502,18328,10171
502,19183,9954
502,17482,10059
502,18384,9963
502,18575,10037
502,18350,10049
502,19061,10133
502,18066,10255
502,18524,10012
502,19351,10152
502,17751,9782
502,19413,10453
502,18326,10027
502,18919,10216
502,17591,10123
502,17820,9919
502,18789,10440
502,17809,10150
502,18877,10065
502,17701,9956
502,19762,10132
502,19081,10192
502,18132,10193
502,18402,9954
502,18495,9743
502,18892,9916
502,18002,10072
502,19205,9819
502,19440,9939
502,18849,10040
502,17352,10134
502,17655,10478
502,18577,9978
502,19067,10120
502,18229,10298
502,19784,9972
502,19174,10141
502,17412,10188
502,18442,10044
502,17665,10204
502,17286,9933
502,17802,9942
502,18930,10235
502,18458,10060
502,18710,10218
502,18754,9877
502,18768,10130
502,19524,9955
502,18134,10165
502,19454,9757
502,19077,10035
502,18021,10126
502,18772,10032
502,18997,10041
502,18352,9981
502,19050,9874
502,18623,10084
502,17277,10207
502,19447,10177
502,18895,10112
502,19293,9990
502,18151,9776
502,18838,9997
502,18519,10073
502,18962,10161
502,18871,10302
502,19121,10080
502,17771,10010
502,18986,10254
502,18748,9872
502,18864,10051
502,19226,10247
502,17158,9883
502,18226,9965
502,19243,10143
502,18108,10005
502,18780,9943
502,18982,10263
502,18404,9875
502,19215,10050
502,19106,10207
502,19066,9793
502,18118,9925
502,19079,10034
502,18003,9913
502,18853,10073
502,19486,10062
502,19030,10014
502,19054,10057
502,18765,10052
502,18104,10041
502,18664,9942
502,17262,10002
502,17921,10191
502,17858,10047
502,18173,10090
502,18607,10126
502,18472,10104
502,18932,10067
502,18436,10142
502,18093,10386
502,18846,9981
502,19889,10147
502,18218,9959
502,17936,9817
502,18566,9973
502,17576,9765
502,18861,10082
502,17749,10031
502,19030,9967
502,19844,10267
502,18718,9897
502,19027,9910
502,18463,9958
502,17477,10340
502,19670,10067
502,18274,10042
502,18821,10047
502,18218,9993
502,18756,9756
502,18941,10203
502,18098,10132
502,18032,9880
502,18756,9830
502,18290,10331
502,18367,9979
502,19742,10100
502,17767,10264
502,18650,10088
502,19150,9923
502,18033,10119
502,18956,10197
502,18733,10416
502,18671,9948
502,19547,10135
502,18411,9992
502,17980,10129
502,19676,10095
502,17944,9881
502,19833,10035
502,18497,10522
502,18844,9991
502,19383,9920
502,17341,10269
502,18986,10082
502,17902,9793
502,18321,10062
502,18232,10139
502,18346,10203
502,19354,10017
502,17982,9932
502,18235,10132
502,18944,9925
502,18542,9920
502,18574,9981
502,19278,9746
502,18054,10152
502,17883,10030
502,18621,10309
502,20001,9897
502,17439,10305
502,20129,10199
502,17452,10148
502,18978,10218
502,17721,9973
502,18834,9991
502,18111,10215
502,18220,9969
502,19097,9596
502,18787,10320
502,17560,10052
502,18093,10151
502,18707,10114
502,19199,10080
502,18081,9926
502,18210,10248
502,18910,10204
502,19016,10111
502,18591,10026
502,18392,10059
502,19927,9797
502,18136,10044
502,18962,10052
502,18432,10102
502,17238,10068
502,18468,10263
502,18161,10171
502,19260,10080
502,19464,10183
502,19337,10125
502,18487,10221
502,19260,10011
502,18203,9999
502,17721,10186
502,18343,10132
502,17197,10250
502,17409,10305
502,18983,10335
502,19159,10008
502,17988,10109
502,18975,9922
502,19123,10366
502,18777,10129
502,20264,9848
502,18936,10075
502,18305,9998
502,18451,10046
502,19377,9968
502,18576,10093
502,18586,10136
502,19246,10242
502,18207,10047
502,19482,10385
502,18296,10256
502,18803,9967
502,19579,10000
502,17907,10220
502,17930,10252
502,17879,10247
502,17634,10215
502,18714,9958
502,18712,10104
502,17640,10031
502,19132,10202
502,18525,10217
502,17559,9958
502,18688,10050
502,18329,9989
502,17648,10277
502,18071,9978
502,18570,10007
502,18151,9843
502,19671,10095
502,19056,10041
502,18858,10307
502,18536,9985
502,18649,9912
502,19332,10050
502,19149,9876
502,19162,10053
502,18273,9947
502,18486,9864
502,19481,9840
502,18581,10247
502,18812,10319
502,18891,10149
502,18377,9918
502,19541,10273
502,17785,10155
502,18843,10209
502,18730,10001
502,17888,10071
502,17293,9997
502,18517,9864
502,18297,9939
502,17992,10016
502,19533,9961
502,18161,9907
502,17998,9954
502,19408,9884
502,19145,10014
502,19170,10139
502,18850,10461
502,17976,10210
502,18787,9936
502,18190,10100
502,18521,10141
502,18875,10046
502,18823,10078
502,17842,10032
502,18995,9987
502,17537,10044
502,18876,10147
502,19589,10266
502,17981,9855
502,18701,10039
502,17910,10194
502,17424,10268
502,18193,10000
502,18315,10139
502,18061,10068
502,18808,10189
502,18376,10103
502,18178,10153
502,18981,10088
502,18483,9955
502,18451,9913
502,18607,10116
502,19104,10067
502,18375,10085
502,18603,10084
