average_degree,qiskit_dense,merging_states,qiskit,pairwise_swap
2.1875,907,3448,4083,9759
2.5,1061,2971,4083,8472
2.0625,706,3290,4083,9128
2.3125,720,3356,4083,8785
2.4375,1523,3209,3061,8534
2.25,1066,3179,4083,8907
2.125,1317,2941,4083,8924
2.1875,1223,3653,3573,9255
2.25,778,3367,2551,8766
2.25,1305,3318,4083,9243
2.1875,766,3489,4083,9157
2.3125,1787,3129,4083,9414
2.25,832,3149,4083,9435
2.1875,1651,3370,3061,8694
2.25,1075,3117,4083,9271
2.0,820,3153,4083,8896
2.3125,851,3196,4083,9129
2.4375,2245,2992,4083,9363
2.0625,690,3514,4083,9319
2.1875,718,3312,4083,9308
2.4375,768,3162,4083,8906
2.375,832,3352,4083,8767
2.3125,811,3308,2549,9173
2.1875,776,3243,4083,9083
2.25,747,3051,4083,9680
2.1875,879,3209,4083,8703
2.0625,1018,3504,4083,9578
2.3125,1177,3270,4083,9713
2.375,811,3343,4083,10110
2.1875,757,3066,4083,9937
2.375,757,3308,4083,9058
2.375,776,3157,4083,9295
2.375,924,3066,4083,8617
2.25,689,3349,4083,8793
2.625,715,3112,4083,8753
2.5,778,3149,4083,8580
2.1875,1055,3140,4083,8539
2.375,967,3077,4083,8697
2.5,821,3012,4083,8949
2.1875,839,3096,4083,8991
2.375,856,2989,4083,9279
2.1875,789,3335,4083,8896
2.3125,1432,3250,4083,8788
2.4375,1129,3320,4083,8981
2.25,1403,3132,4083,8808
2.25,816,3378,4083,9069
2.375,987,2986,4083,9166
2.5625,1461,3274,4083,8683
2.375,987,3175,4083,9028
2.5,1045,3052,4083,9221
2.1875,1074,3638,3061,8784
2.3125,1003,3164,4083,9814
2.3125,1055,3328,4083,8721
2.4375,1448,3261,1783,9138
2.25,798,3457,4083,8941
2.1875,1602,3110,4083,9124
2.375,888,3180,4083,8730
2.25,856,3537,4083,9485
2.375,872,3253,4083,8707
2.1875,831,3164,4083,8883
2.25,810,2989,4083,9152
2.375,935,3166,2551,9287
2.1875,838,3231,4083,9414
2.3125,1088,3205,4083,9043
2.1875,1089,3160,4083,8852
2.375,879,2946,4083,8803
2.25,766,3346,2549,9241
2.6875,879,3212,3061,8626
2.4375,826,2901,4083,9515
2.3125,879,3339,4083,8533
2.4375,752,3358,4083,9008
2.3125,1299,3148,4083,9257
2.1875,832,3388,3957,8881
2.125,730,3109,4083,9492
2.375,919,3067,4083,9433
2.3125,749,3182,3061,8885
2.25,801,3281,2549,8811
2.3125,707,3087,4083,8525
2.4375,824,3351,4083,9104
2.3125,1197,2993,4083,8843
2.4375,907,3182,4083,8790
2.25,769,3387,4083,8985
2.3125,985,3035,4083,9269
2.4375,2021,2892,4083,8700
2.3125,766,3164,4083,8924
2.1875,964,3174,4083,8983
2.25,1477,3394,3061,8453
2.3125,798,3348,4083,8792
2.25,1381,3038,3573,8588
2.4375,778,3219,4083,8495
2.1875,717,3272,4083,8970
2.3125,1346,3289,3061,9553
2.125,732,3226,4083,9218
2.25,954,3052,4083,9403
2.3125,835,3299,4083,9051
2.3125,701,3301,4083,9159
2.3125,788,3069,4083,8870
2.375,950,3308,4083,8487
2.4375,737,3247,4083,8596
2.3125,1323,3303,3061,9000
