shp_reduced,qiskit_dense
150,169
108,185
109,181
122,195
110,194
127,150
124,171
129,182
111,160
129,171
137,170
152,124
113,187
133,189
107,156
118,179
143,162
138,157
165,167
127,164
125,167
106,170
128,166
118,211
118,158
123,202
140,208
115,144
117,188
117,163
112,187
100,180
135,172
117,145
119,161
136,164
120,175
120,173
130,169
120,153
126,148
124,156
131,171
103,163
136,186
110,185
122,167
138,173
113,182
171,187
115,172
144,161
110,162
118,181
118,182
111,167
105,170
145,159
150,164
133,189
127,165
120,171
109,165
130,171
127,183
145,174
127,186
112,158
126,151
106,188
104,148
123,167
112,166
118,191
95,171
125,171
106,170
131,191
119,173
140,162
114,164
108,172
118,211
117,158
126,145
124,151
131,187
122,170
116,146
127,164
122,183
133,152
115,164
118,188
126,175
123,198
134,155
110,209
138,194
139,183
133,157
121,186
112,152
109,175
113,187
136,181
126,188
135,193
99,189
131,165
109,154
113,157
117,175
123,183
116,172
106,158
128,155
141,185
115,156
121,170
109,169
146,185
115,163
110,153
135,146
135,185
142,159
125,185
138,181
134,182
142,186
136,195
119,232
123,176
159,162
97,172
168,154
113,152
118,160
132,175
120,159
124,173
129,151
126,172
118,170
153,169
123,170
111,162
132,179
134,184
134,155
136,179
138,183
125,179
137,186
99,182
129,184
114,163
120,178
111,190
118,150
153,175
111,187
118,165
99,189
135,164
124,190
152,153
123,168
118,175
149,175
143,187
110,164
120,203
117,164
110,167
130,186
161,159
151,161
147,153
114,161
138,174
160,161
125,194
139,164
130,178
126,169
145,182
121,158
139,175
155,174
128,180
120,190
134,151
120,152
150,176
120,152
137,171
119,177
129,200
129,183
123,180
110,191
95,175
113,158
120,162
116,210
97,168
139,169
144,180
103,180
146,204
116,181
100,178
134,164
111,194
124,163
131,181
151,168
132,166
130,148
125,185
166,167
119,160
147,160
116,177
131,177
132,185
180,166
116,185
136,166
110,187
141,170
129,170
130,166
145,192
130,165
133,180
158,194
120,181
135,175
131,173
119,185
110,155
142,165
120,187
114,159
137,172
148,139
131,180
120,187
117,159
123,143
132,159
121,185
119,166
104,183
121,219
124,193
122,166
126,172
121,152
125,158
105,179
131,163
119,169
119,169
133,180
119,177
111,186
99,169
127,179
131,174
98,150
143,173
140,151
117,200
133,167
121,189
121,177
136,175
130,167
144,160
118,181
132,194
134,171
114,190
113,179
127,179
127,160
118,178
146,162
137,157
110,184
120,167
132,167
125,187
109,198
128,187
118,184
129,202
135,171
123,171
127,159
