qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst
114,464,53,20,45,448,454
114,457,48,20,32,448,448
114,450,39,37,42,450,458
114,466,43,37,61,458,472
114,466,45,36,45,454,465
114,464,35,35,31,453,449
106,462,50,26,27,448,456
110,467,56,29,30,451,452
114,459,50,24,36,450,451
114,463,43,39,51,457,461
106,457,47,22,34,449,453
106,463,44,33,34,449,455
114,454,24,25,24,451,455
110,471,48,24,46,451,459
114,467,47,16,24,448,450
106,461,32,24,48,455,460
114,461,43,26,32,452,454
114,456,48,34,49,452,454
114,465,56,24,45,452,460
110,464,55,35,49,451,460
114,456,45,31,48,449,462
102,461,33,42,33,454,452
110,463,45,44,36,452,456
114,455,35,35,35,453,455
106,461,43,37,45,455,457
106,457,39,46,58,456,461
98,471,40,46,41,454,458
110,468,47,43,33,462,453
104,459,50,26,49,455,457
110,458,37,39,38,457,460
114,464,45,24,40,452,458
114,461,50,24,62,452,459
110,466,47,37,37,456,461
108,463,47,30,38,456,465
108,464,66,24,54,453,461
102,463,43,28,44,457,461
114,462,52,33,39,451,453
114,470,58,37,38,457,462
112,472,51,33,32,450,454
106,461,34,36,32,455,458
114,466,46,33,30,453,458
106,465,46,35,43,453,460
112,460,47,20,26,448,451
104,461,46,33,48,450,455
113,461,41,42,30,453,452
112,464,44,34,36,454,453
114,455,38,33,53,452,458
108,460,47,20,26,448,453
112,464,36,35,54,454,462
114,462,32,20,40,449,460
110,464,43,45,23,452,456
113,462,45,26,38,454,457
104,457,26,31,30,449,457
114,458,48,30,35,450,452
114,456,34,27,35,446,454
102,459,44,40,52,456,460
112,470,42,28,40,457,459
112,457,28,28,38,457,461
110,456,68,36,34,447,454
114,456,37,28,49,454,456
100,453,26,18,22,446,450
108,466,43,35,39,455,459
98,465,38,36,61,455,463
114,458,38,33,30,452,452
112,459,32,35,57,460,467
110,462,34,35,47,456,452
108,456,39,20,32,447,449
114,460,41,26,45,453,459
104,460,40,22,46,451,463
108,464,47,37,41,456,453
106,456,30,26,62,455,463
114,464,53,20,39,450,456
102,457,30,20,26,448,453
114,456,37,31,31,450,458
110,460,34,31,48,447,463
114,462,33,28,35,455,450
114,460,51,32,62,452,459
106,462,43,22,28,448,456
114,456,37,29,47,449,451
112,455,25,24,45,444,453
106,459,46,29,43,446,459
112,466,42,37,57,458,460
112,460,39,35,36,451,459
113,458,30,28,30,453,458
110,461,52,24,31,451,451
114,458,39,28,30,454,459
112,468,47,29,45,445,460
102,459,41,22,35,449,450
114,466,52,43,70,461,468
102,457,46,22,44,451,465
114,460,51,16,24,447,451
112,467,40,43,30,450,456
114,457,30,31,37,449,450
114,452,32,18,40,447,451
102,465,52,30,38,457,461
108,445,31,16,26,441,446
108,459,39,22,30,449,453
110,465,45,42,52,462,458
102,456,28,24,33,450,452
110,456,30,28,44,456,462
114,468,81,22,30,451,450
114,464,44,39,49,456,464
114,472,53,28,47,457,474
104,459,43,28,45,455,460
114,462,49,29,44,446,459
104,462,40,24,53,451,463
96,454,39,27,33,449,455
114,457,35,20,37,449,466
106,459,32,41,55,450,456
110,462,49,24,56,454,462
98,452,30,29,38,448,465
114,464,47,26,45,452,455
114,454,36,32,39,452,455
114,454,44,27,49,450,456
114,468,55,22,36,448,453
106,455,40,34,47,452,452
114,469,61,34,70,454,460
112,457,50,20,58,451,464
110,454,48,22,38,448,458
114,459,39,32,40,454,458
114,458,38,24,47,451,454
108,461,32,32,53,462,460
112,463,41,28,40,457,471
104,466,36,38,52,457,460
98,464,45,22,30,453,458
114,462,73,24,44,452,455
112,462,52,24,34,452,458
102,457,46,18,42,447,449
98,460,39,35,28,454,457
108,451,26,31,55,450,461
114,455,28,20,14,447,447
109,467,49,39,55,457,460
114,457,30,27,30,456,455
114,458,49,43,42,452,458
96,460,37,29,24,447,451
114,467,47,35,27,453,452
98,456,26,33,46,453,454
114,467,58,21,43,451,455
114,461,41,35,36,452,459
112,459,51,41,61,451,455
110,457,37,33,42,450,457
110,458,48,16,37,445,453
108,455,41,25,14,445,446
114,465,58,22,24,449,453
114,463,54,20,34,449,452
106,466,49,33,28,452,454
