average_degree,qiskit,merging_states,qiskit_dense
2.0625,1013,291,779
2.1875,1013,314,428
2.25,1013,319,422
2.0625,1013,290,799
2.0,1013,251,438
2.125,1013,289,519
2.125,981,352,432
2.25,1013,257,760
2.375,1013,256,665
2.3125,1013,286,515
2.125,1013,301,471
2.125,1013,307,444
2.1875,1013,236,444
2.25,1013,296,472
2.0625,1013,276,456
2.0625,1013,290,601
2.125,1013,291,640
2.125,1013,282,420
2.3125,887,276,827
2.1875,1013,261,528
2.125,1013,299,509
2.0625,1013,270,460
2.25,1013,265,560
2.0625,1013,297,445
2.125,1013,309,512
2.1875,1013,291,477
2.25,1013,312,611
2.25,1013,227,603
2.125,1013,277,457
2.1875,1013,284,510
2.1875,1013,276,708
2.0625,1013,294,551
2.125,1013,257,600
2.1875,997,254,784
2.125,1013,273,540
2.1875,1013,291,559
2.125,1013,274,568
2.0,1013,280,795
2.125,949,274,695
2.3125,1013,238,545
2.125,1013,312,628
2.3125,1013,242,427
2.0,1013,293,680
2.1875,1013,267,572
2.125,1013,261,588
2.125,1013,292,651
2.125,1013,288,686
2.125,1013,273,567
2.25,1013,256,616
2.0625,1013,325,322
2.0625,1013,310,678
2.0,1013,310,538
2.125,1013,264,446
2.0625,1013,327,674
2.0625,1013,238,497
2.125,1013,273,529
2.0625,1013,298,661
2.1875,1013,282,522
2.25,1013,273,427
2.25,1013,292,533
2.1875,1013,270,593
2.1875,1013,281,568
2.25,1013,266,730
2.25,1013,267,550
2.1875,1013,253,439
2.375,1013,281,610
2.125,1013,284,605
2.1875,1013,301,569
2.125,1013,306,411
2.1875,1013,286,489
2.0625,1013,251,721
2.0625,1013,266,488
2.1875,1013,290,461
2.0,1013,315,300
2.3125,1013,252,456
2.125,1013,278,566
2.0625,1013,300,559
2.1875,1013,279,416
2.125,1013,286,457
2.125,1013,310,461
2.0,1013,298,700
2.0625,1013,315,621
2.25,1013,283,447
2.125,1013,299,524
2.125,989,307,346
2.1875,1013,315,374
2.0,1013,316,766
2.1875,981,287,493
2.125,1013,292,473
2.0,1013,267,753
2.1875,1013,258,531
2.1875,1013,273,543
2.3125,1013,252,608
2.1875,1013,305,484
2.4375,1013,260,344
2.0,1013,297,694
2.125,1013,249,659
2.0,1013,249,631
2.125,1013,306,573
2.25,1013,259,619
