qiskit,shp_reduced,multiedge,qiskit_dense,mhs_nonlinear,merging_states,mhs_nonlinear_alt,mhs_multi
120,1524,1344,572,644,691,633,
120,1269,1340,740,628,736,647,
120,1355,1547,850,605,733,623,
120,1539,1371,719,602,738,634,
120,1290,1434,897,663,804,585,
120,1405,1237,707,686,749,658,
120,1481,1362,726,581,688,667,
120,1344,1515,741,609,753,611,
120,1444,1476,681,601,703,553,
120,1535,1337,915,652,735,624,
120,1261,1600,865,626,701,626,
120,1407,1522,861,621,754,588,
120,1356,1374,729,645,733,659,
120,1541,1635,1052,717,735,679,
120,1406,1675,785,711,758,690,
120,1487,1611,911,597,769,675,
120,1556,1529,630,635,747,642,
120,1327,1483,693,591,781,645,
120,1378,1448,851,609,717,578,
120,1384,1417,871,610,709,612,
120,1412,1354,817,611,722,591,
120,1460,1297,921,663,713,606,
120,1415,1528,977,646,760,645,
120,1410,1310,949,665,763,657,
120,1516,1269,708,639,741,653,
120,1301,1509,792,648,749,606,
120,1370,1334,874,648,738,664,
120,1453,1558,565,658,692,603,
120,1397,1454,611,644,717,601,
120,1456,1332,983,638,752,642,
120,1546,1425,752,627,743,647,
120,1606,1492,670,602,724,575,
120,1479,1498,1046,632,727,673,
120,1503,1309,1045,649,728,635,
120,1414,1442,707,601,682,737,
120,1508,1508,860,688,705,626,
120,1485,1464,822,610,734,638,
120,1716,1390,637,660,723,534,
120,1319,1325,633,600,719,640,
120,1306,1441,740,620,730,624,
120,1490,1359,893,612,715,633,
120,1379,1423,689,674,684,560,
120,1463,1516,685,645,730,535,
120,1573,1552,836,666,730,644,
120,1480,1529,727,674,772,540,
120,1373,1510,616,658,733,715,
120,1346,1552,812,657,716,617,
120,1322,1325,670,624,748,636,
120,1416,1100,988,567,726,668,
120,1331,1522,663,621,708,617,
120,1414,1405,789,658,708,644,
120,1408,1413,670,629,714,691,
120,1383,1418,825,685,729,625,
120,1517,1528,1072,671,752,597,
120,1254,1313,687,574,693,597,
120,1535,1292,621,637,737,630,
120,1447,1301,750,629,731,684,
120,1381,1697,778,596,781,624,
120,1531,1522,782,659,753,727,
120,1363,1317,833,679,712,609,
120,1256,1431,883,595,706,709,
120,1358,1463,991,670,746,657,
120,1528,1154,604,693,682,579,
120,1502,1445,846,645,684,655,
120,1423,1528,761,623,757,594,
120,1582,1488,930,619,762,567,
120,1490,1404,938,625,739,653,
120,1281,1402,514,614,685,659,
120,1435,1370,1330,588,745,629,
120,1430,1572,1008,585,735,655,
120,1515,1348,824,604,795,617,
120,1494,1449,778,578,709,661,
120,1350,1293,685,607,696,621,
120,1411,1364,891,638,778,661,
120,1273,1330,860,643,735,674,
120,1519,1544,781,692,780,611,
120,1338,1618,864,623,751,669,
120,1529,1339,938,636,755,604,
120,1506,1389,634,575,726,670,
120,1515,1328,868,628,734,518,
120,1340,1278,780,722,804,610,
120,1448,1490,649,652,728,570,
120,1354,1645,996,646,752,696,
120,1431,1470,795,647,730,663,
120,1374,1589,684,608,752,611,
120,1423,1281,686,592,687,598,
120,1358,1147,753,703,745,565,
120,1302,1351,849,690,711,699,
120,1446,1320,838,610,761,611,
120,1435,1565,767,660,742,690,
120,1523,1543,621,675,701,625,
120,1217,1155,585,604,688,552,
120,1427,1474,667,625,729,615,
120,1435,1347,691,643,737,668,
120,1514,1315,544,601,732,648,
120,1598,1448,839,637,748,636,
120,1544,1332,940,623,711,579,
120,1259,1394,837,677,785,634,
120,1461,1649,595,596,690,662,
120,1439,1707,756,675,723,607,
120,1423,1385,1096,647,733,617,
120,1488,1357,975,601,726,581,
120,1329,1257,635,596,753,615,
120,1423,1455,512,609,690,621,
120,1509,1220,822,636,750,616,
120,1419,1506,1104,621,772,681,
120,1350,1218,655,597,685,583,
120,1427,1346,632,639,690,712,
120,1456,1306,633,649,712,596,
120,1436,1701,889,665,755,700,
120,1436,1131,605,625,724,645,
120,1482,1620,702,607,716,608,
120,1252,1402,574,685,741,617,
120,1263,1396,639,610,734,662,
120,1689,1527,971,631,757,682,
120,1347,1516,915,640,754,563,
120,1409,1533,910,607,703,652,
120,1405,1555,1168,652,731,641,
120,1570,1379,600,561,696,605,
120,1394,1534,645,701,735,732,
120,1322,1469,870,574,693,697,
120,1516,1341,647,614,708,572,
120,1306,1490,789,650,738,615,
120,1533,1592,973,749,711,673,
120,1439,1420,600,637,750,604,
120,1409,1410,933,681,775,632,
120,1382,1440,694,689,715,646,
120,1563,1408,807,598,689,623,
120,1617,1549,581,628,733,628,
120,1632,1475,673,657,744,550,
120,1645,1557,710,657,730,623,
120,1423,1502,774,629,728,622,
120,1466,1422,870,684,746,632,
120,1392,1284,974,587,721,568,
120,1529,1499,727,600,706,574,
120,1546,1547,764,657,729,580,
120,1457,1376,816,672,752,665,
120,1316,1458,972,622,780,623,
120,1496,1520,694,701,770,592,
120,1500,1432,782,696,810,621,
120,1354,1559,1141,658,748,636,
120,1272,1190,627,636,709,599,
120,1530,1347,629,644,753,612,
120,1382,1658,804,571,709,600,
120,1381,1570,802,684,719,634,
120,1364,1465,470,614,735,579,
120,1406,1553,773,622,728,670,
120,1591,1319,819,670,740,712,
120,1447,1398,930,628,706,661,
120,1375,1352,841,671,693,640,
120,1379,1503,1015,647,771,650,
120,1348,1397,916,662,788,624,
120,1342,1387,874,640,793,650,
120,1437,1601,721,659,737,645,
120,1275,1493,677,656,726,669,
120,1379,1429,758,666,775,685,
120,1347,1508,671,653,783,649,
120,1391,1790,677,655,740,665,
120,1474,1325,626,662,758,568,
120,1380,1446,533,613,683,657,
120,1500,1429,1003,668,727,661,
120,1435,1588,865,655,701,642,
120,1468,1379,909,680,753,648,
120,1411,1157,689,665,683,666,
120,1302,1354,820,649,729,643,
120,1422,1463,728,662,731,616,
120,1461,1231,794,666,725,656,
120,1291,1274,645,682,745,567,
120,1401,1549,1095,677,827,657,
120,1388,1612,714,640,727,576,
120,1448,1600,867,631,706,582,
120,1254,1193,640,644,716,654,
120,1381,1601,949,603,698,589,
120,1379,1358,632,654,745,612,
120,1471,1416,762,643,703,613,
120,1496,1272,797,634,705,634,
120,1565,1558,761,642,752,632,
120,1427,1166,612,610,750,626,
120,1446,1358,872,681,744,666,
120,1197,1476,936,706,760,643,
120,1547,1219,868,721,783,650,
120,1338,1204,727,642,760,560,
120,1367,1654,936,591,769,621,
120,1531,1327,712,643,710,616,
120,1603,1314,791,634,764,637,
120,1413,1444,732,638,707,649,
120,1542,1206,699,624,764,655,
120,1369,1481,609,574,773,704,
120,1619,1398,934,658,798,635,
120,1555,1367,795,643,745,699,
120,1294,1408,783,645,703,573,
120,1521,1433,660,619,690,600,
120,1542,1245,945,639,708,602,
120,1486,1303,724,688,733,617,
120,1507,1498,801,628,749,612,
120,1541,1458,955,621,714,658,
120,1392,1435,861,595,743,595,
120,1525,1327,807,576,722,618,
120,1482,1424,591,669,732,683,
120,1333,1351,815,637,754,593,
120,1567,1265,801,639,756,659,
120,1489,1301,795,654,767,663,
120,1423,1443,563,605,705,576,
120,1399,1550,723,642,747,630,
120,1598,1616,650,687,702,615,
120,1396,1151,694,597,737,624,
120,1268,1389,778,661,743,633,
120,1393,1250,938,595,692,579,
120,1431,1180,475,623,682,565,
120,1448,1520,975,667,799,638,
120,1498,1317,589,638,715,608,
120,1544,1460,954,647,747,670,
120,1392,1518,784,648,749,624,
120,1559,1407,902,654,711,621,
120,1304,1521,1149,626,774,589,
120,1609,1492,703,621,775,626,
120,1431,1490,524,646,708,586,
120,1455,1325,801,641,700,598,
