qiskit,shp_reduced,multiedge,qiskit_dense,mhs_nonlinear,merging_states,mhs_nonlinear_alt,mhs_multi
120,1373,1397,602,634,733,693,
120,1483,1589,931,632,754,634,
120,1517,1281,600,601,713,637,
120,1457,1330,744,637,752,560,
120,1358,1421,589,596,811,649,
120,1473,1457,514,625,684,684,
120,1502,1306,839,654,732,612,
120,1368,1509,694,597,745,654,
120,1206,1456,705,597,726,605,
120,1356,1444,909,681,706,640,
120,1574,1379,1127,661,739,668,
120,1286,1647,791,652,776,617,
120,1578,1117,912,584,681,622,
120,1475,1428,1009,669,730,611,
120,1432,1391,660,662,710,618,
120,1492,1556,911,708,759,633,
120,1552,1557,609,605,689,634,
120,1310,1527,884,624,737,702,
120,1507,1604,865,607,751,615,
120,1469,1322,459,652,763,537,
120,1414,1700,866,610,756,700,
120,1478,1339,893,685,765,614,
120,1314,1485,869,637,748,655,
120,1483,1510,884,637,752,685,
120,1376,1509,921,599,754,689,
120,1471,1575,642,740,759,674,
120,1559,1598,566,662,731,638,
120,1468,1483,582,590,724,654,
120,1360,1516,587,606,717,654,
120,1431,1398,628,614,738,689,
120,1230,1647,969,672,732,614,
120,1473,1190,778,680,716,629,
120,1334,1403,730,625,734,612,
120,1315,1530,884,578,719,638,
120,1344,1214,855,659,716,636,
120,1562,1508,1105,683,778,668,
120,1516,1452,732,640,722,672,
120,1515,1397,645,556,779,605,
120,1397,1348,787,676,733,684,
120,1405,1335,768,542,767,569,
120,1364,1559,730,619,735,547,
120,1659,1426,854,668,798,588,
120,1477,1319,786,587,723,612,
120,1408,1658,639,664,792,593,
120,1466,1420,811,626,730,592,
120,1482,1509,732,656,777,678,
120,1674,1450,989,618,760,618,
120,1329,1296,754,616,763,665,
120,1281,1552,1021,611,743,669,
120,1518,1319,790,703,713,577,
120,1340,1358,762,676,744,597,
120,1389,1357,822,595,805,692,
120,1379,1410,852,676,732,659,
120,1519,1444,681,606,743,630,
120,1407,1485,639,582,743,582,
120,1328,1477,687,672,684,611,
120,1476,1452,772,655,767,621,
120,1568,1268,799,588,707,594,
120,1635,1371,743,575,688,637,
120,1403,1429,921,642,762,610,
120,1444,1285,802,652,762,617,
120,1528,1200,741,661,724,627,
120,1648,1462,534,634,706,663,
120,1623,1556,923,614,732,671,
120,1502,1508,745,704,749,610,
120,1487,1343,743,598,711,592,
120,1366,1329,568,647,755,592,
120,1447,1512,903,647,752,616,
120,1636,1541,502,649,754,652,
120,1493,1274,604,650,730,687,
120,1480,1519,644,641,705,594,
120,1589,1444,771,613,696,616,
120,1332,1488,816,703,764,620,
120,1512,1445,688,609,711,691,
120,1443,1319,879,650,785,639,
120,1511,1428,887,680,734,632,
120,1249,1623,622,639,768,622,
120,1549,1401,594,596,738,577,
120,1455,1269,567,592,734,595,
120,1391,1428,881,652,726,619,
120,1390,1395,571,623,693,603,
120,1333,1332,856,676,695,701,
120,1703,1323,927,619,738,703,
120,1642,1276,918,647,755,598,
120,1382,1151,665,644,746,593,
120,1537,1246,539,668,716,569,
120,1508,1565,780,634,691,603,
120,1426,1476,768,719,768,653,
120,1430,1452,741,662,713,665,
120,1480,1612,830,669,750,600,
120,1409,1544,977,665,761,669,
120,1481,1489,954,655,802,560,
120,1295,1496,730,660,754,650,
120,1243,1493,571,747,707,563,
120,1444,1510,1164,697,785,676,
120,1377,1398,772,605,724,689,
120,1346,1389,722,629,722,627,
120,1343,1640,655,665,762,642,
120,1486,1583,828,598,709,613,
120,1528,1423,702,678,692,668,
120,1437,1480,980,688,754,659,
120,1487,1227,635,596,773,617,
120,1470,1427,518,645,705,622,
120,1279,1500,867,656,688,589,
120,1605,1446,778,645,714,564,
120,1380,1382,905,621,771,597,
120,1277,1527,949,613,813,671,
120,1411,1292,462,618,709,549,
120,1413,1559,926,715,759,644,
120,1223,1478,824,640,772,624,
120,1404,1293,634,652,691,685,
120,1414,1550,776,718,774,649,
120,1466,1437,579,609,717,669,
120,1484,1413,877,647,779,726,
120,1491,1479,834,610,784,638,
120,1323,1290,579,619,738,678,
120,1355,1538,583,650,682,635,
120,1369,1503,836,641,761,631,
120,1268,1271,731,634,696,660,
120,1382,1179,666,683,692,619,
120,1554,1331,763,654,714,665,
120,1526,1464,969,597,748,619,
120,1602,1448,883,654,726,606,
120,1348,1196,814,647,685,643,
120,1525,1475,679,643,771,605,
120,1460,1459,956,639,759,676,
120,1340,1256,543,521,743,632,
120,1531,1262,790,644,729,634,
120,1616,1401,673,612,687,624,
120,1305,1595,899,652,719,660,
120,1419,1189,628,586,741,621,
120,1426,1169,1073,610,770,542,
120,1474,1342,679,650,798,522,
120,1203,1258,636,637,731,641,
120,1462,1458,1117,637,800,597,
120,1439,1400,754,665,709,617,
120,1409,1428,825,683,731,677,
120,1393,1326,943,612,727,736,
120,1373,1291,706,624,706,600,
120,1496,1348,910,692,730,563,
120,1338,1332,943,657,710,625,
120,1479,1648,749,599,723,629,
120,1433,1343,790,622,706,658,
120,1348,1427,561,633,708,604,
120,1416,1555,712,623,753,618,
120,1390,1636,812,594,756,651,
120,1544,1380,783,593,739,653,
120,1456,1389,844,655,735,655,
120,1460,1364,664,627,758,613,
120,1407,1343,612,603,716,581,
120,1399,1642,649,636,754,604,
120,1339,1403,1072,710,738,604,
120,1513,1375,826,604,706,608,
120,1594,1483,883,626,718,580,
120,1620,1525,671,649,705,578,
120,1523,1346,539,674,726,596,
120,1466,1384,1046,624,757,572,
120,1558,1451,872,636,749,661,
120,1461,1774,1107,656,803,691,
120,1565,1441,535,625,732,625,
120,1193,1434,654,625,721,606,
120,1427,1413,599,599,742,591,
120,1539,1430,764,640,843,726,
120,1601,1440,647,653,713,589,
120,1414,1567,801,669,710,594,
120,1594,1322,680,612,768,661,
120,1387,1595,825,621,694,607,
120,1470,1464,809,666,701,646,
120,1517,1417,915,713,726,609,
120,1382,1394,806,682,735,635,
120,1513,1434,711,617,723,644,
120,1663,1393,568,672,752,610,
120,1474,1576,884,625,724,634,
120,1511,1300,963,649,801,679,
120,1207,1374,768,609,730,611,
120,1539,1595,753,655,698,668,
120,1272,1525,767,630,705,593,
120,1407,1495,1034,718,754,659,
120,1410,1329,878,671,801,627,
120,1561,1493,611,644,711,609,
120,1519,1568,751,617,784,629,
120,1552,1300,741,657,774,639,
120,1387,1415,626,652,757,636,
120,1500,1424,807,634,778,609,
120,1407,1339,818,597,756,635,
120,1398,1469,589,670,751,700,
120,1484,1430,796,622,714,582,
120,1393,1343,695,630,735,589,
120,1318,1359,1020,641,725,641,
120,1481,1472,715,639,686,639,
120,1432,1473,662,639,796,596,
120,1246,1541,578,635,733,625,
120,1451,1354,824,701,704,623,
120,1433,1488,822,665,741,653,
120,1612,1440,671,603,730,559,
120,1323,1150,736,656,812,606,
120,1539,1534,763,625,714,662,
120,1401,1501,537,596,725,586,
120,1444,1582,822,616,842,633,
120,1475,1209,584,555,715,687,
120,1663,1318,684,607,722,642,
120,1381,1384,613,597,708,600,
120,1415,1336,837,636,682,528,
120,1416,1477,660,637,708,621,
