average_degree,qiskit_dense,merging_states,qiskit,pairwise_swap
3.375,1101,3582,4011,9702
3.25,318,3454,4083,9076
3.375,338,3601,4083,8818
3.25,275,3424,4083,9060
3.125,298,3367,2551,9275
3.125,343,3745,2167,9264
3.125,335,3431,3991,9059
3.0,332,3583,4083,9520
3.0,342,3636,4083,10488
3.75,528,3408,4083,8160
3.0,306,3573,4083,9529
3.25,1514,3604,4083,8876
3.125,932,3474,2549,8696
3.0,485,3579,4083,10023
3.5,302,3290,3573,7781
3.375,308,3430,3061,9533
3.0,322,3585,4083,9262
3.125,397,3570,4083,8428
3.5,531,3422,4083,9076
3.375,574,3444,4083,8616
3.25,402,3469,3061,9268
3.5,316,3578,4083,8259
3.25,2820,3663,4083,9206
3.0,2536,3672,4083,9256
3.125,322,3592,4083,8622
3.25,416,3423,4083,8485
3.25,943,3593,3957,9465
3.25,387,3427,4083,9009
3.375,324,3607,3927,8951
3.125,315,3745,3319,9645
3.25,349,3603,4083,8881
3.25,292,3422,4083,9633
3.375,317,3407,4083,7591
3.0,1670,3443,4083,8816
3.0,360,3420,4083,8890
3.125,303,3578,4083,9010
3.0,1281,3605,4083,9901
3.125,546,3661,4083,9082
3.25,300,3408,4083,8506
3.0,315,3581,4083,9266
3.625,323,3820,3971,8229
3.0,963,3643,2551,9460
3.25,314,3581,4083,7536
3.125,350,3352,4083,9577
3.375,943,3446,3543,8617
3.125,313,3602,4083,8504
3.25,306,3604,4083,8889
3.125,845,3436,2777,8366
3.25,350,3466,2807,8735
3.25,297,3603,2425,9447
3.125,330,3602,4083,9273
3.5,337,3457,4083,7791
3.25,377,3426,4083,8426
3.375,316,3496,4069,8429
3.125,345,3827,4083,9779
3.25,298,3693,4083,8814
3.125,343,3426,4083,9261
3.375,481,3594,4083,8693
3.375,337,3413,4083,9444
3.125,317,3609,4083,9268
3.0,307,3575,4083,8806
3.125,342,3576,4083,9455
3.0,328,3599,3829,9182
3.0,335,4027,4083,9718
3.375,1282,3599,4083,8369
3.125,305,3682,4083,9275
3.625,438,3578,4083,9014
3.125,319,3421,4083,8239
3.0,277,3628,2551,8940
3.5,327,3470,4083,8434
3.25,537,3588,4083,9770
3.25,1568,3547,4083,9452
3.25,311,3542,4051,9834
3.25,274,3451,4083,8630
3.125,324,3579,4083,8812
3.125,2671,3675,2551,8616
3.25,320,3575,4083,8616
3.125,479,3581,4083,8679
3.125,1254,3597,4083,8874
3.75,888,3439,4083,8041
3.5,329,3407,4083,8624
3.25,627,3570,4083,9264
3.0,324,3629,1499,9451
3.125,364,3551,4083,9646
3.0,301,3583,3511,9448
3.375,314,3410,4083,9267
3.375,303,3523,4083,9070
3.25,635,3425,4083,8241
3.25,328,3802,4035,9899
3.25,333,3583,3319,9909
3.5,378,3424,4083,8616
3.375,484,3415,4083,9465
3.25,308,3427,4083,9082
3.25,335,3439,4083,9004
3.125,913,3582,4083,9643
3.25,303,3401,4083,7977
3.5,271,3448,2521,7777
3.125,449,3618,4083,9818
3.125,461,3627,4083,9265
3.25,301,3409,4083,9526
