qiskit,shp_reduced,multiedge,qiskit_dense,mhs_nonlinear,merging_states
57,816,751,57,394,474
57,1075,647,57,373,472
57,959,664,57,393,496
57,812,753,57,359,476
57,881,743,57,373,482
57,919,718,57,391,473
57,834,796,57,379,473
57,833,836,57,393,498
57,950,748,57,416,477
57,899,748,57,359,502
57,949,717,57,428,500
57,954,678,57,404,503
57,769,666,57,404,492
57,889,746,57,415,474
57,817,614,57,374,495
57,848,809,57,389,478
57,769,759,57,405,474
57,903,742,57,389,509
57,727,701,57,397,472
57,902,726,57,412,504
57,907,818,57,423,499
57,963,732,57,385,467
57,1029,648,57,404,475
57,920,676,57,391,497
57,843,644,57,413,470
57,864,663,57,379,469
57,868,770,57,394,523
57,863,728,57,394,499
57,849,751,57,400,515
57,813,738,57,390,525
57,959,838,57,454,500
57,869,722,57,423,499
57,899,650,57,422,476
57,850,636,57,397,498
57,992,673,57,461,469
57,924,791,57,388,505
57,875,682,57,386,506
57,888,762,57,437,470
57,1049,777,57,423,490
57,1036,731,57,406,476
57,773,726,57,406,474
57,843,805,57,429,477
57,978,591,57,406,470
57,948,758,57,406,500
57,859,702,57,406,498
57,932,652,57,373,476
57,828,752,57,372,478
57,1068,713,57,438,472
57,867,695,57,410,496
57,848,798,57,409,524
57,974,751,57,420,497
57,1015,742,57,371,502
57,865,697,57,406,472
57,914,773,57,454,507
57,847,782,57,382,480
57,1007,750,57,404,510
57,901,741,57,438,499
57,884,850,57,371,529
57,697,655,57,424,474
57,874,684,57,411,496
57,925,873,57,398,482
57,957,764,57,409,518
57,826,720,57,386,468
57,877,851,57,408,494
57,833,716,57,411,497
57,949,804,57,419,496
57,749,859,57,410,482
57,845,809,57,408,473
57,963,683,57,389,479
57,867,718,57,388,495
57,900,678,57,424,476
57,742,770,57,411,476
57,959,821,57,422,501
57,888,652,57,365,536
57,822,696,57,364,499
57,890,763,57,375,479
57,741,696,57,406,495
57,968,761,57,395,476
57,727,751,57,424,479
57,950,734,57,388,473
57,894,908,57,392,476
57,835,765,57,422,496
57,905,658,57,402,479
57,877,826,57,382,497
57,924,538,57,404,473
57,914,689,57,421,495
57,916,736,57,434,526
57,1015,658,57,421,500
57,951,734,57,407,472
57,994,1017,57,412,474
57,902,742,57,395,478
57,853,655,57,410,483
57,840,745,57,414,475
57,1019,784,57,396,480
57,982,705,57,389,500
57,806,764,57,406,494
57,886,705,57,444,498
57,910,668,57,396,502
57,832,739,57,382,491
57,955,705,57,357,501
57,1025,677,57,417,472
57,842,826,57,405,469
57,938,737,57,432,501
57,781,694,57,410,482
57,965,836,57,372,505
57,905,735,57,375,474
57,854,719,57,439,476
57,911,807,57,404,468
57,908,544,57,390,478
57,908,732,57,408,475
57,771,745,57,409,474
57,938,858,57,403,477
57,880,705,57,356,473
57,958,608,57,406,500
57,938,841,57,389,491
57,1087,729,57,375,477
