qiskit_dense,merging_states,qiskit,average_degree,pairwise_swap
73,420,997,2.25,1076
280,317,1013,2.5,916
80,382,1007,2.25,1068
82,427,779,2.25,924
145,374,887,2.5,1002
336,319,1013,2.5,1081
80,360,1013,2.25,1075
118,424,1013,2.25,1008
80,429,949,2.25,1149
77,371,1005,2.5,1246
65,467,301,2.5,1148
77,418,1013,2.25,1224
182,377,965,2.25,1145
95,359,811,2.0,1151
78,422,395,2.5,920
86,424,683,2.25,1067
88,377,1013,2.5,1082
95,361,789,2.25,1084
76,378,977,2.25,1006
99,418,1013,2.5,1024
86,419,1009,2.25,1310
72,430,925,2.5,1081
71,404,571,2.5,841
107,429,1013,2.0,1149
202,360,1013,2.25,1141
282,385,1013,2.0,1231
79,381,1013,2.5,922
72,445,1013,2.25,918
77,401,1013,2.0,1231
79,411,1013,2.5,1014
92,323,981,2.0,1086
135,314,977,2.25,1005
96,458,1013,2.0,1292
68,425,997,2.5,1144
100,422,791,2.0,1304
188,388,1013,2.0,1072
158,417,1013,2.25,929
71,358,917,2.25,987
83,430,697,2.0,1457
89,369,1013,2.0,1150
78,380,1013,2.25,1072
104,383,1013,2.0,1149
91,349,1013,2.25,1092
95,362,965,2.0,1233
90,446,1013,2.0,1382
94,394,753,2.0,1305
103,359,1013,2.0,1088
94,385,759,2.75,827
81,448,339,2.25,1081
90,386,697,2.5,1336
70,368,1013,2.25,1075
90,434,1013,2.0,1229
123,402,1013,2.0,1162
94,377,1013,2.5,1155
88,419,949,2.25,1075
119,362,917,2.25,849
84,357,959,2.25,1080
76,400,557,2.0,1306
98,319,1013,2.25,1156
85,431,1013,2.0,1217
89,429,851,2.0,1233
106,367,1013,2.25,1331
84,401,571,2.25,1000
80,363,1013,2.0,999
74,428,983,2.5,1306
99,354,1013,3.0,774
214,433,965,2.25,1234
149,378,1013,2.5,1080
100,437,1013,2.0,1225
197,427,1013,2.25,1155
101,488,981,2.0,1381
84,388,981,2.5,1001
236,432,571,2.0,1227
90,370,1003,2.25,1084
92,361,965,2.0,1229
99,377,1013,2.5,1087
91,360,1013,2.25,1154
89,358,811,2.25,1155
82,352,997,2.25,931
88,364,831,2.5,1157
152,389,1013,2.25,1004
93,319,949,2.25,1009
170,386,1013,2.0,1147
77,420,1013,2.0,1231
89,387,1013,2.25,1003
74,423,1013,2.5,1002
85,408,549,2.0,1234
81,375,1013,2.75,1074
178,435,1013,2.0,1157
69,373,789,3.0,854
272,447,633,2.25,1008
80,440,571,2.0,1146
301,469,603,2.0,1081
81,427,1013,2.0,1457
152,419,1009,2.0,1328
113,362,1013,2.0,1310
86,362,1013,2.0,1226
95,357,515,2.25,1450
90,449,1013,2.0,1389
77,444,1013,2.5,1155
