qiskit,shp_reduced,gleinig,greedy_linear
57,732,374,686
57,745,386,579
57,868,369,608
57,682,375,586
57,633,399,615
57,726,403,654
57,698,410,612
57,678,368,578
57,782,421,795
57,759,379,597
57,816,397,629
57,710,392,686
57,623,390,592
57,646,375,754
57,851,379,786
57,759,388,670
57,700,397,718
57,736,403,661
57,744,375,736
57,728,372,629
57,741,381,620
57,725,372,699
57,746,417,671
57,719,396,650
57,755,400,640
57,623,393,729
57,783,375,685
57,761,373,612
57,727,380,609
57,651,395,666
57,625,399,603
57,709,379,662
57,832,367,685
57,672,372,734
57,644,390,701
57,684,378,634
57,753,376,631
57,769,379,756
57,662,379,685
57,765,381,649
57,708,378,673
57,647,373,652
57,857,374,654
57,660,410,640
57,793,372,598
57,742,377,630
57,697,402,585
57,845,400,599
57,680,371,612
57,697,376,717
57,795,376,600
57,687,395,658
57,756,377,719
57,728,376,776
57,828,380,698
57,765,375,615
57,822,393,720
57,707,379,654
57,680,373,639
57,809,370,548
57,769,380,693
57,710,371,635
57,660,375,641
57,720,379,625
57,644,379,582
57,712,391,666
57,816,390,766
57,697,379,699
57,781,397,585
57,821,371,674
57,712,377,537
57,818,372,768
57,652,379,653
57,649,375,676
57,651,376,636
57,767,409,669
57,702,378,684
57,836,372,673
57,659,366,713
57,693,406,717
57,717,376,655
57,743,395,595
57,602,375,543
57,654,374,675
57,588,386,669
57,646,374,746
57,687,377,593
57,816,373,627
57,759,403,675
57,738,375,634
57,669,403,671
57,662,375,663
57,632,371,595
57,710,378,547
57,741,380,658
57,705,368,694
57,685,376,577
57,802,394,638
57,761,417,712
57,706,372,658
57,831,375,679
57,756,365,701
57,677,390,627
57,772,393,715
57,788,378,575
57,760,375,639
57,807,379,585
57,772,394,584
57,658,418,664
57,680,380,565
57,807,370,594
57,718,374,666
57,785,375,660
57,812,374,724
57,736,370,645
57,790,378,715
57,778,386,655
57,629,374,583
57,620,386,651
57,824,410,785
57,838,373,690
57,727,414,662
57,830,377,681
57,749,381,597
57,654,396,650
57,773,376,724
57,931,373,729
57,693,376,612
57,817,379,619
57,707,374,676
57,865,379,705
57,769,374,704
57,758,389,607
57,684,387,619
57,777,370,652
57,682,394,616
57,766,392,627
57,763,377,646
57,800,372,699
57,745,398,704
57,749,379,691
57,694,376,756
57,730,376,790
57,738,401,638
57,729,403,614
57,721,374,714
57,753,382,681
57,896,375,733
57,690,394,651
57,683,397,680
57,798,371,721
57,762,372,699
57,792,434,682
57,624,374,704
57,667,391,665
57,669,382,668
57,655,393,642
57,712,416,693
57,814,377,602
57,862,400,723
57,705,388,755
57,779,391,762
57,634,378,684
57,769,446,643
57,729,393,594
57,776,369,648
57,668,377,817
57,672,375,728
57,651,369,720
57,796,385,686
57,757,373,741
57,727,389,702
57,759,387,734
57,733,391,734
57,811,373,683
57,817,381,614
57,863,376,661
57,694,376,629
57,732,377,645
57,718,380,686
57,767,377,787
57,776,379,658
57,775,398,699
57,740,379,616
57,654,375,678
57,752,388,572
57,765,375,663
57,744,420,618
57,764,416,718
57,665,375,656
57,732,376,650
57,672,379,602
57,663,383,642
57,782,395,595
57,628,378,636
57,785,382,714
57,684,377,610
57,710,376,612
57,832,372,675
57,645,413,674
57,821,371,649
57,775,398,667
57,732,372,724
57,702,374,718
57,690,374,667
57,773,378,640
57,811,397,635
57,614,376,600
57,737,390,650
57,810,391,639
57,826,373,703
57,700,390,593
57,675,378,647
57,840,379,599
57,729,377,697
57,627,391,711
57,838,380,640
57,657,371,575
57,839,371,674
57,676,388,631
57,779,372,653
57,816,388,681
57,725,398,644
57,789,376,705
57,829,378,633
57,848,370,675
57,862,379,599
57,724,413,557
57,676,397,625
57,690,382,611
57,805,376,642
57,867,397,654
57,652,380,675
57,821,372,679
57,810,377,637
57,668,372,720
57,781,377,611
