average_degree,qiskit_dense,merging_states,qiskit,pairwise_swap
0.421875,6996,2841,4083,8591
0.3125,6480,2976,4083,8850
0.3125,7127,3014,4083,8906
0.25,6723,2970,4083,8819
0.453125,6644,3019,4083,8828
0.3125,6189,3090,4083,8598
0.359375,7107,2939,4083,8925
0.453125,6768,2839,4083,8604
0.46875,7329,2955,4083,8782
0.375,6682,2893,4083,9018
0.34375,6905,2879,4083,8978
0.390625,6869,2953,4083,8989
0.375,7372,2880,4083,8676
0.34375,6740,2971,4083,8406
0.421875,6692,2862,4083,8892
0.3125,7205,2819,4083,8780
0.296875,6507,3031,4083,8930
0.296875,7042,2784,4083,9084
0.359375,7192,2888,4083,8532
0.546875,6985,2801,4083,8857
0.40625,6761,2965,4083,8843
0.328125,7240,2926,4083,8893
0.375,6853,2977,4083,8874
0.296875,7164,2993,4083,8763
0.296875,7758,2749,4083,8879
0.3125,6636,2944,4083,8916
0.46875,6657,2846,4083,8994
0.4375,6814,2886,4083,8744
0.359375,7054,3045,4083,8722
0.359375,7552,2852,4083,8818
0.34375,6896,2947,4083,8687
0.453125,6203,2953,4083,8676
0.40625,6486,2847,4083,8626
0.3125,6896,2982,4083,8720
0.421875,6685,2909,4083,8755
0.328125,7275,3006,4083,8586
0.421875,7057,3023,4083,8661
0.59375,7180,2957,4083,8735
0.453125,6461,2908,4083,8866
0.328125,7000,2990,4083,8649
0.328125,7491,2974,4083,8569
0.40625,6365,3019,4083,9014
0.265625,6935,3015,4083,8874
0.375,6464,2988,4083,9227
0.453125,6650,2740,4083,8838
0.46875,6911,2975,4083,9080
0.34375,6548,3049,4083,8809
0.359375,6976,2871,4083,8552
0.359375,6842,2942,4083,8817
0.265625,7198,3088,4083,8849
0.4375,6695,2924,4083,8764
0.265625,6628,2899,4083,8900
0.421875,6686,2973,4083,8720
0.5,6902,2783,4083,8605
0.359375,6923,3032,4083,8815
0.4375,6569,2927,4083,9000
0.453125,6807,2790,4083,8626
0.328125,6963,2882,4083,8832
0.359375,7101,3021,4083,8650
0.28125,7045,3056,4083,8761
0.375,7202,2911,4083,8743
0.328125,6881,3021,4083,8877
0.5625,7291,2958,4083,8617
0.296875,7030,2820,4083,8895
0.34375,7438,2807,4083,8866
0.328125,6960,2877,4083,8601
0.3125,7070,2887,4083,8837
0.296875,6597,2990,4083,8894
0.296875,7170,3026,4083,8764
0.453125,7292,2958,4083,8678
0.34375,6849,2952,4083,8901
0.34375,7221,2981,4083,8850
0.4375,6709,3043,4083,8543
0.390625,7080,2981,4083,8744
0.328125,7364,2839,4083,8796
0.421875,6834,3030,4083,9052
0.421875,6655,2933,4083,8700
0.421875,6943,2903,4083,8832
0.453125,6382,3064,4083,8870
0.265625,7145,3085,4083,8661
0.375,6885,2833,4083,8785
0.34375,7401,2967,4083,8800
0.4375,6865,3006,4083,8677
0.40625,6938,2897,4083,8867
0.359375,7076,2853,4083,8744
0.296875,6768,3073,4083,9136
0.296875,6971,2906,4083,8709
0.28125,6577,3067,4083,9238
0.1875,6979,3021,4083,8623
0.359375,7225,2875,4083,9109
0.328125,6342,2960,4083,8636
0.296875,7166,3025,4083,8800
0.515625,6699,2947,4083,9288
0.4375,6675,2904,4083,8933
0.34375,6704,3072,4083,8638
0.28125,7397,2964,4083,8707
0.3125,7002,2987,4083,8962
0.3125,6802,2733,4083,8765
0.359375,6673,2978,4083,8688
0.296875,6500,3009,4083,8854
