average_degree,qiskit,merging_states,qiskit_dense
4.25,951,410,41
4.0,503,406,94
4.0,1001,407,96
4.0,503,404,42
4.25,633,414,41
4.0,983,468,35
4.0,498,405,41
4.25,503,404,41
4.25,951,468,42
4.0,1005,407,50
4.125,887,407,141
4.0,855,469,36
4.0,999,409,91
4.25,951,474,42
4.0,881,408,49
4.125,1003,406,90
4.0,1013,383,48
4.25,949,467,42
4.25,651,470,40
4.0,503,380,48
4.0,839,412,41
4.0,999,420,59
4.25,963,412,40
4.0,997,409,91
4.0,365,468,35
4.125,1013,405,91
4.0,957,469,37
4.0,889,405,93
4.0,991,413,43
4.0,571,471,43
4.0,613,484,36
4.0,1013,405,50
4.25,949,467,41
4.0,795,468,35
4.0625,1013,372,117
4.125,1011,406,47
4.25,951,412,42
4.25,871,402,42
4.0,705,414,41
4.0,983,404,223
4.0,1013,381,63
4.0,951,414,91
4.0,1009,405,42
4.125,1013,407,50
4.0,759,414,42
4.25,1013,403,40
4.125,1007,380,48
4.0,901,383,93
4.0,439,469,35
4.0,669,468,36
4.0,887,381,48
4.0,1011,406,60
4.125,1007,378,92
4.125,951,383,47
4.0625,759,373,138
4.0,927,407,48
4.125,997,404,302
4.125,503,404,62
4.0,1013,411,50
4.0,999,405,42
4.25,485,468,41
4.0,1013,405,41
4.0,1007,469,43
4.0,1013,407,52
4.0,763,468,41
4.125,1011,420,107
4.125,1013,409,67
4.0,1013,406,42
4.125,921,404,49
4.0,773,471,42
4.0,993,407,51
4.0,686,470,35
4.25,1002,469,41
4.0,887,410,92
4.0,773,407,50
4.0,757,418,42
4.125,1007,408,59
4.0,999,407,51
4.0,887,413,90
4.25,627,468,40
4.0,681,405,43
4.0,951,412,93
4.0,969,468,35
4.0,1013,415,42
4.0,503,475,44
4.0,1011,469,43
4.0,679,469,36
4.125,983,404,61
4.25,919,414,40
4.0,733,468,36
4.0,1011,413,41
4.0,949,404,42
4.0,691,471,42
4.0,1007,468,44
4.0,1013,407,94
4.25,969,412,40
4.0,863,420,41
4.125,1013,381,94
4.0,1011,468,41
4.125,503,410,138
