average_degree,qiskit,merging_states,qiskit_dense
3.125,1013,348,196
3.125,949,312,224
3.3125,1013,280,250
3.0625,1013,301,446
3.125,1013,314,762
3.25,1013,315,404
3.125,1013,277,375
3.0625,1013,345,307
3.0625,901,380,357
3.125,759,363,574
3.25,999,396,649
3.0,1013,338,125
3.5,999,311,214
3.0,707,395,214
3.0625,1013,329,595
3.1875,1013,285,532
3.125,1013,300,301
3.3125,1013,267,574
3.0,1013,298,342
3.0,1013,397,228
3.0,1013,414,100
3.375,1005,312,258
3.0,1013,321,296
3.0,1013,319,492
3.125,1013,331,349
3.0625,1013,286,380
3.125,1013,310,538
3.0625,1013,293,355
3.125,1013,292,576
3.25,1013,327,409
3.1875,1013,288,512
3.5,1013,314,257
3.0,759,371,83
3.0,1013,356,266
3.0625,1013,254,464
3.125,1013,315,185
3.0,747,345,253
3.0,1013,378,208
3.125,1013,257,203
3.1875,1013,253,315
3.25,1013,333,360
3.0625,983,287,456
3.0,1013,306,314
3.0,1013,351,274
3.0625,1013,331,506
3.375,761,281,383
3.125,1013,287,517
3.125,901,280,513
3.0,1005,351,97
3.0,997,349,393
3.125,1009,319,360
3.1875,1013,283,268
3.5625,1013,316,203
3.125,901,288,349
3.25,1013,362,602
3.0625,1013,271,491
3.0625,1013,294,432
3.0625,1013,331,438
3.125,1013,310,409
3.0,1013,316,362
3.1875,983,278,329
3.0625,1013,280,642
3.125,1013,327,753
3.25,1013,334,473
3.3125,949,269,349
3.0,1013,344,112
3.25,1013,313,497
3.3125,1013,295,175
3.1875,999,280,264
3.4375,997,314,167
3.0,919,325,381
3.125,1013,259,574
3.0,1013,336,255
3.25,1013,282,370
3.3125,1013,279,365
3.5,1013,313,233
3.0,965,350,450
3.0,995,348,113
3.0,1013,340,378
3.125,1013,331,631
3.0,1013,413,295
3.1875,1013,295,679
3.1875,1013,287,554
3.0625,1013,393,175
3.25,1013,307,340
3.0625,1013,358,294
3.125,887,278,400
3.125,1013,289,295
3.0,1013,306,171
3.125,1013,331,207
3.6875,1013,307,84
3.0,999,312,270
3.125,1005,309,366
3.25,503,307,552
3.125,981,349,185
3.0,1013,288,345
3.375,1013,313,203
3.125,1005,333,369
3.125,1013,330,377
3.0625,997,355,360
