average_degree,qiskit_dense,merging_states,qiskit,pairwise_swap
5.0,144,4557,4081,6784
5.0,140,4527,4083,10116
5.0,134,4500,3289,6778
5.0,142,4498,4083,10114
5.0,142,4525,2750,6782
5.0,137,4560,4083,9344
5.5,135,4502,4083,6780
5.0,141,4498,3835,10113
5.0,143,4514,4023,10113
5.0,149,4508,1415,10112
5.0,138,4515,2979,10112
5.5,133,4506,2825,6015
5.0,138,4525,3603,9346
5.0,138,4511,2927,10108
5.0,144,4503,4079,9340
5.0,141,4508,3977,9350
5.5,130,4496,3889,6784
5.0,147,4559,2651,7297
5.0,137,4589,3187,6781
5.0,138,4497,3761,6782
5.0,134,4499,3829,6784
5.0,142,4590,4075,10112
5.0,138,4517,3971,10114
5.5,132,4496,4083,6016
5.0,140,4510,4083,7297
5.0,142,4526,4077,6017
5.0,133,4497,4083,9343
5.0,138,4499,2919,6784
5.0,140,4508,4067,6788
5.0,145,4508,4083,9348
5.5,134,4498,4059,6016
5.5,138,4494,3907,6788
5.0,144,4499,3971,9349
5.0,144,4511,4083,9346
5.0,138,4507,3942,6786
5.0,143,4525,2571,10112
5.0,143,4497,4083,10114
5.0,138,4498,3909,9348
5.0,140,4562,1571,6786
5.0,142,4526,3533,6784
5.5,130,4492,4029,6786
5.5,133,4494,4077,6013
5.0,141,4560,3605,6784
5.0,138,4501,4083,7296
5.0,139,4508,2331,10112
5.5,129,4497,3495,6014
5.5,131,4510,1849,6016
5.0,137,4525,3857,9348
5.0,134,4511,3489,9345
5.0,137,4558,1171,6784
5.5,134,4510,2037,6782
5.0,141,4556,3903,9350
5.0,142,4505,1667,6783
5.5,128,4494,3853,6780
5.5,127,4493,3840,6778
5.0,140,4525,2883,6784
5.0,141,4622,2469,9346
5.0,140,4496,4083,8580
5.5,133,4494,2881,6781
5.5,134,4492,1985,6778
6.0,130,4493,3909,3450
5.0,142,4527,739,10114
5.0,144,4525,3952,9342
5.5,133,4494,3065,6778
5.5,133,4496,1059,6014
5.0,140,4525,4023,6788
5.0,140,4530,947,6781
5.0,152,4508,3809,9342
5.0,143,4495,4031,6781
5.0,142,4496,3937,9348
5.0,138,5338,2781,9342
5.0,141,4502,4083,6020
5.5,130,4495,3573,6778
5.5,129,4494,3061,6780
5.0,143,4518,2747,10118
5.5,136,4497,1803,6020
6.0,134,4496,3959,3452
5.0,140,4503,2521,6782
5.5,134,4526,2283,6017
5.5,131,4541,1602,6784
5.0,138,4526,4083,10114
5.0,146,4499,2843,6020
5.0,141,4500,3191,6780
5.0,139,4500,4081,10114
6.0,132,4494,4059,3454
5.5,130,4494,4075,6782
5.0,140,4495,3799,6784
5.0,139,4527,2819,9346
5.0,143,4498,4053,9350
6.0,132,4495,3479,3454
5.0,143,4517,4075,9347
5.0,139,4502,1646,6782
5.5,137,4495,2991,6781
5.0,139,4513,707,10111
5.0,142,4527,4083,6788
5.5,135,4496,4083,6015
5.0,145,4498,4083,9345
5.0,138,5340,3911,10110
5.5,127,4526,2347,6777
5.5,132,4493,3971,6785
