average_degree,qiskit_dense,merging_states,qiskit,pairwise_swap
4.0,72,1545,1172,3142
4.0,76,1549,1108,3522
4.0,77,1558,1017,2622
4.5,69,1576,536,2243
4.0,75,1550,1988,3907
4.5,70,1526,1000,2238
4.0,72,1557,2036,3524
4.0,80,1541,1706,3903
4.0,72,1533,1526,2623
4.0,73,1558,2026,3531
4.0,77,1543,1732,2629
4.0,71,1539,1116,2620
4.0,75,1549,1324,3904
4.0,78,1539,1330,3527
4.0,74,1533,1256,2623
4.0,76,1535,1834,3523
4.5,65,1533,2024,2621
4.0,73,1524,2030,2625
4.0,79,1528,2028,3525
4.0,75,1526,1948,2619
4.0,76,1546,1338,3911
4.0,75,1545,1084,2621
4.5,68,1526,1004,2618
4.5,68,1529,1264,2625
4.5,72,1527,1034,2623
4.0,75,1533,2036,3903
4.0,79,1529,2036,3521
4.0,77,1528,2000,3526
4.0,83,1536,1968,2628
4.0,81,1571,1694,2625
4.0,80,1540,1988,3520
5.0,69,1524,1494,1340
4.5,75,1527,2031,2243
4.5,69,1539,2006,2623
4.0,79,1531,1476,3524
4.5,70,1556,928,2239
4.0,74,1529,2032,3518
4.5,74,1526,2034,2625
4.0,77,1533,2020,3905
4.0,74,1870,1964,3913
4.0,75,1562,704,3907
4.5,73,1529,2028,2245
4.0,79,1540,1972,3521
4.0,78,1560,976,3523
4.5,71,1527,2014,2623
4.0,79,1538,1798,3013
4.5,66,1527,2015,2239
4.5,70,1537,1140,2625
4.5,68,1535,1918,2242
4.0,78,1530,2026,3523
4.0,74,1541,606,2622
4.5,67,1527,1908,2631
4.0,79,1532,1982,2623
4.0,84,1541,1720,2623
4.0,80,1535,1798,3525
4.0,74,1533,1960,3910
4.0,78,1544,1420,3905
4.0,91,1534,1316,3015
4.0,76,1560,2030,3904
4.0,77,1535,1782,2623
4.0,77,1530,1984,2623
4.0,80,1535,1966,3905
4.5,71,1528,2022,2240
4.5,69,1534,1934,2240
4.0,79,1538,1988,3523
4.0,75,1534,1420,3906
4.5,70,1542,1804,2242
4.0,79,1549,2036,3521
4.0,83,1534,906,3905
4.0,74,1589,2022,2625
4.0,73,1559,692,3902
4.5,71,1559,1180,2620
4.0,75,1590,2030,2624
5.5,67,1524,2006,1341
4.0,79,1528,1886,3520
5.0,705,1526,1940,1342
4.0,83,1536,1500,2627
4.0,75,1551,1256,2629
4.5,67,1528,2006,2623
4.0,74,1542,772,2622
4.5,71,1528,1736,2621
4.0,80,1528,2034,3901
4.0,77,1537,2036,3524
4.5,66,1540,748,2617
4.0,76,1556,756,3527
4.0,91,1573,532,3522
4.0,77,1528,758,3903
4.0,89,1542,1392,2625
4.5,64,1525,1482,2619
4.0,74,1530,2034,3901
4.0,80,1543,1072,3146
4.0,73,1558,2012,3904
4.0,83,1534,2006,2624
4.0,79,1560,1980,2625
4.0,77,1534,1998,3902
4.5,70,1529,1777,2240
4.0,79,1541,1700,2625
4.0,74,1535,1368,3523
5.0,60,1866,1778,2619
4.5,72,1544,2036,2243
