average_degree,qiskit_dense,merging_states,qiskit,pairwise_swap
1.5,810,1032,2036,3336
1.25,860,1108,1526,3166
1.3125,1158,932,2036,3473
1.4375,1379,958,2036,3290
1.5,698,1039,2036,3265
1.25,894,991,2036,3108
1.25,1206,1086,2036,3390
1.25,864,1124,2036,3380
1.375,921,978,2036,3163
1.5,655,940,2036,3163
1.375,863,979,2036,3411
1.375,702,1047,2036,3249
1.1875,794,1001,1400,3533
1.1875,934,1108,1526,3279
1.5,723,1018,2036,3193
1.1875,707,990,2036,3342
1.375,1147,1098,2036,3350
1.125,957,1203,2036,3455
1.1875,742,1099,2036,3499
1.375,997,1043,1782,3304
1.125,1067,1108,2036,3480
1.5,998,1061,2036,3125
1.3125,814,1084,2036,3632
1.125,852,1068,2036,3446
1.25,765,1034,2036,3407
1.25,671,1096,2036,3312
1.375,1038,936,2036,3479
1.5,714,984,2036,3315
1.3125,845,891,2036,3402
1.125,658,1018,2036,3380
1.375,656,1045,2036,3210
1.4375,945,1060,2036,3425
1.25,723,1045,2036,3323
1.25,740,1080,2036,3315
1.0625,605,1053,2036,3509
1.375,834,963,2036,3307
1.3125,710,1084,2036,3205
1.375,662,1046,2036,3376
1.0625,688,1086,2036,3680
1.25,1016,1056,2036,3601
1.25,802,941,2036,3277
1.5625,726,1076,2036,2952
1.5625,694,990,2036,3147
1.25,682,1056,2036,3047
1.4375,798,1043,2036,3271
1.4375,799,990,2036,3215
1.25,620,983,2036,3153
1.0625,811,1230,1400,3316
1.375,958,1086,2036,3549
1.125,837,1160,2036,3534
1.25,1144,1090,2036,3177
1.5,666,979,2036,3153
1.375,722,1050,2036,3157
1.3125,682,1031,2036,3247
1.25,806,1107,1272,3216
1.3125,767,1076,2036,3052
1.1875,720,1115,2036,3317
1.125,714,1124,2036,3358
1.5625,644,1018,1656,3383
1.375,893,1026,2036,3149
1.125,801,1021,2036,3307
1.0625,720,1089,2036,3379
1.125,778,1192,2036,3286
1.5625,792,992,2036,3296
1.3125,789,1036,2036,3157
1.1875,750,1118,1526,3147
1.4375,678,1018,2036,3207
1.125,760,1009,2036,3347
1.375,623,1012,2036,3389
1.3125,870,1013,2036,3230
1.3125,687,984,2036,3321
1.4375,638,980,2036,3160
1.5,811,1035,2036,3482
1.3125,1139,1096,2036,3646
1.25,665,1020,2036,3227
1.4375,750,1099,2036,3409
1.3125,776,1076,1526,3296
1.1875,833,1033,2036,3226
1.375,1229,1098,2036,3295
1.125,821,1089,2036,3288
1.1875,876,1198,2036,3358
1.4375,685,1048,2036,3541
1.3125,684,1021,2036,3266
1.375,1140,1037,1526,3359
1.0625,855,1078,2036,3453
1.4375,744,998,2036,3144
1.5625,899,1037,2036,3121
1.375,1128,950,2036,3360
1.1875,785,1011,2036,3380
1.1875,692,1091,2036,3436
1.25,1429,1050,2036,3381
1.125,723,1054,2036,3270
1.25,932,990,2036,3303
1.3125,754,991,2036,3167
1.375,815,975,2036,3325
1.3125,747,1028,2036,3443
1.25,648,1044,2036,3292
1.25,906,1135,2036,3269
1.3125,657,1158,2036,3446
1.25,740,1003,2036,3099
