qiskit,shp_reduced,gleinig,greedy_linear
120,2260,1277,2105
120,2196,1183,2050
120,2225,1205,2056
120,2278,1307,2036
120,2270,1302,2178
120,2218,1202,2137
120,2218,1210,1895
120,2049,1255,2087
120,2535,1205,2033
120,2310,1207,2090
120,2072,1136,2124
120,2232,1170,2093
120,2373,1297,2268
120,2166,1253,2035
120,2106,1229,1917
120,2169,1223,1954
120,2294,1174,2295
120,2370,1199,1994
120,2227,1235,2037
120,2494,1204,2155
120,2132,1236,1981
120,2092,1234,2008
120,2158,1263,1953
120,2129,1299,1879
120,2458,1210,2008
120,1953,1168,2019
120,2580,1171,1997
120,2347,1218,2022
120,2404,1240,1978
120,2336,1326,2168
120,2127,1210,1878
120,2082,1260,2167
120,2280,1271,2300
120,2094,1224,2058
120,2310,1248,1895
120,2263,1230,2054
120,2205,1226,1972
120,2453,1186,1911
120,2074,1294,2005
120,2380,1285,1946
120,1920,1180,1973
120,2315,1210,2216
120,2404,1198,2139
120,2146,1248,2036
120,2258,1279,2100
120,2282,1278,1925
120,2047,1203,1872
120,2422,1241,2125
120,2388,1222,1740
120,2384,1188,2147
120,2363,1248,2048
120,2378,1209,2212
120,2376,1200,1962
120,2361,1202,1919
120,2382,1225,1994
120,2282,1200,2006
120,2148,1230,1996
120,2320,1251,1980
120,2197,1235,2168
120,1991,1266,1898
120,2219,1201,1959
120,2452,1213,1950
120,2257,1206,2068
120,2208,1177,1966
120,2191,1258,1941
120,2252,1220,1943
120,2235,1252,1837
120,2593,1212,1818
120,2385,1234,2043
120,2078,1254,1948
120,2344,1264,2130
120,2485,1224,1972
120,2015,1226,1997
120,2281,1211,2086
120,2277,1248,1958
120,2125,1256,2263
120,2024,1284,2214
120,2291,1177,1812
120,2064,1181,2013
120,2006,1277,1968
120,2117,1221,2175
120,2498,1206,2176
120,2145,1210,2044
120,2266,1229,2179
120,2050,1250,2084
120,2382,1229,2005
120,2424,1219,1967
120,2521,1247,2173
120,2367,1196,2174
120,2244,1175,2001
120,2420,1202,2263
120,2193,1202,1988
120,2062,1240,1845
120,2212,1232,2127
120,2514,1201,1998
120,1982,1185,2201
120,2288,1244,1873
120,2040,1210,1940
120,2549,1248,1990
120,2179,1202,1903
120,2261,1223,2043
120,2401,1256,1990
120,2146,1243,2152
120,2212,1279,2032
120,2131,1184,2070
120,2485,1200,2253
120,2607,1236,1887
120,2222,1259,2019
120,2141,1250,2033
120,2258,1232,2206
120,2291,1185,1977
120,2204,1153,2089
120,2137,1180,1788
120,2147,1226,2081
120,2091,1249,2042
120,2118,1198,2285
120,2459,1253,2054
120,2019,1268,2065
120,2308,1249,2004
120,2371,1299,2026
120,2269,1247,2123
120,2498,1194,1980
120,2450,1208,2211
120,2373,1174,2009
120,2405,1196,2144
120,2461,1219,2133
120,2267,1214,1959
120,2188,1275,2171
