qiskit,shp_reduced,gleinig
1013,50744,26962
1013,50917,27300
1013,51688,26825
1013,49409,26510
1013,50335,27173
1013,50586,27014
1013,49977,26946
1013,51142,26497
1013,49997,27015
1013,52341,26648
1013,51847,26776
1013,47504,26703
1013,51008,26942
1013,53045,26571
1013,51212,26437
1013,51896,27384
1013,52037,26740
1013,51136,26654
1013,50569,26950
1013,51770,26988
1013,50583,27441
1013,50267,26805
1013,53171,26769
1013,51417,27445
1013,50747,26959
1013,49983,27036
1013,49754,26921
1013,50724,27078
1013,50778,27154
1013,51171,27095
1013,52319,26794
1013,52557,26822
1013,51029,26694
1013,52899,26695
1013,51477,26993
1013,51805,26931
1013,49483,26781
1013,50348,26785
1013,50193,27330
1013,49803,26914
1013,50677,26724
1013,50150,26702
1013,50599,26947
1013,49990,26798
1013,52214,26835
1013,50284,26719
1013,51345,26826
1013,50559,26962
1013,52245,26877
1013,50734,27089
1013,49159,27018
1013,49651,27099
1013,52089,27336
1013,51103,26886
1013,50778,27024
1013,52935,27024
1013,51619,26740
1013,51104,26637
1013,49892,26791
1013,50284,27530
1013,50056,26837
1013,52135,27440
1013,49693,26858
1013,50501,27368
1013,50311,26690
1013,50925,26894
1013,52561,26872
1013,50276,26988
1013,49173,26816
1013,50577,26756
1013,52719,26552
1013,52319,26898
1013,51660,26378
1013,50915,26505
1013,51167,26741
1013,50857,27259
1013,50997,27038
1013,50051,26834
1013,51161,27079
1013,50189,26621
1013,52452,27301
1013,52611,27062
1013,50661,27273
1013,50999,26596
1013,50943,26767
1013,51174,26936
1013,50356,26550
1013,50296,27275
1013,52177,27085
1013,51705,27238
1013,48949,26870
1013,50767,26806
1013,51122,27120
1013,54066,26599
1013,50437,26837
1013,50265,26742
1013,49841,26996
1013,49387,26666
1013,51210,26801
1013,51146,26751
1013,49820,26958
1013,50755,26586
1013,51287,26776
1013,52246,26535
1013,49878,26916
1013,49762,26431
1013,48854,26619
1013,52207,27205
1013,51650,27030
1013,51676,26636
1013,52279,26854
1013,50059,26688
1013,51011,26693
1013,49972,27113
1013,50058,27001
1013,52598,26776
1013,51078,26579
1013,52634,26808
1013,47615,27041
1013,52751,26912
1013,47990,26858
1013,52664,26629
1013,50244,27161
1013,48747,26668
1013,49652,26904
1013,51927,26475
1013,52521,26850
1013,53425,27256
1013,51820,26621
1013,50712,27099
1013,51646,26921
1013,49432,27050
1013,51432,26756
1013,49763,26711
1013,52371,27241
1013,50081,26957
1013,52556,26568
1013,49732,26953
1013,51817,26609
1013,49706,26670
1013,51874,27290
1013,50548,26832
1013,50644,26674
1013,51512,26830
1013,49739,26750
1013,50175,26502
1013,51973,26811
1013,51044,26582
1013,50598,26616
1013,52222,27110
1013,52042,26848
1013,48635,26629
1013,49813,27271
1013,52227,27145
1013,50270,27197
1013,50501,26535
1013,50542,26190
1013,51937,26803
1013,51366,27261
1013,50419,26566
1013,49891,26623
1013,49603,26564
1013,51297,26723
1013,49239,26958
1013,51426,26482
1013,49746,27176
1013,50662,27141
1013,50502,27008
1013,52244,27142
1013,53143,26748
1013,51252,26433
1013,50675,27024
1013,50788,26796
1013,50358,27255
1013,50839,26831
1013,49181,26806
1013,51390,26923
1013,51179,26741
1013,50555,27197
1013,52364,26685
1013,50168,27015
1013,51357,26982
1013,50839,26960
1013,49463,27167
1013,49294,26470
1013,49351,27221
1013,51172,26811
1013,49957,26878
1013,51685,26757
1013,51921,27388
1013,51481,26502
1013,49799,26939
1013,51202,26939
1013,49471,26254
1013,49106,27083
1013,53170,27050
1013,51795,26929
1013,51509,26497
1013,48478,27153
1013,51562,27189
1013,51628,25897
1013,50747,26562
1013,49230,26581
1013,49660,26498
1013,51544,26956
1013,50084,27307
1013,50142,27294
1013,51755,27341
1013,49733,26567
1013,52515,26732
1013,50700,26932
1013,51590,26695
1013,48119,27475
1013,51578,26474
1013,52450,26987
1013,52581,26423
1013,51954,26866
1013,52525,27552
1013,51365,26663
1013,52276,26931
1013,51495,26618
1013,49687,27061
1013,48725,26783
