shp,qiskit,qiskit_dense,merging_states,average_degree
569,1013,638,291,1.0625
516,1013,603,266,1.25
490,1013,536,311,1.25
596,1013,299,327,1.125
542,1013,635,280,1.25
615,1013,594,351,1.0625
671,1013,441,306,1.125
652,1013,624,317,1.125
575,1013,542,299,1.125
510,1013,542,274,1.125
503,1013,789,315,1.0
611,1013,649,305,1.1875
564,1013,559,291,1.125
684,1013,470,376,1.25
569,1013,520,286,1.3125
464,1013,514,254,1.1875
487,1013,420,310,1.4375
665,1013,717,312,1.25
642,1013,473,322,1.0
535,1013,685,295,1.25
524,1013,771,329,1.1875
524,1013,692,286,1.25
636,1013,725,298,1.25
490,1013,570,279,1.125
539,1013,385,308,1.125
536,1013,594,361,1.1875
513,1013,717,341,1.125
579,1013,635,303,1.0625
566,1013,589,281,1.375
633,1013,537,320,1.125
579,1013,519,324,1.25
538,1013,530,311,1.1875
574,1013,527,289,1.25
485,1013,402,299,1.0625
468,1013,545,340,1.375
554,1013,436,323,1.375
627,1013,354,338,1.0625
560,1013,534,314,1.3125
550,1013,737,292,1.375
506,1013,557,258,1.3125
582,1013,525,279,1.25
621,1013,653,269,1.3125
551,1013,557,346,1.1875
542,1013,458,292,1.5
647,1013,486,316,1.3125
448,1013,473,292,1.3125
558,1013,755,300,1.4375
652,1013,521,304,1.1875
418,1013,524,297,1.3125
499,1013,544,324,1.25
490,1013,545,318,1.1875
499,1013,670,304,1.3125
726,1013,385,289,1.125
453,1013,401,301,1.375
567,1013,506,332,1.25
524,1013,451,328,1.3125
557,1013,717,291,1.125
508,1013,410,302,1.3125
498,1013,494,281,1.375
589,1013,679,316,1.4375
487,1013,581,282,1.4375
484,1013,483,292,1.375
709,1013,409,326,1.3125
620,1013,704,295,1.125
564,1013,482,342,1.0
524,1013,644,311,1.0625
499,1013,643,312,1.3125
688,1013,668,307,1.0625
486,1013,761,298,1.25
500,1013,444,337,1.3125
540,1013,514,283,1.0625
542,1013,289,309,1.125
570,1013,732,282,1.3125
527,1013,535,315,1.25
635,1013,735,320,1.125
642,1013,717,287,1.125
436,1013,514,292,1.5
553,1013,717,331,1.125
580,1013,598,266,1.125
526,1013,349,312,1.125
523,1013,397,269,1.25
650,1013,791,286,1.125
622,1013,538,305,1.3125
514,1013,402,323,1.25
534,1013,756,304,1.25
551,1013,767,311,1.25
508,1013,677,315,1.1875
545,1013,552,302,1.0625
629,1013,374,346,1.1875
561,1013,549,337,1.1875
675,1013,517,311,1.375
581,1013,707,334,1.125
488,1013,458,314,1.3125
704,1013,629,287,1.5
523,1013,356,307,1.375
579,1013,531,331,1.1875
679,1013,462,321,1.25
622,1013,550,288,1.125
603,1013,475,297,1.25
660,1013,434,328,1.4375
