qiskit_dense,qiskit,shp,merging_states,average_degree
581,502,519,284,1.4375
507,502,590,287,1.375
654,502,551,256,1.4375
476,502,613,323,1.5625
759,502,545,352,1.1875
556,502,641,297,1.1875
444,502,659,269,1.375
679,502,578,297,1.5625
682,502,608,283,1.4375
688,502,625,324,1.25
495,502,490,302,1.25
524,502,620,309,1.6875
517,502,664,320,1.1875
487,502,484,311,1.5625
673,502,670,287,1.125
664,502,553,335,1.375
632,502,701,266,1.4375
495,502,601,323,1.1875
599,502,687,271,1.4375
710,502,480,266,1.5625
565,502,649,285,1.375
469,502,662,297,1.5
690,502,632,315,1.4375
719,502,658,286,1.3125
739,502,531,324,1.5
703,502,601,332,1.3125
341,502,633,284,1.375
705,502,499,290,1.6875
385,502,495,308,2.0
558,502,525,270,1.5625
624,502,561,293,1.6875
405,502,564,302,1.1875
555,502,584,280,1.4375
417,502,667,285,1.5625
588,502,571,258,1.6875
597,502,571,248,1.625
543,502,593,292,1.1875
357,502,458,300,1.4375
653,502,610,336,1.5
454,502,604,278,1.5
676,502,510,362,1.25
661,502,644,301,1.3125
623,502,655,319,1.5625
622,502,592,239,1.375
573,502,595,344,1.5
685,502,515,280,1.625
423,502,645,322,1.3125
553,502,757,307,1.4375
504,502,638,282,1.5625
781,502,562,298,1.375
429,502,649,345,1.4375
549,502,662,285,1.4375
513,502,543,276,1.75
575,502,562,321,1.375
741,502,554,332,1.5625
455,502,688,312,1.875
790,502,646,313,1.1875
550,502,620,304,1.375
603,502,613,308,1.375
465,502,612,302,1.5625
516,502,543,291,1.375
706,502,697,328,1.1875
556,502,566,267,1.375
469,502,621,306,1.4375
560,502,684,240,1.6875
631,502,465,306,1.4375
571,502,562,250,1.5625
638,502,457,302,1.3125
621,502,588,274,1.1875
583,502,472,288,1.5
531,502,605,274,1.375
507,502,590,309,1.5625
496,502,488,337,1.3125
633,502,532,316,1.5
616,502,562,289,1.75
602,502,475,289,1.9375
510,502,593,295,1.1875
563,502,582,304,1.5625
617,502,723,345,1.4375
565,502,639,306,1.25
303,502,739,313,1.375
672,502,663,266,1.1875
722,502,500,299,1.3125
586,502,650,360,1.1875
470,502,658,280,1.5
408,502,630,337,1.25
665,502,527,318,1.3125
572,502,718,327,1.1875
633,502,508,300,1.375
779,502,548,281,1.3125
625,502,552,310,1.3125
574,502,629,291,1.375
426,502,577,318,1.3125
353,502,694,315,1.8125
707,502,622,319,1.125
570,502,590,276,1.4375
599,502,566,301,1.5625
574,502,523,320,1.5625
345,502,580,299,1.375
590,502,570,280,1.4375
